Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;21;256,8;26,5;
2015-02-28;14;177,6;27,3;
2015-03-31;23;304,8;26,5;
2015-04-30;19;139,2;27,3;
2015-05-31;21;267,2;27;
2015-06-30;13;71,4;27,9;
2015-07-31;12;40,2;28,3;
2015-08-31;3;8,8;30;
2015-09-30;1;13,6;31,4;
2015-10-31;8;26,6;30,8;
2015-11-30;13;83,2;29,6;
2015-12-31;15;113;29,3;
2016-01-31;15;118,8;29,3;
2016-02-29;23;210;27,9;
2016-03-31;24;253;27,6;
2016-04-30;22;274,8;27,6;
2016-05-31;16;102;28,1;
2016-06-30;12;89,4;28;
2016-07-31;10;93;28,5;
2016-08-31;7;44,8;29,3;
2016-09-30;14;104,6;28,1;
2016-10-31;11;110,8;29,2;
2016-11-30;9;168,2;28,9;
2016-12-31;24;468;26,7;
2017-01-31;24;363;26,5;
2017-02-28;21;232,4;26,4;
2017-03-31;24;248,6;26,6;
2017-04-30;26;307,4;26,9;
2017-05-31;15;123,8;28,2;
2017-06-30;12;111,4;28,2;
2017-07-31;8;67,8;28,1;
2017-08-31;6;17,4;30;
2017-09-30;11;143,4;28,7;
2017-10-31;14;127,8;28,3;
2017-11-30;14;167,4;28,2;
2017-12-31;15;null;27,3;
2018-01-31;23;193,6;26,5;
2018-02-28;17;null;26,7;
2018-03-31;18;237,6;27,3;
2018-04-30;26;246,4;26,5;
2018-05-31;20;160,4;26,7;
2018-06-30;15;166,2;27,4;
2018-07-31;10;48,2;28,1;
2018-08-31;6;20,8;28,8;
2018-09-30;11;72,4;29,4;
2018-10-31;7;52,2;30,3;
2018-11-30;16;130,2;28,6;
2018-12-31;23;262,8;26,4;
2019-01-31;27;236,6;26,8;
2019-02-28;22;333,4;26,7;
2019-03-31;23;288;27,7;
2019-04-30;21;246,8;27,3;
2019-05-31;25;275,8;27,1;
2019-06-30;14;53;27,9;
2019-07-31;10;109,2;28,2;
2019-08-31;10;41,4;28,7;
2019-09-30;9;160,4;29,3;
2019-10-31;18;210,6;27,7;
2019-11-30;14;141,6;28;
2019-12-31;23;160,8;27,2;
2020-01-31;17;340,8;27,8;
2020-02-29;19;209,8;27,8;
2020-03-31;19;363;27,9;
2020-04-30;23;343,2;26,9;
2020-05-31;20;283,6;27;
2020-06-30;15;168;27,6;
2020-07-31;10;49,4;28,7;
2020-08-31;4;27,8;29,4;
2020-09-30;13;115,4;29,2;
2020-10-31;18;115;27,9;
2020-11-30;16;null;27,6;
2020-12-31;19;228,4;27,1;
2021-01-31;20;null;25,9;
2021-02-28;18;269,2;26,6;
2021-03-31;24;469;25,9;
2021-04-30;16;127,4;26,9;
2021-05-31;17;127,2;27,2;
2021-06-30;9;null;27,2;
2021-07-31;17;142,8;27,4;
2021-08-31;9;167,8;28,4;
2021-09-30;10;55,6;28,1;
2021-10-31;13;205,4;28,5;
2021-11-30;19;323,6;27,2;
2021-12-31;23;280;26,7;
2022-01-31;23;311,6;26,8;
2022-02-28;22;314,8;26,2;
2022-03-31;25;383,6;26;
2022-04-30;20;439,4;26,4;
2022-05-31;17;126,4;27,2;
2022-06-30;15;147,8;26,7;
2022-07-31;5;26,4;28,5;
2022-08-31;8;36,2;28,9;
2022-09-30;4;9,6;29,8;
2022-10-31;12;157,8;28,8;
2022-11-30;10;95,8;28,3;
2022-12-31;20;371,2;27,3;
2023-01-31;22;276,6;25,9;
2023-02-28;21;null;26;
2023-03-31;23;366,6;26,6;
2023-04-30;20;242;27;
2023-05-31;18;132,4;27,9;
2023-06-30;8;48,4;28,1;
2023-07-31;6;69,8;29,4;
2023-08-31;1;18;30,5;
2023-09-30;6;42,8;30,8;
2023-10-31;6;90,2;30,8;
2023-11-30;11;134,8;29,9;
2023-12-31;21;307,8;27,6;
2024-01-31;20;137;28,1;
2024-02-29;16;301;28,4;
2024-03-31;22;419,8;27,8;
2024-04-30;18;218,2;27,8;
2024-05-31;22;377;27,5;
2024-06-30;11;125,8;28,6;
2024-07-31;7;59,4;29,5;
2024-08-31;3;17;30,4;
2024-09-30;7;62,2;31,6;
2024-10-31;10;78,4;30,1;
2024-11-30;13;114,8;29,2;
2024-12-31;24;303,6;27,3;

