Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;27;303,2;24,5;
2015-02-28;25;277,8;24,9;
2015-03-31;24;411,2;24,9;
2015-04-30;28;202,6;24,9;
2015-05-31;24;105;24,5;
2015-06-30;null;null;24,2;
2015-07-31;27;25;24,1;
2015-08-31;23;103,6;25,7;
2015-09-30;16;112;25,9;
2015-10-31;15;57,4;26,1;
2015-11-30;21;182,4;26;
2015-12-31;27;226,2;25,5;
2016-01-31;26;225,6;26,1;
2016-02-29;19;150,6;25,8;
2016-03-31;6;25,4;25,9;
2016-04-30;1;67,2;25,3;
2016-05-31;1;39,8;24,3;
2016-06-30;1;8,8;23;
2016-07-31;null;null;24;
2016-08-31;1;14,2;24,7;
2016-09-30;2;43,8;24,5;
2016-10-31;null;null;25,3;
2016-11-30;null;null;25,4;
2016-12-31;null;null;25,2;
2017-01-31;null;null;24,5;
2017-02-28;null;null;25;
2017-03-31;null;null;24,7;
2017-04-30;null;null;24,8;
2017-05-31;null;null;25,2;
2017-06-30;null;null;null;
2017-07-31;null;null;22,6;
2017-08-31;null;null;25,2;
2017-09-30;null;null;25,4;
2017-10-31;null;null;25,8;
2017-11-30;null;null;25,5;
2017-12-31;null;null;25,2;
2018-01-31;null;null;25,1;
2018-02-28;null;null;24,8;
2018-03-31;null;null;25;
2018-04-30;null;null;null;
2018-05-31;null;null;null;
2018-06-30;null;null;null;
2018-07-31;null;null;null;
2018-08-31;null;null;null;
2018-09-30;null;null;25,4;
2018-10-31;null;null;25,9;
2018-11-30;null;null;25,4;
2018-12-31;null;null;25,1;
2019-01-31;null;null;25,3;
2019-02-28;null;null;null;
2019-03-31;null;null;null;
2019-04-30;null;null;null;
2019-05-31;null;null;null;
2019-06-30;2;null;24,8;
2019-07-31;7;37,4;23,2;
2019-08-31;4;39;23,7;
2019-09-30;14;102,8;26;
2019-10-31;22;131,4;24,9;
2019-11-30;20;236,4;25,1;
2019-12-31;25;291,2;25,1;
2020-01-31;21;233,8;25,6;
2020-02-29;23;227;25,2;
2020-03-31;27;217,6;25,4;
2020-04-30;22;205,2;24,6;
2020-05-31;16;107,4;23,7;
2020-06-30;8;null;24,3;
2020-07-31;8;13;24,2;
2020-08-31;2;11,6;24;
2020-09-30;11;149,2;25,7;
2020-10-31;19;140,4;25,6;
2020-11-30;18;173,2;25,9;
2020-12-31;25;295,6;24,8;
2021-01-31;25;262,6;24,7;
2021-02-28;26;514,4;24,9;
2021-03-31;26;263;24,5;
2021-04-30;22;152,8;24,8;
2021-05-31;14;110,2;24,2;
2021-06-30;5;null;null;
2021-07-31;3;null;22,7;
2021-08-31;1;1,6;24,9;
2021-09-30;9;126,4;25,7;
2021-10-31;14;292,2;25,6;
2021-11-30;16;281;25,3;
2021-12-31;25;360,8;25,4;
2022-01-31;17;301,4;25,5;
2022-02-28;24;502,8;24,7;
2022-03-31;22;339,4;24,8;
2022-04-30;23;218,4;24,6;
2022-05-31;15;185,8;23,7;
2022-06-30;3;null;22,8;
2022-07-31;1;null;null;
2022-08-31;9;32,2;23,9;
2022-09-30;4;18,4;25,8;
2022-10-31;16;173,6;25,8;
2022-11-30;14;189,6;24,8;
2022-12-31;20;278,8;25,1;
2023-01-31;21;315,2;24,6;
2023-02-28;16;297,8;24,7;
2023-03-31;22;338,8;25,1;
2023-04-30;21;176,8;25,1;
2023-05-31;8;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

