Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61055555
Longitude: -72.6811111
Altitude: 220
Situacao: Operante
Data Inicial: 2015-05-13
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-05-31;7;null;24,9;
2015-06-30;12;82,4;25,2;
2015-07-31;13;80,8;25,4;
2015-08-31;8;71,4;26,4;
2015-09-30;17;90,6;26,6;
2015-10-31;12;130,6;26,6;
2015-11-30;17;193,6;26,6;
2015-12-31;23;348;25,8;
2016-01-31;22;286;26,7;
2016-02-29;24;246;25,9;
2016-03-31;28;286;26;
2016-04-30;19;176;26;
2016-05-31;18;126,8;25,5;
2016-06-30;13;60,8;24,5;
2016-07-31;6;32,4;25,6;
2016-08-31;8;129,8;25,9;
2016-09-30;10;86,4;25,7;
2016-10-31;19;199,2;26;
2016-11-30;16;170;26,3;
2016-12-31;21;245,4;25,6;
2017-01-31;30;414,8;24,8;
2017-02-28;23;161,6;25,3;
2017-03-31;21;307,6;25,7;
2017-04-30;17;null;25,6;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;null;null;null;
2017-09-30;12;122;25,8;
2017-10-31;12;212,4;25,9;
2017-11-30;19;116;25,9;
2017-12-31;23;208;25,5;
2018-01-31;23;267,4;25,2;
2018-02-28;17;null;25,6;
2018-03-31;24;235,4;25,3;
2018-04-30;23;247,2;25,1;
2018-05-31;18;168,4;24,8;
2018-06-30;3;null;23,4;
2018-07-31;1;null;null;
2018-08-31;14;87,8;24,6;
2018-09-30;10;35,2;26;
2018-10-31;20;228,8;26;
2018-11-30;25;403;25,7;
2018-12-31;25;191;25;
2019-01-31;28;358,6;24,9;
2019-02-28;26;386,8;25,1;
2019-03-31;28;415,6;25,5;
2019-04-30;18;228,4;25,7;
2019-05-31;10;94,6;25,7;
2019-06-30;8;null;null;
2019-07-31;3;null;null;
2019-08-31;7;null;25;
2019-09-30;15;216,4;26;
2019-10-31;22;193,8;25,1;
2019-11-30;22;317,4;25,6;
2019-12-31;24;325,6;25,3;
2020-01-31;16;207,8;26,1;
2020-02-29;18;87,8;25,9;
2020-03-31;23;336,2;25,6;
2020-04-30;18;116,8;25,6;
2020-05-31;4;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;14;null;25,9;
2024-01-31;23;344,4;26,2;
2024-02-29;25;374,8;25,9;
2024-03-31;17;281,4;26,5;
2024-04-30;19;238,6;26,7;
2024-05-31;13;114,4;25,1;
2024-06-30;6;69,4;25,9;
2024-07-31;4;null;24;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

