Nome: BOCA DO ACRE
Codigo Estacao: A110
Latitude: -8.77666666
Longitude: -67.33249999
Altitude: 111.98
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;21;332;25,2;
2015-02-28;8;null;null;
2015-03-31;5;null;null;
2015-04-30;3;null;null;
2015-05-31;null;null;null;
2015-06-30;null;null;null;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;null;
2015-10-31;7;null;null;
2015-11-30;15;125,6;27,6;
2015-12-31;22;233,6;26,6;
2016-01-31;23;203;27,1;
2016-02-29;24;255;26,6;
2016-03-31;26;419;26,8;
2016-04-30;14;null;26,3;
2016-05-31;null;null;null;
2016-06-30;3;null;23,8;
2016-07-31;null;null;null;
2016-08-31;null;null;null;
2016-09-30;9;null;null;
2016-10-31;14;94,8;27;
2016-11-30;15;244,8;26,9;
2016-12-31;22;298,8;26,2;
2017-01-31;26;364,8;25,4;
2017-02-28;23;419,8;25,7;
2017-03-31;25;413,2;25,8;
2017-04-30;24;245,8;25,9;
2017-05-31;20;225;26,3;
2017-06-30;6;164;25;
2017-07-31;3;3,6;24,9;
2017-08-31;6;37,4;26,9;
2017-09-30;13;124,8;27;
2017-10-31;13;176,4;26,6;
2017-11-30;21;273,4;26,4;
2017-12-31;24;295,4;25,9;
2018-01-31;23;364,6;25,8;
2018-02-28;27;337,8;25,9;
2018-03-31;19;292,4;26,1;
2018-04-30;22;255,2;25,8;
2018-05-31;18;252,8;25,5;
2018-06-30;10;89,6;23,6;
2018-07-31;4;16,6;25,2;
2018-08-31;8;99,4;25;
2018-09-30;16;216,6;26,5;
2018-10-31;22;170,8;26,8;
2018-11-30;19;214,6;26,7;
2018-12-31;26;395,4;25,5;
2019-01-31;20;329,8;25,7;
2019-02-28;24;280,4;25,9;
2019-03-31;23;340,8;26,5;
2019-04-30;16;300,8;26,5;
2019-05-31;8;123,8;26,1;
2019-06-30;8;42,8;26,3;
2019-07-31;6;15,4;25;
2019-08-31;5;44,6;25,9;
2019-09-30;11;126,2;27,6;
2019-10-31;12;73,2;26,2;
2019-11-30;7;null;null;
2019-12-31;null;null;null;
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;4;null;null;
2022-10-31;16;132;27,1;
2022-11-30;16;212,2;26,4;
2022-12-31;19;292,2;26,2;
2023-01-31;26;122,6;25,7;
2023-02-28;24;350,8;25,6;
2023-03-31;24;318,4;25,9;
2023-04-30;22;166,6;26,2;
2023-05-31;18;291,2;26,2;
2023-06-30;9;48,2;24,9;
2023-07-31;3;10,6;26,7;
2023-08-31;11;45,4;27,7;
2023-09-30;13;110,4;28,3;
2023-10-31;11;70;29,1;
2023-11-30;14;null;27,4;
2023-12-31;25;289,4;26,9;
2024-01-31;25;536;26,7;
2024-02-29;28;553,8;26,6;
2024-03-31;24;202,6;27,4;
2024-04-30;24;250,4;27,1;
2024-05-31;15;57,2;25,4;
2024-06-30;5;26;27,1;
2024-07-31;3;14,4;25,3;
2024-08-31;4;7,8;26,5;
2024-09-30;5;71,2;28,2;
2024-10-31;12;228;28;
2024-11-30;17;185,2;26,9;
2024-12-31;22;209,4;26,6;

