Nome: LABREA
Codigo Estacao: A111
Latitude: -7.26055555
Longitude: -64.7886111
Altitude: 61.91
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;26;359,8;25,7;
2015-02-28;19;317,8;25,9;
2015-03-31;26;323;26;
2015-04-30;21;220,2;26,3;
2015-05-31;23;195;26,1;
2015-06-30;12;null;26,1;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;null;
2015-10-31;4;null;null;
2015-11-30;14;263,8;27,6;
2015-12-31;18;231,2;26,9;
2016-01-31;22;334,4;27,2;
2016-02-29;25;388,6;27,1;
2016-03-31;24;390,2;26,6;
2016-04-30;18;298,2;26,5;
2016-05-31;16;149,8;26,5;
2016-06-30;11;50;25,8;
2016-07-31;6;12,4;26,8;
2016-08-31;4;13,8;27,3;
2016-09-30;11;52;26,7;
2016-10-31;13;202,8;27,5;
2016-11-30;16;139,4;26,9;
2016-12-31;24;325,2;26,3;
2017-01-31;25;502,6;25,5;
2017-02-28;21;428,4;26;
2017-03-31;25;351,8;26,1;
2017-04-30;23;212,8;26,2;
2017-05-31;19;277,2;26,7;
2017-06-30;11;65;26,1;
2017-07-31;0;0;26;
2017-08-31;9;84,6;27,7;
2017-09-30;10;74,6;27,5;
2017-10-31;14;146,2;26,8;
2017-11-30;19;298,4;26,7;
2017-12-31;13;null;26,5;
2018-01-31;null;null;null;
2018-02-28;null;null;null;
2018-03-31;null;null;null;
2018-04-30;null;null;null;
2018-05-31;null;null;null;
2018-06-30;null;null;null;
2018-07-31;null;null;null;
2018-08-31;null;null;null;
2018-09-30;null;null;null;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;null;null;null;
2019-03-31;null;null;null;
2019-04-30;null;null;null;
2019-05-31;null;null;null;
2019-06-30;null;null;null;
2019-07-31;null;null;null;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;18;null;26,2;
2019-11-30;16;193;26,2;
2019-12-31;24;496,6;26,3;
2020-01-31;19;211,4;26,9;
2020-02-29;22;193,8;26,7;
2020-03-31;18;316,2;26,6;
2020-04-30;24;252,6;26,6;
2020-05-31;23;198,8;25,8;
2020-06-30;16;33,8;26,4;
2020-07-31;10;27;26,5;
2020-08-31;2;,8;26,8;
2020-09-30;12;46,8;27,5;
2020-10-31;12;23,8;27,1;
2020-11-30;null;null;26,6;
2020-12-31;25;227;26;
2021-01-31;null;null;25,8;
2021-02-28;null;null;25,9;
2021-03-31;null;null;25,5;
2021-04-30;11;52,8;26,1;
2021-05-31;null;null;26,1;
2021-06-30;null;null;25,2;
2021-07-31;null;null;25,8;
2021-08-31;null;null;27,4;
2021-09-30;null;null;27,4;
2021-10-31;null;null;27,2;
2021-11-30;null;null;26,3;
2021-12-31;null;null;26,4;
2022-01-31;null;null;26,1;
2022-02-28;null;null;25,7;
2022-03-31;null;null;25,8;
2022-04-30;null;null;26,4;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;3;null;26,9;
2022-08-31;15;85,6;26,1;
2022-09-30;8;26,6;27,7;
2022-10-31;23;274,4;27;
2022-11-30;10;82;26,8;
2022-12-31;20;215,6;26,4;
2023-01-31;20;314,6;25,6;
2023-02-28;25;310,4;25,9;
2023-03-31;23;344,4;26,1;
2023-04-30;20;169,2;26,6;
2023-05-31;24;200,8;26,6;
2023-06-30;12;71,2;25,6;
2023-07-31;3;4,2;27,2;
2023-08-31;3;33;28,1;
2023-09-30;10;131,4;28,5;
2023-10-31;10;36,4;28,7;
2023-11-30;16;154,8;27,8;
2023-12-31;21;202;27,3;
2024-01-31;21;295,8;26,9;
2024-02-29;19;574,2;27;
2024-03-31;22;207;27,4;
2024-04-30;20;302,6;27,5;
2024-05-31;17;127,8;26,2;
2024-06-30;4;25;27,5;
2024-07-31;1;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

