Nome: HUMAITA
Codigo Estacao: A112
Latitude: -7.5525
Longitude: -63.07138888
Altitude: 53.56
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;29;243,8;25,9;
2015-02-28;23;373,4;25,9;
2015-03-31;24;365;26,3;
2015-04-30;26;298,8;26,3;
2015-05-31;21;194,6;26,2;
2015-06-30;20;32,8;26,2;
2015-07-31;9;21,8;26,1;
2015-08-31;5;9,8;27,7;
2015-09-30;7;58,2;28,5;
2015-10-31;13;214,4;27,9;
2015-11-30;13;129;27,8;
2015-12-31;19;150,6;27;
2016-01-31;3;null;null;
2016-02-29;null;null;null;
2016-03-31;null;null;null;
2016-04-30;null;null;null;
2016-05-31;null;null;null;
2016-06-30;null;null;null;
2016-07-31;null;null;null;
2016-08-31;null;null;null;
2016-09-30;5;null;null;
2016-10-31;13;144;27,4;
2016-11-30;17;168,2;26,7;
2016-12-31;23;320,8;26,1;
2017-01-31;25;576,8;25,8;
2017-02-28;21;398,2;25,9;
2017-03-31;25;499,2;26,1;
2017-04-30;20;262,8;26,4;
2017-05-31;21;77,8;26,7;
2017-06-30;12;41,6;25,8;
2017-07-31;1;,2;25,5;
2017-08-31;8;69;27,6;
2017-09-30;6;91;27,4;
2017-10-31;22;148,8;26,8;
2017-11-30;21;213,2;26,5;
2017-12-31;27;341,6;25,9;
2018-01-31;27;253,6;26,1;
2018-02-28;27;448,4;25,8;
2018-03-31;27;130,2;26,2;
2018-04-30;25;275,8;26,1;
2018-05-31;19;134;26;
2018-06-30;7;3,6;25;
2018-07-31;2;6,4;25,6;
2018-08-31;10;39,8;26,4;
2018-09-30;12;62;27,2;
2018-10-31;15;161,8;27,2;
2018-11-30;21;234,8;26,6;
2018-12-31;21;392,4;25,8;
2019-01-31;27;388;26,1;
2019-02-28;26;314,8;26,3;
2019-03-31;22;253,8;26,4;
2019-04-30;4;null;null;
2019-05-31;null;null;null;
2019-06-30;null;null;null;
2019-07-31;null;null;null;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;14;null;26,3;
2019-11-30;20;247,2;26,7;
2019-12-31;23;332,4;26,3;
2020-01-31;9;null;null;
2020-02-29;7;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;3;6;26,3;
2020-08-31;3;17,4;26,6;
2020-09-30;6;null;27,4;
2020-10-31;12;67;27,2;
2020-11-30;15;null;26,9;
2020-12-31;9;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;26,4;
2022-08-31;9;49,8;26,4;
2022-09-30;7;21,2;27,9;
2022-10-31;9;null;27,3;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;8;103,6;25,4;
2023-07-31;2;1;26,4;
2023-08-31;5;32,8;27,6;
2023-09-30;12;88;28,3;
2023-10-31;12;34,4;28,6;
2023-11-30;13;105,2;28,1;
2023-12-31;18;80,8;27,5;
2024-01-31;28;289;27;
2024-02-29;20;305;27,1;
2024-03-31;27;289,8;27,4;
2024-04-30;18;100;27,3;
2024-05-31;10;34,4;26,3;
2024-06-30;2;4,6;27,3;
2024-07-31;5;34,2;26,3;
2024-08-31;2;16,8;27,3;
2024-09-30;4;53;29,1;
2024-10-31;13;161,8;28,1;
2024-11-30;22;171;27;
2024-12-31;20;293,2;26,5;

