Nome: APUI
Codigo Estacao: A113
Latitude: -7.20555555
Longitude: -59.8886111
Altitude: 156.97
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;12;229,8;24,8;
2015-02-28;7;62,2;25,4;
2015-03-31;20;368,6;25,3;
2015-04-30;26;299,4;25,6;
2015-05-31;22;291;25,5;
2015-06-30;5;64,8;26;
2015-07-31;null;null;26;
2015-08-31;null;null;27,6;
2015-09-30;null;null;27,5;
2015-10-31;3;120,2;26,8;
2015-11-30;18;211,6;26,6;
2015-12-31;16;163,4;26,1;
2016-01-31;22;294,4;26,2;
2016-02-29;24;324,4;26,3;
2016-03-31;9;null;null;
2016-04-30;22;214,6;26;
2016-05-31;20;188;26,1;
2016-06-30;11;67,8;25,8;
2016-07-31;1;1;26,6;
2016-08-31;8;98,2;26,8;
2016-09-30;24;226,8;25,7;
2016-10-31;18;223;26,2;
2016-11-30;21;244;26;
2016-12-31;27;791,2;25,2;
2017-01-31;25;393,2;24,8;
2017-02-28;5;null;null;
2017-03-31;null;null;null;
2017-04-30;null;null;null;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;8;null;null;
2017-09-30;14;117,4;25,8;
2017-10-31;20;269,8;25,8;
2017-11-30;20;348;25,5;
2017-12-31;26;425,8;25,3;
2018-01-31;25;335,2;24,9;
2018-02-28;24;null;24,7;
2018-03-31;null;null;null;
2018-04-30;null;null;null;
2018-05-31;null;null;null;
2018-06-30;null;null;null;
2018-07-31;null;null;null;
2018-08-31;null;null;null;
2018-09-30;null;null;null;
2018-10-31;1;null;null;
2018-11-30;null;null;null;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;null;null;null;
2019-03-31;null;null;null;
2019-04-30;null;null;null;
2019-05-31;null;null;null;
2019-06-30;null;null;null;
2019-07-31;null;null;null;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;6;null;null;
2019-11-30;18;null;25,2;
2019-12-31;24;null;25,2;
2020-01-31;4;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;2;null;null;
2020-05-31;1;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;2;null;25,8;
2022-08-31;10;109,2;25;
2022-09-30;9;46,8;26;
2022-10-31;17;256,4;25,4;
2022-11-30;16;209,6;25,1;
2022-12-31;27;588,2;24,2;
2023-01-31;28;468,4;23,8;
2023-02-28;26;299,2;24,3;
2023-03-31;2;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;8;null;null;
2023-08-31;4;null;null;
2023-09-30;3;null;null;
2023-10-31;3;null;null;
2023-11-30;8;null;null;
2023-12-31;26;388,8;25,1;
2024-01-31;18;null;25;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;4;28,6;26,5;
2024-09-30;13;94,6;27,3;
2024-10-31;9;9,6;26,7;
2024-11-30;1;null;null;
2024-12-31;null;null;null;

