Nome: COARI
Codigo Estacao: A117
Latitude: -4.09749999
Longitude: -63.14527777
Altitude: 33.84
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;24;229,2;26,2;
2015-02-28;18;238,6;26,7;
2015-03-31;19;302,8;26,7;
2015-04-30;18;248,2;26,7;
2015-05-31;21;157;26,7;
2015-06-30;21;106,2;26,9;
2015-07-31;2;null;null;
2015-08-31;7;24;28,7;
2015-09-30;4;6,2;29,5;
2015-10-31;12;109,4;28;
2015-11-30;15;146;28;
2015-12-31;20;219,6;27;
2016-01-31;20;120,6;27,9;
2016-02-29;21;141,8;27,2;
2016-03-31;28;404,6;26,7;
2016-04-30;21;153;27,2;
2016-05-31;22;272,6;26,9;
2016-06-30;18;146,4;26,5;
2016-07-31;13;43;27,4;
2016-08-31;10;52;27,9;
2016-09-30;14;82,8;26,9;
2016-10-31;10;142,2;27,9;
2016-11-30;11;127,8;27,6;
2016-12-31;23;290,8;26,5;
2017-01-31;22;270,8;25,9;
2017-02-28;2;null;null;
2017-03-31;1;null;null;
2017-04-30;21;144,2;26,8;
2017-05-31;20;214,6;27,3;
2017-06-30;17;181,4;27;
2017-07-31;7;43;26,8;
2017-08-31;11;198,6;27,8;
2017-09-30;14;82,4;27;
2017-10-31;12;92,8;27,2;
2017-11-30;21;254,4;27,3;
2017-12-31;24;448,6;26,7;
2018-01-31;24;142,6;26,4;
2018-02-28;21;249,4;26,4;
2018-03-31;22;167,2;26,7;
2018-04-30;21;240;26,1;
2018-05-31;14;null;26,3;
2018-06-30;null;null;null;
2018-07-31;null;null;null;
2018-08-31;null;null;null;
2018-09-30;null;null;null;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;10;null;null;
2019-01-31;24;328,4;26,3;
2019-02-28;19;166,2;26,9;
2019-03-31;15;204,2;27,4;
2019-04-30;26;345,8;26,8;
2019-05-31;23;358,4;26,8;
2019-06-30;18;144;26,8;
2019-07-31;15;94,2;26,8;
2019-08-31;11;23;27,1;
2019-09-30;10;51,6;28,3;
2019-10-31;18;224,4;26,7;
2019-11-30;18;215,8;27;
2019-12-31;25;353,6;26,6;
2020-01-31;6;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;1;null;null;
2022-04-30;18;null;26,5;
2022-05-31;19;132,6;26,7;
2022-06-30;17;149,6;25,9;
2022-07-31;14;136,2;27,3;
2022-08-31;2;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;5;null;null;
2023-05-31;6;null;null;
2023-06-30;4;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

