Nome: AUTAZES
Codigo Estacao: A120
Latitude: -3.58333333
Longitude: -59.12944443
Altitude: 19.9
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;18;114,4;25,9;
2015-02-28;14;116,6;26,6;
2015-03-31;14;200,2;26;
2015-04-30;14;80,4;26,4;
2015-05-31;18;167,2;26,6;
2015-06-30;null;null;null;
2015-07-31;6;null;27,3;
2015-08-31;4;12,4;28,4;
2015-09-30;1;4,2;29,7;
2015-10-31;5;42,4;29,5;
2015-11-30;3;42,4;28,7;
2015-12-31;8;36,6;28,5;
2016-01-31;3;null;null;
2016-02-29;null;null;null;
2016-03-31;null;null;null;
2016-04-30;1;null;null;
2016-05-31;19;183,4;27,4;
2016-06-30;17;111,2;26,9;
2016-07-31;12;109;27,6;
2016-08-31;null;null;28,1;
2016-09-30;2;null;27,7;
2016-10-31;14;null;28,1;
2016-11-30;null;null;null;
2016-12-31;17;182;26,4;
2017-01-31;18;106;26,1;
2017-02-28;16;null;26;
2017-03-31;19;null;26,5;
2017-04-30;23;null;26,3;
2017-05-31;12;143,2;27,5;
2017-06-30;9;81,8;27,2;
2017-07-31;null;null;27,4;
2017-08-31;null;null;28,5;
2017-09-30;6;null;28,1;
2017-10-31;8;58,4;27,5;
2017-11-30;6;43,4;27,3;
2017-12-31;6;null;26,5;
2018-01-31;null;null;null;
2018-02-28;null;null;null;
2018-03-31;20;null;26,3;
2018-04-30;26;344,4;26,1;
2018-05-31;26;391,2;26,2;
2018-06-30;22;209,2;26,6;
2018-07-31;14;74,8;27,1;
2018-08-31;10;54,2;27,5;
2018-09-30;12;67,8;28,3;
2018-10-31;4;35,4;29,4;
2018-11-30;16;241;27,4;
2018-12-31;25;325,2;25,9;
2019-01-31;26;266,2;26,4;
2019-02-28;23;232,6;26,2;
2019-03-31;18;255,2;27,3;
2019-04-30;22;246,4;26,9;
2019-05-31;25;243,6;26,8;
2019-06-30;17;108,2;27,3;
2019-07-31;15;148;27,4;
2019-08-31;7;21,4;28;
2019-09-30;8;63;28,7;
2019-10-31;15;171,6;27,1;
2019-11-30;13;106,2;27,5;
2019-12-31;22;192,6;26,5;
2020-01-31;18;147,2;27,3;
2020-02-29;18;134,6;27,2;
2020-03-31;16;387,6;27,4;
2020-04-30;21;327,4;26,7;
2020-05-31;22;159;26,6;
2020-06-30;13;130,2;27,3;
2020-07-31;10;79,4;27,5;
2020-08-31;4;25;28,3;
2020-09-30;10;126;28,1;
2020-10-31;7;78;27,7;
2020-11-30;15;197,4;27,1;
2020-12-31;18;214;26,5;
2021-01-31;26;365,2;25,8;
2021-02-28;3;null;null;
2021-03-31;5;null;null;
2021-04-30;5;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;3;null;null;
2022-05-31;22;201,2;26,8;
2022-06-30;23;270,4;26,3;
2022-07-31;9;98,4;27,7;
2022-08-31;10;52,8;27,9;
2022-09-30;9;48,8;28,4;
2022-10-31;14;172,2;27,7;
2022-11-30;13;136;27,3;
2022-12-31;21;279,8;26,5;
2023-01-31;27;307,2;25,5;
2023-02-28;26;363,6;25,9;
2023-03-31;23;193;26,4;
2023-04-30;16;null;27;
2023-05-31;21;221,2;27,3;
2023-06-30;16;85;27,2;
2023-07-31;8;52,6;28,2;
2023-08-31;4;19,8;29,2;
2023-09-30;6;23,2;29,8;
2023-10-31;10;74;29,8;
2023-11-30;6;91,6;29,3;
2023-12-31;18;null;27,2;
2024-01-31;8;null;null;
2024-02-29;10;null;28,1;
2024-03-31;6;null;null;
2024-04-30;8;null;null;
2024-05-31;4;null;null;
2024-06-30;12;null;28;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

