Nome: ITACOATIARA
Codigo Estacao: A121
Latitude: -3.13333333
Longitude: -58.48277777
Altitude: 41.54
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;20;201,2;26,1;
2015-02-28;19;151;26,5;
2015-03-31;23;299,4;26,1;
2015-04-30;21;301,6;26,5;
2015-05-31;23;270,8;26,5;
2015-06-30;17;149,8;26,8;
2015-07-31;11;52,6;27;
2015-08-31;7;17,6;28,2;
2015-09-30;1;,4;29,7;
2015-10-31;6;81,8;29,5;
2015-11-30;6;45;29,1;
2015-12-31;11;89,2;28,9;
2016-01-31;11;157,8;28,4;
2016-02-29;17;323,6;27,3;
2016-03-31;null;null;null;
2016-04-30;3;null;null;
2016-05-31;23;243,6;27,1;
2016-06-30;12;82;27,1;
2016-07-31;13;90;27,4;
2016-08-31;null;null;28,1;
2016-09-30;1;3;27,7;
2016-10-31;21;74,8;27,9;
2016-11-30;5;31;28;
2016-12-31;11;145,6;26,6;
2017-01-31;16;231;26,1;
2017-02-28;22;345;26,1;
2017-03-31;24;170,4;26,2;
2017-04-30;26;353;26,4;
2017-05-31;14;103,6;27,6;
2017-06-30;12;109,2;27,4;
2017-07-31;11;137,2;27,1;
2017-08-31;3;11;28,6;
2017-09-30;11;58,2;28,1;
2017-10-31;12;187,8;27,7;
2017-11-30;9;108,4;27,7;
2017-12-31;null;null;26,6;
2018-01-31;20;188;26,2;
2018-02-28;18;211,8;26,2;
2018-03-31;17;166,6;26,6;
2018-04-30;0;0;26;
2018-05-31;null;null;26,1;
2018-06-30;null;null;26,5;
2018-07-31;null;null;26,7;
2018-08-31;null;null;27,9;
2018-09-30;null;null;28,2;
2018-10-31;null;null;29,4;
2018-11-30;null;null;null;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;null;null;null;
2019-03-31;null;null;27,2;
2019-04-30;10;135,8;26,9;
2019-05-31;7;114,2;26,6;
2019-06-30;8;17;27,1;
2019-07-31;5;9,2;27,3;
2019-08-31;7;18,6;27,8;
2019-09-30;4;6,4;28,6;
2019-10-31;null;null;27,4;
2019-11-30;4;35,6;27,5;
2019-12-31;null;null;26,5;
2020-01-31;4;6,2;27;
2020-02-29;10;38,4;27;
2020-03-31;2;13,6;27,4;
2020-04-30;null;null;26,4;
2020-05-31;10;33,8;26,5;
2020-06-30;9;43;27,1;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;25,6;
2021-02-28;null;null;26,2;
2021-03-31;null;null;25,8;
2021-04-30;null;null;26,4;
2021-05-31;null;null;27;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;2;null;27,5;
2021-10-31;null;null;27,8;
2021-11-30;null;null;26,9;
2021-12-31;null;null;26,4;
2022-01-31;null;null;26,1;
2022-02-28;null;null;26,2;
2022-03-31;null;null;26,1;
2022-04-30;null;null;26,6;
2022-05-31;null;null;26,7;
2022-06-30;null;null;26,2;
2022-07-31;null;null;27,4;
2022-08-31;null;null;27,9;
2022-09-30;null;null;29,1;
2022-10-31;null;null;28;
2022-11-30;null;null;27,3;
2022-12-31;null;null;26,4;
2023-01-31;null;null;25,6;
2023-02-28;null;null;26;
2023-03-31;null;null;26,6;
2023-04-30;null;null;26,6;
2023-05-31;null;null;27,4;
2023-06-30;null;null;27,1;
2023-07-31;null;null;28;
2023-08-31;null;null;29,2;
2023-09-30;null;null;29,7;
2023-10-31;null;null;30,1;
2023-11-30;null;null;29,5;
2023-12-31;null;null;27,3;
2024-01-31;null;null;27,2;
2024-02-29;null;null;27,9;
2024-03-31;null;null;27,4;
2024-04-30;null;null;27,3;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;4;null;null;
2024-12-31;21;205,2;26,9;

