Nome: MAUES
Codigo Estacao: A122
Latitude: -3.39888888
Longitude: -57.67388888
Altitude: 25.49
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;20;null;25,1;
2015-02-28;15;null;25,2;
2015-03-31;12;null;null;
2015-04-30;22;null;25,7;
2015-05-31;14;null;25,6;
2015-06-30;8;null;26,1;
2015-07-31;13;53;26,2;
2015-08-31;8;null;27;
2015-09-30;2;null;null;
2015-10-31;6;null;28;
2015-11-30;null;null;null;
2015-12-31;null;null;null;
2016-01-31;null;null;null;
2016-02-29;null;null;null;
2016-03-31;null;null;null;
2016-04-30;null;null;null;
2016-05-31;null;null;null;
2016-06-30;16;110,8;26,2;
2016-07-31;11;105,6;26,9;
2016-08-31;11;137,2;27,4;
2016-09-30;19;100;27;
2016-10-31;null;null;null;
2016-11-30;null;null;null;
2016-12-31;null;null;null;
2017-01-31;null;null;null;
2017-02-28;7;null;null;
2017-03-31;25;472,8;25,5;
2017-04-30;29;369,8;25,8;
2017-05-31;23;173,6;26,7;
2017-06-30;16;79,6;26,6;
2017-07-31;13;106;26,3;
2017-08-31;13;76,4;27,4;
2017-09-30;16;68,8;27,5;
2017-10-31;12;112,2;27,2;
2017-11-30;14;116;27,1;
2017-12-31;19;282,2;26;
2018-01-31;26;276;25,5;
2018-02-28;3;null;null;
2018-03-31;null;null;null;
2018-04-30;null;null;null;
2018-05-31;null;null;null;
2018-06-30;8;null;25,8;
2018-07-31;14;120;26,1;
2018-08-31;8;33,4;26,8;
2018-09-30;9;76,2;27,1;
2018-10-31;null;null;28;
2018-11-30;null;null;26,6;
2018-12-31;6;51,6;25,2;
2019-01-31;9;23,4;25,5;
2019-02-28;27;365,6;25,5;
2019-03-31;25;88,2;26,4;
2019-04-30;24;33,2;26,3;
2019-05-31;null;null;26,3;
2019-06-30;null;null;26,5;
2019-07-31;14;null;26,4;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;1;null;null;
2019-11-30;18;199,2;26,4;
2019-12-31;28;290,4;25,9;
2020-01-31;21;243;26,2;
2020-02-29;23;212,6;25,9;
2020-03-31;20;226,6;26,5;
2020-04-30;28;370,8;26,1;
2020-05-31;22;null;26,1;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;2;null;null;
2022-04-30;25;456,6;null;
2022-05-31;24;265,6;null;
2022-06-30;20;202;null;
2022-07-31;16;66,2;null;
2022-08-31;16;90,2;null;
2022-09-30;10;46,8;null;
2022-10-31;15;106,8;null;
2022-11-30;8;101,4;null;
2022-12-31;23;293,6;null;
2023-01-31;28;417,6;null;
2023-02-28;25;null;null;
2023-03-31;24;210;null;
2023-04-30;25;229,8;null;
2023-05-31;11;null;null;
2023-06-30;12;null;null;
2023-07-31;9;44,4;null;
2023-08-31;7;27,6;null;
2023-09-30;10;178,6;null;
2023-10-31;11;130,4;null;
2023-11-30;11;110,4;null;
2023-12-31;19;215,8;null;
2024-01-31;17;207,2;null;
2024-02-29;17;null;null;
2024-03-31;11;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

