Nome: PARINTINS
Codigo Estacao: A123
Latitude: -2.63916666
Longitude: -56.75611111
Altitude: 18.72
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;null;null;
2015-02-28;null;null;null;
2015-03-31;23;496,4;26,3;
2015-04-30;24;387,2;26,5;
2015-05-31;23;320,6;26,5;
2015-06-30;24;208,6;26,9;
2015-07-31;22;144,2;26,8;
2015-08-31;9;28,8;28,9;
2015-09-30;1;,4;30,1;
2015-10-31;null;null;30,4;
2015-11-30;null;null;30,3;
2015-12-31;4;88,2;30,4;
2016-01-31;14;169,6;29,5;
2016-02-29;23;173,6;27,9;
2016-03-31;29;602;27,1;
2016-04-30;25;266,6;27,2;
2016-05-31;8;null;null;
2016-06-30;16;null;26,8;
2016-07-31;16;79,4;27,6;
2016-08-31;8;75,2;28,7;
2016-09-30;12;20,8;28,3;
2016-10-31;12;113,4;28,5;
2016-11-30;10;35,6;28,7;
2016-12-31;22;42,8;27,2;
2017-01-31;null;null;26,3;
2017-02-28;27;195,2;26,4;
2017-03-31;28;136,2;26,4;
2017-04-30;null;null;26,6;
2017-05-31;null;null;27,5;
2017-06-30;10;null;27,3;
2017-07-31;16;102,2;27,3;
2017-08-31;8;43,2;29;
2017-09-30;5;21,6;29,6;
2017-10-31;3;13,6;29,2;
2017-11-30;null;null;null;
2017-12-31;null;null;null;
2018-01-31;null;null;null;
2018-02-28;null;null;null;
2018-03-31;null;null;null;
2018-04-30;21;null;26,2;
2018-05-31;30;231,6;26;
2018-06-30;21;291,2;26,3;
2018-07-31;22;169,6;26,8;
2018-08-31;15;61,2;27,9;
2018-09-30;9;130;28,6;
2018-10-31;2;34,2;29,9;
2018-11-30;16;102,6;28,3;
2018-12-31;23;323,2;26,5;
2019-01-31;26;210,8;26,6;
2019-02-28;25;567,2;26,4;
2019-03-31;22;242;27,3;
2019-04-30;27;389,8;27;
2019-05-31;25;287,8;26,7;
2019-06-30;22;173,6;27,2;
2019-07-31;13;null;27,1;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;null;null;null;
2019-11-30;11;null;27,1;
2019-12-31;23;348,4;26,9;
2020-01-31;19;148,2;27,2;
2020-02-29;21;348,2;26,8;
2020-03-31;14;222;27,5;
2020-04-30;28;281,4;26,8;
2020-05-31;30;369,4;26,6;
2020-06-30;20;210;27;
2020-07-31;17;106,8;27,8;
2020-08-31;8;31,8;28,8;
2020-09-30;11;47,8;29,4;
2020-10-31;9;46,8;29,2;
2020-11-30;17;195;27,5;
2020-12-31;13;null;27,3;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;4;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;9;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;17;null;26,8;
2023-01-31;26;336,4;25,8;
2023-02-28;22;null;26,5;
2023-03-31;18;187,6;27,1;
2023-04-30;23;153,2;26,8;
2023-05-31;22;217,2;27,4;
2023-06-30;24;222,8;27,3;
2023-07-31;16;122,8;27,9;
2023-08-31;6;32,4;29,5;
2023-09-30;5;37,2;30,3;
2023-10-31;3;21,8;30,7;
2023-11-30;6;35,8;30,5;
2023-12-31;11;65,4;28,8;
2024-01-31;16;340,4;27,7;
2024-02-29;17;196;28,3;
2024-03-31;25;566,6;27,4;
2024-04-30;25;469,8;27,2;
2024-05-31;29;352;27,5;
2024-06-30;15;170,2;27,9;
2024-07-31;14;67,8;28,4;
2024-08-31;5;62,6;29,1;
2024-09-30;0;0;30,8;
2024-10-31;6;61,4;29,8;
2024-11-30;5;56,6;29,4;
2024-12-31;20;429,4;27,5;

