Nome: URUCARA
Codigo Estacao: A124
Latitude: -2.53472221
Longitude: -57.75805555
Altitude: 18.49
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;18;177,8;26,7;
2015-02-28;1;null;null;
2015-03-31;null;null;null;
2015-04-30;null;null;null;
2015-05-31;1;null;null;
2015-06-30;15;107,8;27,2;
2015-07-31;9;61;27,1;
2015-08-31;2;26;28,6;
2015-09-30;0;0;29,7;
2015-10-31;4;74,8;30,2;
2015-11-30;3;34,8;29,4;
2015-12-31;9;39,6;29,6;
2016-01-31;9;57,4;29,3;
2016-02-29;20;230,4;28;
2016-03-31;28;576,2;27,1;
2016-04-30;21;282,2;27,3;
2016-05-31;14;156,2;27,6;
2016-06-30;14;169,6;27,1;
2016-07-31;13;29,8;27,7;
2016-08-31;4;35,6;28,6;
2016-09-30;9;127,2;28,3;
2016-10-31;11;129;28,4;
2016-11-30;9;19,6;28,7;
2016-12-31;21;309,8;26,9;
2017-01-31;18;219;26,4;
2017-02-28;19;343,4;26,4;
2017-03-31;21;478,4;26,3;
2017-04-30;22;349,8;26,5;
2017-05-31;12;62;27,6;
2017-06-30;15;99,6;27,5;
2017-07-31;8;59,4;27,3;
2017-08-31;2;20,4;28,9;
2017-09-30;6;47,8;28,8;
2017-10-31;13;143,8;28,5;
2017-11-30;9;73,4;28,5;
2017-12-31;4;null;null;
2018-01-31;null;null;null;
2018-02-28;null;null;null;
2018-03-31;5;16,2;27;
2018-04-30;null;null;26,1;
2018-05-31;null;null;26,2;
2018-06-30;null;null;26,6;
2018-07-31;null;null;27;
2018-08-31;null;null;28;
2018-09-30;null;null;28,3;
2018-10-31;3;33,6;29,7;
2018-11-30;3;19,8;28,3;
2018-12-31;12;93,4;26,2;
2019-01-31;20;208,8;26,6;
2019-02-28;22;296,8;26,3;
2019-03-31;24;197;27,3;
2019-04-30;24;522;26,8;
2019-05-31;22;180,6;26,9;
2019-06-30;9;73,8;27,4;
2019-07-31;11;31;27,6;
2019-08-31;7;66,2;28,1;
2019-09-30;5;24,4;29;
2019-10-31;12;78,8;27,7;
2019-11-30;13;78,4;27,7;
2019-12-31;23;162,4;26,8;
2020-01-31;20;115,4;27,2;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;17;244,4;26,5;
2022-06-30;21;151,8;25,9;
2022-07-31;13;167;26,9;
2022-08-31;8;80,8;27,4;
2022-09-30;1;2,8;28,6;
2022-10-31;7;103;27,3;
2022-11-30;8;32;26,9;
2022-12-31;21;351,2;25,7;
2023-01-31;28;448,4;24,7;
2023-02-28;25;299,4;25,1;
2023-03-31;21;180,6;25,8;
2023-04-30;16;206,2;25,6;
2023-05-31;20;298,2;26,1;
2023-06-30;10;37,8;26,4;
2023-07-31;5;42,4;27,2;
2023-08-31;3;48,4;28,2;
2023-09-30;4;17,4;28,8;
2023-10-31;3;22,4;29,1;
2023-11-30;9;71,2;28,8;
2023-12-31;13;194,4;26,8;
2024-01-31;24;202,6;26,1;
2024-02-29;19;144;26,8;
2024-03-31;26;254;26,3;
2024-04-30;17;319;26;
2024-05-31;23;271,8;26,3;
2024-06-30;9;76,2;26,8;
2024-07-31;4;40;27,3;
2024-08-31;7;121;27,3;
2024-09-30;2;1;29,2;
2024-10-31;6;48,2;28,4;
2024-11-30;8;113,2;27,6;
2024-12-31;23;364,6;25,7;

