Nome: RIO URUBU
Codigo Estacao: A125
Latitude: -2.6336111
Longitude: -59.60055555
Altitude: 112.84
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;26;266,4;24,9;
2015-02-28;20;250,8;25,5;
2015-03-31;24;333;25,2;
2015-04-30;24;179,6;25,7;
2015-05-31;26;296,6;25,6;
2015-06-30;22;200;25,4;
2015-07-31;21;115,8;25,5;
2015-08-31;12;10,4;26,7;
2015-09-30;3;17,4;27,8;
2015-10-31;11;54,6;28;
2015-11-30;13;187,6;27,1;
2015-12-31;11;62,4;27,2;
2016-01-31;11;82,2;27,7;
2016-02-29;26;265,2;26,3;
2016-03-31;26;351,2;26,3;
2016-04-30;24;321,4;26,1;
2016-05-31;28;153,6;26,2;
2016-06-30;24;147;25,5;
2016-07-31;20;123;25,7;
2016-08-31;16;99;26,4;
2016-09-30;19;142;26,1;
2016-10-31;9;null;27;
2016-11-30;10;null;27;
2016-12-31;21;381,4;25,5;
2017-01-31;6;null;null;
2017-02-28;null;null;25,2;
2017-03-31;null;null;null;
2017-04-30;null;null;null;
2017-05-31;null;null;null;
2017-06-30;1;null;null;
2017-07-31;15;null;25,2;
2017-08-31;15;103,6;26,7;
2017-09-30;17;122,4;26,5;
2017-10-31;18;122,8;26,6;
2017-11-30;20;155,8;26,4;
2017-12-31;14;null;26,1;
2018-01-31;19;null;25,2;
2018-02-28;6;null;null;
2018-03-31;6;null;null;
2018-04-30;26;245,2;25,2;
2018-05-31;29;284,8;25,1;
2018-06-30;22;248,2;25,3;
2018-07-31;24;155,6;25,4;
2018-08-31;14;87,8;25,9;
2018-09-30;15;139,6;26,6;
2018-10-31;11;45,2;27,6;
2018-11-30;16;356,8;26,4;
2018-12-31;27;352,4;25,3;
2019-01-31;24;328,8;25,7;
2019-02-28;24;307,4;25,7;
2019-03-31;25;251,4;26,4;
2019-04-30;27;311,8;26;
2019-05-31;27;361,6;25,8;
2019-06-30;22;176,4;25,9;
2019-07-31;21;123,4;25,8;
2019-08-31;17;94,6;26,5;
2019-09-30;10;162,2;26,9;
2019-10-31;23;154,4;25,8;
2019-11-30;16;176,8;26,6;
2019-12-31;26;350,6;25,7;
2020-01-31;22;185,2;26,2;
2020-02-29;19;157,4;26,5;
2020-03-31;21;291,2;26,4;
2020-04-30;27;413,4;25,7;
2020-05-31;31;407,4;25,6;
2020-06-30;19;null;25,5;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;11;null;null;
2021-10-31;19;430,4;25,6;
2021-11-30;23;177;25,3;
2021-12-31;26;423,4;25;
2022-01-31;26;171,8;24,7;
2022-02-28;25;280,2;24,3;
2022-03-31;27;378,4;24,1;
2022-04-30;29;385,2;24,6;
2022-05-31;24;312,2;24,8;
2022-06-30;25;201,2;24,1;
2022-07-31;21;100,6;25,2;
2022-08-31;17;94,2;25,4;
2022-09-30;16;65,2;25,9;
2022-10-31;17;202,4;25,4;
2022-11-30;14;105,8;25,5;
2022-12-31;27;255,4;24,8;
2023-01-31;29;288,6;24;
2023-02-28;26;355,6;24,4;
2023-03-31;28;263,6;24,7;
2023-04-30;23;252,8;25;
2023-05-31;28;418,6;25,4;
2023-06-30;23;133,8;25;
2023-07-31;19;73,4;25,8;
2023-08-31;9;21,6;26,8;
2023-09-30;8;97,2;26,9;
2023-10-31;9;72;27,1;
2023-11-30;8;88,2;26,7;
2023-12-31;26;279,4;24,9;
2024-01-31;24;234,8;25,4;
2024-02-29;21;133;25,7;
2024-03-31;25;363;25,4;
2024-04-30;24;206;25,7;
2024-05-31;28;169,4;25,2;
2024-06-30;20;95,6;25,4;
2024-07-31;16;89,4;25,4;
2024-08-31;13;63,2;26,1;
2024-09-30;6;31,4;27,3;
2024-10-31;9;107,6;26,7;
2024-11-30;15;43;26,2;
2024-12-31;null;null;null;

