Nome: PRESIDENTE FIGUEIREDO
Codigo Estacao: A126
Latitude: -2.05666666
Longitude: -60.02583332
Altitude: 60.99
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;26;367;25,4;
2015-02-28;17;323,2;26,2;
2015-03-31;23;373,2;25,7;
2015-04-30;24;204;26,2;
2015-05-31;26;260,4;26;
2015-06-30;25;156,6;26;
2015-07-31;21;112,2;26,1;
2015-08-31;8;46,6;27,1;
2015-09-30;5;41,6;28,4;
2015-10-31;11;45;28,6;
2015-11-30;10;null;27,6;
2015-12-31;10;47,4;27,7;
2016-01-31;4;null;29,1;
2016-02-29;null;null;null;
2016-03-31;null;null;null;
2016-04-30;2;null;null;
2016-05-31;25;358,4;26,5;
2016-06-30;19;137,4;26;
2016-07-31;2;null;null;
2016-08-31;null;null;null;
2016-09-30;19;166,6;26,6;
2016-10-31;14;138,6;27,3;
2016-11-30;15;97,6;27,5;
2016-12-31;24;418,2;26,2;
2017-01-31;22;366,2;25,6;
2017-02-28;17;387;25,7;
2017-03-31;28;323,6;26;
2017-04-30;27;358,8;25,9;
2017-05-31;26;197;26,7;
2017-06-30;21;140,2;26,5;
2017-07-31;6;null;25,7;
2017-08-31;7;31,4;27,4;
2017-09-30;21;181;26,8;
2017-10-31;17;172,6;26,9;
2017-11-30;13;125,4;27,2;
2017-12-31;20;211,6;26,5;
2018-01-31;24;242,8;25,7;
2018-02-28;16;204,6;26;
2018-03-31;18;183;26,4;
2018-04-30;26;360,6;25,6;
2018-05-31;26;317,4;25,6;
2018-06-30;24;240;25,7;
2018-07-31;19;187,8;26;
2018-08-31;18;107,2;26,4;
2018-09-30;14;114,2;27,1;
2018-10-31;10;77;28,1;
2018-11-30;13;206,6;27,1;
2018-12-31;22;262;25,8;
2019-01-31;23;234,4;26;
2019-02-28;16;149,2;26,3;
2019-03-31;19;361,6;26,9;
2019-04-30;25;474,4;26,5;
2019-05-31;25;449;26;
2019-06-30;22;226,6;26,3;
2019-07-31;11;111,4;26,3;
2019-08-31;15;196,8;26,6;
2019-09-30;9;105,6;27,3;
2019-10-31;20;193,2;26,1;
2019-11-30;21;190,6;26,9;
2019-12-31;12;null;26,1;
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;27,5;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;5;null;27,2;
2020-09-30;5;null;27,6;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;10;null;25,4;
2021-01-31;25;272;25,7;
2021-02-28;21;249,6;25,9;
2021-03-31;25;362,2;25,4;
2021-04-30;27;300,8;25,8;
2021-05-31;24;262,2;25,9;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;6;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;9;null;null;
2022-07-31;21;124,8;26,5;
2022-08-31;14;104;26,9;
2022-09-30;15;51,8;27,5;
2022-10-31;14;159;26,9;
2022-11-30;14;144,8;26,7;
2022-12-31;20;357,6;26,2;
2023-01-31;26;327,4;25,4;
2023-02-28;27;420;25,7;
2023-03-31;25;248;26,2;
2023-04-30;22;272,8;26,3;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

