Nome: MANICORE
Codigo Estacao: A133
Latitude: -5.7886111
Longitude: -61.28833333
Altitude: 40.64
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;290,4;25,7;
2015-02-28;null;456;26,1;
2015-03-31;null;257,6;26,3;
2015-04-30;null;207,8;26,6;
2015-05-31;null;235,4;26,4;
2015-06-30;null;131;26,7;
2015-07-31;null;114,4;26,8;
2015-08-31;null;4,8;28,8;
2015-09-30;null;57,2;29,3;
2015-10-31;null;150,2;27,9;
2015-11-30;null;143,2;27,6;
2015-12-31;null;142,2;27;
2016-01-31;null;240,6;27,3;
2016-02-29;null;247,6;27,1;
2016-03-31;null;397,6;26,8;
2016-04-30;null;348,6;26,9;
2016-05-31;null;155,6;27,1;
2016-06-30;null;72,4;26,8;
2016-07-31;null;6;27,7;
2016-08-31;null;45;28;
2016-09-30;null;225,4;26,8;
2016-10-31;null;139,6;27,4;
2016-11-30;null;347,6;27;
2016-12-31;null;382,8;26;
2017-01-31;null;216,6;25,8;
2017-02-28;null;544;25,7;
2017-03-31;null;1295;26,3;
2017-04-30;null;192,8;26,3;
2017-05-31;null;123,6;26,8;
2017-06-30;null;80,2;26,7;
2017-07-31;null;4,4;26,6;
2017-08-31;null;null;28,2;
2017-09-30;null;null;26,9;
2017-10-31;null;null;27;
2017-11-30;null;null;26,7;
2017-12-31;null;null;26,2;
2018-01-31;null;null;25,9;
2018-02-28;null;null;25,6;
2018-03-31;null;null;26,4;
2018-04-30;null;null;25,7;
2018-05-31;null;null;26,2;
2018-06-30;null;1,8;26,4;
2018-07-31;null;1,2;26,8;
2018-08-31;null;7,4;26,4;
2018-09-30;null;null;27,6;
2018-10-31;null;null;28,1;
2018-11-30;null;null;26,9;
2018-12-31;null;null;26;
2019-01-31;null;null;26,1;
2019-02-28;null;null;26;
2019-03-31;null;null;26,7;
2019-04-30;null;null;26,7;
2019-05-31;null;null;26,7;
2019-06-30;null;null;27;
2019-07-31;null;null;27;
2019-08-31;null;59;26,9;
2019-09-30;null;91,6;27,7;
2019-10-31;null;206,4;26,6;
2019-11-30;null;null;27,2;
2019-12-31;null;null;null;
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;4;null;26,5;
2022-07-31;8;17,2;27,4;
2022-08-31;8;27;27,2;
2022-09-30;12;93,2;28,2;
2022-10-31;19;276,2;27,1;
2022-11-30;18;243,4;26,4;
2022-12-31;24;290,6;26,2;
2023-01-31;27;450,2;25,4;
2023-02-28;25;400,6;25,6;
2023-03-31;28;312,6;25,9;
2023-04-30;23;315;26,3;
2023-05-31;24;162;26,8;
2023-06-30;14;92,2;26,3;
2023-07-31;3;3,8;27,6;
2023-08-31;11;85,6;28,2;
2023-09-30;9;113,6;28,4;
2023-10-31;13;219,2;28,7;
2023-11-30;18;170,4;27,7;
2023-12-31;22;333,6;27;
2024-01-31;null;null;26,9;
2024-02-29;null;null;27;
2024-03-31;14;null;26,8;
2024-04-30;24;239,8;27,2;
2024-05-31;18;209,6;26,9;
2024-06-30;10;60,6;27,7;
2024-07-31;0;0;28,2;
2024-08-31;2;12,2;28,8;
2024-09-30;6;117,6;29,3;
2024-10-31;11;64,2;29;
2024-11-30;15;133,6;27,9;
2024-12-31;28;395,2;26,8;

