Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.12527777
Longitude: -67.06111111
Altitude: 79.67
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;null;25,6;
2015-02-28;null;null;null;
2015-03-31;null;null;null;
2015-04-30;null;null;null;
2015-05-31;null;null;null;
2015-06-30;null;null;null;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;27,3;
2015-10-31;null;123;26,3;
2015-11-30;null;147,8;26,6;
2015-12-31;null;245;26,6;
2016-01-31;null;171;27,2;
2016-02-29;null;147,6;26,9;
2016-03-31;null;286,2;26,9;
2016-04-30;null;345;26,3;
2016-05-31;null;451,6;25,9;
2016-06-30;null;280,2;25,2;
2016-07-31;null;255,4;25;
2016-08-31;null;141,6;25,8;
2016-09-30;null;170,6;25,8;
2016-10-31;null;268,8;26,2;
2016-11-30;null;159,4;26,5;
2016-12-31;null;336,4;25,7;
2017-01-31;null;284,4;25,5;
2017-02-28;null;411,2;26;
2017-03-31;null;263,6;25,8;
2017-04-30;null;438,4;25,9;
2017-05-31;null;176,2;26,1;
2017-06-30;null;216;25,7;
2017-07-31;null;243,8;25,1;
2017-08-31;null;162,6;26,1;
2017-09-30;null;123;26,3;
2017-10-31;null;148,6;26,2;
2017-11-30;null;280;26,4;
2017-12-31;null;241;26,2;
2018-01-31;null;262,2;26;
2018-02-28;null;260,8;26;
2018-03-31;null;195,4;26,7;
2018-04-30;null;423,6;25,4;
2018-05-31;null;300,6;25,5;
2018-06-30;null;202,2;24,5;
2018-07-31;null;319,4;24,9;
2018-08-31;null;219,2;25,4;
2018-09-30;null;189,4;26;
2018-10-31;null;95,6;26,8;
2018-11-30;null;340,4;26,2;
2018-12-31;null;338,4;25,5;
2019-01-31;null;301,8;25,8;
2019-02-28;null;164,4;26,5;
2019-03-31;null;96,2;26,7;
2019-04-30;null;231;25,8;
2019-05-31;null;637,2;25,6;
2019-06-30;null;201;25,5;
2019-07-31;null;255,6;24,9;
2019-08-31;null;196,6;25,3;
2019-09-30;null;161,2;26;
2019-10-31;null;195,2;25,4;
2019-11-30;null;227;26,1;
2019-12-31;null;156,8;26,2;
2020-01-31;20;174,8;26,5;
2020-02-29;13;80;27,2;
2020-03-31;18;245,8;26,5;
2020-04-30;22;271,2;26;
2020-05-31;27;359;25,7;
2020-06-30;24;422;25,3;
2020-07-31;27;223,2;25,3;
2020-08-31;17;104,4;25,8;
2020-09-30;10;null;26,6;
2020-10-31;13;87;26,5;
2020-11-30;2;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;6;null;null;
2022-06-30;23;359,6;24,7;
2022-07-31;19;156,6;25,6;
2022-08-31;24;245,2;25,3;
2022-09-30;17;154,8;26,3;
2022-10-31;17;169;26,2;
2022-11-30;14;null;25,6;
2022-12-31;24;null;25,7;
2023-01-31;21;null;25;
2023-02-28;25;null;25,1;
2023-03-31;19;238,4;25,8;
2023-04-30;24;409;25,6;
2023-05-31;21;267,8;25,8;
2023-06-30;24;210;24,9;
2023-07-31;26;224,8;25,5;
2023-08-31;20;184;26,5;
2023-09-30;13;171,2;27;
2023-10-31;15;98,8;27,7;
2023-11-30;14;null;27,2;
2023-12-31;21;null;26,7;
2024-01-31;21;null;27,3;
2024-02-29;14;null;27,2;
2024-03-31;13;null;27,1;
2024-04-30;22;290;26,6;
2024-05-31;24;309;26,2;
2024-06-30;23;198;25,8;
2024-07-31;22;238,2;25,1;
2024-08-31;17;157;26,1;
2024-09-30;16;212,4;26,8;
2024-10-31;16;87,4;27,3;
2024-11-30;13;null;26,8;
2024-12-31;22;259,6;26,4;

