Nome: BOA VISTA
Codigo Estacao: A135
Latitude: 2.81694443
Longitude: -60.69083333
Altitude: 82.35
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;6;10,6;28,2;
2015-02-28;4;3,6;28,9;
2015-03-31;6;1,6;29,2;
2015-04-30;null;null;28,7;
2015-05-31;null;null;26,4;
2015-06-30;null;null;26,3;
2015-07-31;null;null;26,3;
2015-08-31;null;null;27,3;
2015-09-30;null;null;29,5;
2015-10-31;null;null;29,9;
2015-11-30;null;null;29,5;
2015-12-31;5;10,4;28,6;
2016-01-31;0;0;29,2;
2016-02-29;8;33,4;28,7;
2016-03-31;0;0;30,1;
2016-04-30;15;259;28;
2016-05-31;22;332,8;26,7;
2016-06-30;16;null;25,9;
2016-07-31;6;null;null;
2016-08-31;14;null;27,2;
2016-09-30;9;105,8;27,9;
2016-10-31;2;null;29,4;
2016-11-30;1;null;null;
2016-12-31;9;113;28,2;
2017-01-31;8;29,6;27,5;
2017-02-28;7;69;27,6;
2017-03-31;12;111,4;27,5;
2017-04-30;11;121;27,7;
2017-05-31;10;null;null;
2017-06-30;null;null;null;
2017-07-31;17;null;25,7;
2017-08-31;14;76;28;
2017-09-30;14;133,2;28,2;
2017-10-31;3;5,6;29,2;
2017-11-30;2;5,2;29,6;
2017-12-31;6;11,8;28,7;
2018-01-31;7;27,4;28,2;
2018-02-28;3;23,2;28,6;
2018-03-31;4;null;null;
2018-04-30;null;null;null;
2018-05-31;27;280,6;26,3;
2018-06-30;27;403;25,5;
2018-07-31;29;443,8;25,2;
2018-08-31;18;135,8;27,2;
2018-09-30;16;335;27,5;
2018-10-31;4;70;29,5;
2018-11-30;11;64;28,6;
2018-12-31;4;7,6;27,4;
2019-01-31;3;5;28,2;
2019-02-28;1;,2;28,7;
2019-03-31;2;7;30,1;
2019-04-30;6;13,2;30;
2019-05-31;27;440,2;26,3;
2019-06-30;28;520,4;26,1;
2019-07-31;26;386,8;25,9;
2019-08-31;22;346,2;26,2;
2019-09-30;16;127,8;27,5;
2019-10-31;7;47,4;27,9;
2019-11-30;12;221,4;27,9;
2019-12-31;13;63;27,4;
2020-01-31;3;7,2;27,9;
2020-02-29;1;1,8;28,6;
2020-03-31;3;5,6;29,7;
2020-04-30;6;104,8;28,8;
2020-05-31;26;288,8;26,8;
2020-06-30;27;378,2;26;
2020-07-31;21;null;26;
2020-08-31;25;192;26,4;
2020-09-30;5;null;27,3;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;27;
2022-05-31;null;null;25,7;
2022-06-30;null;null;25,6;
2022-07-31;null;null;26;
2022-08-31;null;null;26,9;
2022-09-30;null;null;27,5;
2022-10-31;null;null;27,8;
2022-11-30;null;null;26,7;
2022-12-31;11;49,6;26,6;
2023-01-31;11;86,6;26,7;
2023-02-28;5;53,6;27;
2023-03-31;2;8,4;28,3;
2023-04-30;12;293;27,9;
2023-05-31;24;322,8;26,8;
2023-06-30;28;425,6;26,2;
2023-07-31;28;397,6;26,4;
2023-08-31;7;null;27,9;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;2;null;null;
2023-12-31;7;22,4;29,3;
2024-01-31;4;4,2;29,5;
2024-02-29;3;6,8;30,3;
2024-03-31;3;33,6;30,9;
2024-04-30;13;175,4;29,2;
2024-05-31;5;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;5;null;29,3;
2024-10-31;6;17;29,7;
2024-11-30;10;160,8;29,5;
2024-12-31;11;12,4;28,8;

