Nome: PORTO WALTER
Codigo Estacao: A136
Latitude: -8.26722221
Longitude: -72.74777777
Altitude: 205.35
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;null;24,7;
2015-02-28;null;null;25,3;
2015-03-31;null;null;25,2;
2015-04-30;null;null;25,1;
2015-05-31;null;null;25,1;
2015-06-30;null;null;25;
2015-07-31;null;null;25,4;
2015-08-31;null;null;26,4;
2015-09-30;null;null;26,7;
2015-10-31;null;null;26,6;
2015-11-30;null;null;26,3;
2015-12-31;null;null;25,8;
2016-01-31;null;null;26,5;
2016-02-29;null;null;25,9;
2016-03-31;null;null;25,9;
2016-04-30;null;null;26;
2016-05-31;null;null;25,4;
2016-06-30;null;null;24,5;
2016-07-31;null;null;25,7;
2016-08-31;null;null;26,5;
2016-09-30;null;null;null;
2016-10-31;null;null;null;
2016-11-30;null;null;null;
2016-12-31;null;null;null;
2017-01-31;null;null;null;
2017-02-28;null;null;null;
2017-03-31;null;null;null;
2017-04-30;null;null;null;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;null;null;null;
2017-09-30;10;null;25,7;
2017-10-31;12;124;26,2;
2017-11-30;18;240,4;25,9;
2017-12-31;19;152,6;25,8;
2018-01-31;25;126,8;25,2;
2018-02-28;20;183,8;25,4;
2018-03-31;26;132,2;25,4;
2018-04-30;24;249,4;25,2;
2018-05-31;21;330;24,8;
2018-06-30;5;54;23,9;
2018-07-31;10;40,6;24,9;
2018-08-31;13;51,4;24,7;
2018-09-30;7;91,6;26;
2018-10-31;18;353,8;25,9;
2018-11-30;27;485,8;25,5;
2018-12-31;25;271,2;25;
2019-01-31;28;305,8;25;
2019-02-28;23;264,2;25,2;
2019-03-31;26;318,8;25,5;
2019-04-30;16;85,2;25,9;
2019-05-31;11;119,4;25,8;
2019-06-30;9;null;25,8;
2019-07-31;14;59,2;24,5;
2019-08-31;3;null;24,6;
2019-09-30;null;null;null;
2019-10-31;null;null;null;
2019-11-30;null;null;null;
2019-12-31;22;330,2;25,5;
2020-01-31;15;157;26,2;
2020-02-29;24;238,6;25,9;
2020-03-31;10;null;26,1;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

