Nome: MARECHAL THAUMATURGO
Codigo Estacao: A137
Latitude: -8.95
Longitude: -72.78666666
Altitude: 220.98
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;26;223,8;24,6;
2015-02-28;21;258,6;25,3;
2015-03-31;24;269,8;25,2;
2015-04-30;27;256,8;24,8;
2015-05-31;22;197;24,9;
2015-06-30;22;99,4;24,8;
2015-07-31;14;22,8;24,9;
2015-08-31;15;118,4;26,3;
2015-09-30;16;84,8;26,5;
2015-10-31;16;128;26,3;
2015-11-30;22;271,2;26;
2015-12-31;23;183,6;25,9;
2016-01-31;21;271,4;26,3;
2016-02-29;24;453,2;25,8;
2016-03-31;21;292,6;25,9;
2016-04-30;20;140,6;26,1;
2016-05-31;22;89,2;25;
2016-06-30;18;75,4;23,9;
2016-07-31;11;null;25;
2016-08-31;13;68;25,2;
2016-09-30;6;null;25,3;
2016-10-31;8;null;26,3;
2016-11-30;null;null;null;
2016-12-31;null;null;null;
2017-01-31;null;null;null;
2017-02-28;null;null;null;
2017-03-31;null;null;null;
2017-04-30;null;null;null;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;null;null;null;
2017-09-30;12;null;25,4;
2017-10-31;11;49,4;25,9;
2017-11-30;23;343,2;25,6;
2017-12-31;23;132,8;25,6;
2018-01-31;17;null;24,8;
2018-02-28;18;171,8;25,1;
2018-03-31;5;null;null;
2018-04-30;null;null;null;
2018-05-31;null;null;null;
2018-06-30;null;null;null;
2018-07-31;null;null;null;
2018-08-31;null;null;null;
2018-09-30;null;null;null;
2018-10-31;15;null;25,5;
2018-11-30;23;null;25,3;
2018-12-31;25;105,8;25,1;
2019-01-31;27;272,6;25;
2019-02-28;21;319,2;25;
2019-03-31;28;459;25,1;
2019-04-30;16;null;25,4;
2019-05-31;null;null;25,2;
2019-06-30;null;null;25;
2019-07-31;null;null;null;
2019-08-31;null;null;24;
2019-09-30;null;null;null;
2019-10-31;null;null;25,3;
2019-11-30;null;null;null;
2019-12-31;null;null;null;
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;0;0;25,2;
2020-05-31;null;null;24,2;
2020-06-30;null;null;25,1;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

