Nome: FEIJO
Codigo Estacao: A138
Latitude: -8.14277777
Longitude: -70.3436111
Altitude: 157.17
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;30;481,2;24,6;
2015-02-28;22;372;25,3;
2015-03-31;29;340,8;25,2;
2015-04-30;24;334,4;25,5;
2015-05-31;26;178,8;25;
2015-06-30;21;72;24,7;
2015-07-31;15;33,8;24,9;
2015-08-31;12;101,8;26;
2015-09-30;11;54,6;26,3;
2015-10-31;14;118,8;26,4;
2015-11-30;19;140,8;26,3;
2015-12-31;20;298,8;25,7;
2016-01-31;22;141,6;26,4;
2016-02-29;20;72;26;
2016-03-31;21;40,8;26,2;
2016-04-30;15;37;25,9;
2016-05-31;16;29;25;
2016-06-30;4;null;null;
2016-07-31;null;null;null;
2016-08-31;null;null;null;
2016-09-30;4;null;null;
2016-10-31;19;179,8;26,1;
2016-11-30;18;99,4;25,8;
2016-12-31;29;446,8;25,3;
2017-01-31;16;null;24,9;
2017-02-28;null;null;null;
2017-03-31;null;null;null;
2017-04-30;null;null;null;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;null;null;null;
2017-09-30;15;225,4;25,6;
2017-10-31;13;132,8;25,9;
2017-11-30;18;264;25,7;
2017-12-31;24;349,2;25,4;
2018-01-31;26;207;25,2;
2018-02-28;19;184,2;25,2;
2018-03-31;23;244,2;25,3;
2018-04-30;22;180,2;25,3;
2018-05-31;13;115,2;24,6;
2018-06-30;7;33;23,1;
2018-07-31;7;32;24,4;
2018-08-31;12;107,2;24,1;
2018-09-30;15;90,8;25,6;
2018-10-31;21;211,2;25,9;
2018-11-30;22;229,2;25,7;
2018-12-31;25;190,2;25,2;
2019-01-31;28;351,8;25,4;
2019-02-28;25;394,4;25,5;
2019-03-31;26;270,6;25,6;
2019-04-30;20;208,6;25,8;
2019-05-31;16;57,2;25,1;
2019-06-30;16;95,4;25,2;
2019-07-31;13;145,2;24;
2019-08-31;8;82,8;24,4;
2019-09-30;12;66,8;26,3;
2019-10-31;21;165,6;25,1;
2019-11-30;22;281,8;25,7;
2019-12-31;20;364,4;25,9;
2020-01-31;19;209,8;26,3;
2020-02-29;21;299,8;25,7;
2020-03-31;19;299,6;26;
2020-04-30;20;294;25,3;
2020-05-31;16;54,6;24,6;
2020-06-30;10;67,6;25,1;
2020-07-31;8;37;24,7;
2020-08-31;5;85,2;24,9;
2020-09-30;13;153,4;26;
2020-10-31;15;132,8;25,8;
2020-11-30;13;46,4;26,2;
2020-12-31;20;302,2;25,4;
2021-01-31;13;null;25,5;
2021-02-28;9;null;null;
2021-03-31;2;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;16;null;26,1;
2024-01-31;25;152,6;26,3;
2024-02-29;24;405,2;26,2;
2024-03-31;22;198,8;26,4;
2024-04-30;20;345,4;26,4;
2024-05-31;16;92,8;24,7;
2024-06-30;15;26,6;25,5;
2024-07-31;6;56,2;24;
2024-08-31;5;52,4;25,4;
2024-09-30;6;97,4;26,8;
2024-10-31;12;264;26,9;
2024-11-30;21;189,2;25,9;
2024-12-31;28;345,4;25,7;

