Nome: EPITACIOLANDIA
Codigo Estacao: A140
Latitude: -11.02388888
Longitude: -68.73527777
Altitude: 224.5
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;29;136,6;24,6;
2015-02-28;28;92,8;25,2;
2015-03-31;21;168,8;25,2;
2015-04-30;25;215,2;25;
2015-05-31;19;170,8;24,3;
2015-06-30;null;null;24;
2015-07-31;5;13;23,5;
2015-08-31;4;13,4;25,9;
2015-09-30;null;null;26,3;
2015-10-31;6;null;26,8;
2015-11-30;16;200,2;26,3;
2015-12-31;18;190,8;25,8;
2016-01-31;25;307,2;26,2;
2016-02-29;25;405,4;25,6;
2016-03-31;14;250,8;25,5;
2016-04-30;16;87,2;25,2;
2016-05-31;10;138,6;23,4;
2016-06-30;2;14,6;22,1;
2016-07-31;1;1,4;23,5;
2016-08-31;4;55,4;24,5;
2016-09-30;11;139;24,5;
2016-10-31;15;169,4;25,5;
2016-11-30;13;164;25,3;
2016-12-31;18;276,2;25,4;
2017-01-31;23;228,6;24,6;
2017-02-28;20;269,6;25;
2017-03-31;25;366,4;24,8;
2017-04-30;18;284,2;24,7;
2017-05-31;6;37,6;25,1;
2017-06-30;null;null;22,9;
2017-07-31;1;5,6;22,6;
2017-08-31;8;46,6;25;
2017-09-30;10;58;25,6;
2017-10-31;16;123,6;25,7;
2017-11-30;19;210,6;25,4;
2017-12-31;22;155,8;25,5;
2018-01-31;23;51,4;24,7;
2018-02-28;null;null;25,1;
2018-03-31;null;null;24,9;
2018-04-30;null;null;25,3;
2018-05-31;null;null;24,2;
2018-06-30;null;null;22,1;
2018-07-31;2;2,2;23;
2018-08-31;17;34,6;22,6;
2018-09-30;8;158,4;25;
2018-10-31;20;173,8;25,7;
2018-11-30;20;236,6;25,3;
2018-12-31;24;267,6;25;
2019-01-31;25;247,4;24,9;
2019-02-28;25;226,2;25,1;
2019-03-31;24;278,2;25,3;
2019-04-30;18;148,8;25,1;
2019-05-31;10;90,6;24;
2019-06-30;5;5,8;24,3;
2019-07-31;5;24,2;23;
2019-08-31;3;28,8;23,7;
2019-09-30;10;102;26,1;
2019-10-31;17;111;24,9;
2019-11-30;19;295;25,2;
2019-12-31;23;390,2;25,2;
2020-01-31;18;356,2;25,9;
2020-02-29;14;139;25,4;
2020-03-31;17;119,4;25,6;
2020-04-30;11;null;24,4;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;15;null;26,5;
2024-01-31;21;285,4;26,2;
2024-02-29;16;null;26,4;
2024-03-31;11;65,2;26,6;
2024-04-30;11;66,8;26,3;
2024-05-31;8;145,8;23,3;
2024-06-30;1;10,6;25,2;
2024-07-31;0;0;22,8;
2024-08-31;0;0;25;
2024-09-30;2;15;27,4;
2024-10-31;10;220,8;27,1;
2024-11-30;18;300,6;26;
2024-12-31;9;24,6;26,1;

