Nome: BELEM
Codigo Estacao: A201
Latitude: -1.41111111
Longitude: -48.43944444
Altitude: 21.17
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;31;392,4;26,3;
2015-02-28;11;null;null;
2015-03-31;28;427,6;25,8;
2015-04-30;27;484,2;25,9;
2015-05-31;26;298,4;26,6;
2015-06-30;26;167,6;26,7;
2015-07-31;26;149,8;26,7;
2015-08-31;10;103,4;27,4;
2015-09-30;12;63,4;27,6;
2015-10-31;15;76;28,1;
2015-11-30;10;61;28,3;
2015-12-31;24;227,6;27,6;
2016-01-31;29;250,4;27;
2016-02-29;29;486,2;26,2;
2016-03-31;30;503;26,4;
2016-04-30;28;321,4;27,1;
2016-05-31;25;248,6;27,3;
2016-06-30;26;211,4;26,9;
2016-07-31;18;128,8;27;
2016-08-31;13;122,4;27,4;
2016-09-30;14;92,4;27,4;
2016-10-31;12;90,2;27,8;
2016-11-30;13;92,2;28,1;
2016-12-31;29;269,4;26,6;
2017-01-31;28;550;25,9;
2017-02-28;24;null;25,8;
2017-03-31;30;555,8;25,6;
2017-04-30;25;432,8;26,3;
2017-05-31;24;221;27;
2017-06-30;20;146,4;27,3;
2017-07-31;10;47,4;27,6;
2017-08-31;20;201,6;27,3;
2017-09-30;12;72;27,8;
2017-10-31;20;236,6;27,3;
2017-11-30;10;110,2;27,7;
2017-12-31;21;254;27;
2018-01-31;27;339;26,1;
2018-02-28;24;583,8;25,7;
2018-03-31;27;456,2;26,4;
2018-04-30;29;546,4;25,9;
2018-05-31;27;408,6;26;
2018-06-30;12;107,4;27,1;
2018-07-31;16;121,8;27,1;
2018-08-31;19;222,4;26,6;
2018-09-30;13;216,8;27,3;
2018-10-31;20;276,2;27,6;
2018-11-30;17;315,6;27,6;
2018-12-31;28;449,6;25,8;
2019-01-31;28;388,4;26,2;
2019-02-28;25;426,6;26,3;
2019-03-31;29;759,6;25,8;
2019-04-30;27;563,8;26,3;
2019-05-31;30;443,4;26,5;
2019-06-30;20;244,8;27;
2019-07-31;15;165;26,9;
2019-08-31;18;151;27,2;
2019-09-30;17;232,6;27,5;
2019-10-31;21;274,8;27,3;
2019-11-30;20;249,6;27,4;
2019-12-31;23;376,2;27,2;
2020-01-31;30;465,6;26,2;
2020-02-29;26;553,8;26;
2020-03-31;14;null;25,8;
2020-04-30;29;452,6;26,5;
2020-05-31;28;474,6;26,9;
2020-06-30;22;248,2;27,1;
2020-07-31;17;156,2;27,4;
2020-08-31;10;110,4;28,2;
2020-09-30;19;142,2;27,7;
2020-10-31;25;304,8;27,3;
2020-11-30;27;414,6;27;
2020-12-31;25;227;27,2;
2021-01-31;23;null;26,5;
2021-02-28;27;633,8;26;
2021-03-31;28;438;25,8;
2021-04-30;26;513,4;26,5;
2021-05-31;26;498;26,7;
2021-06-30;24;191;26,9;
2021-07-31;26;210;26,8;
2021-08-31;18;275,8;27,4;
2021-09-30;26;242,8;26,9;
2021-10-31;27;312,6;27,6;
2021-11-30;24;327,6;27,4;
2021-12-31;24;286,2;27,5;
2022-01-31;27;304,8;25,9;
2022-02-28;25;275,6;26,7;
2022-03-31;29;528,8;26,2;
2022-04-30;27;501;25,9;
2022-05-31;29;452,6;26,2;
2022-06-30;15;null;26,7;
2022-07-31;17;113;27,4;
2022-08-31;16;157;27,8;
2022-09-30;18;182;27,8;
2022-10-31;22;248,4;27,7;
2022-11-30;22;368;27,2;
2022-12-31;25;333,8;26,9;
2023-01-31;30;359,6;26,4;
2023-02-28;22;null;26,1;
2023-03-31;29;533,4;26,1;
2023-04-30;29;308,8;26,8;
2023-05-31;25;259,8;27,3;
2023-06-30;20;193,8;27,5;
2023-07-31;17;133,8;27,8;
2023-08-31;7;26,2;28,4;
2023-09-30;11;38,6;28,7;
2023-10-31;10;null;29;
2023-11-30;8;null;28,7;
2023-12-31;16;null;27,9;
2024-01-31;30;506,6;27,2;
2024-02-29;23;410,4;26,9;
2024-03-31;31;537,8;27,2;
2024-04-30;30;466;27,2;
2024-05-31;28;332,2;27,5;
2024-06-30;23;231;27,7;
2024-07-31;6;36,8;28,4;
2024-08-31;13;66,8;28,5;
2024-09-30;11;23,2;28,9;
2024-10-31;10;73,6;28,8;
2024-11-30;9;68,6;28,9;
2024-12-31;28;430,4;27,4;

