Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;11;null;null;
2015-02-28;11;null;null;
2015-03-31;8;null;null;
2015-04-30;2;null;null;
2015-05-31;3;null;null;
2015-06-30;19;95,2;26,2;
2015-07-31;3;null;null;
2015-08-31;2;null;null;
2015-09-30;3;21,8;27,5;
2015-10-31;null;null;28,2;
2015-11-30;1;null;null;
2015-12-31;1;null;null;
2016-01-31;17;129;27,2;
2016-02-29;28;302,8;26,1;
2016-03-31;null;null;26,2;
2016-04-30;25;179;26,8;
2016-05-31;18;156;27,1;
2016-06-30;18;152,8;26,7;
2016-07-31;21;143,4;26,6;
2016-08-31;11;98,8;27,1;
2016-09-30;9;42,6;27;
2016-10-31;0;0;27,5;
2016-11-30;3;1,2;28,1;
2016-12-31;27;225;26,5;
2017-01-31;28;135,4;25,8;
2017-02-28;22;205;25,6;
2017-03-31;29;254,2;25,3;
2017-04-30;29;415,8;25,7;
2017-05-31;26;173,2;26,5;
2017-06-30;22;129,4;26,9;
2017-07-31;11;73,2;27,2;
2017-08-31;11;29,8;27,3;
2017-09-30;10;27,8;27,7;
2017-10-31;8;25,4;27,5;
2017-11-30;3;8;27,9;
2017-12-31;11;74,2;27;
2018-01-31;16;192,8;25,7;
2018-02-28;23;192,6;25,4;
2018-03-31;29;331,8;26;
2018-04-30;28;166,2;25,4;
2018-05-31;26;256,6;25,5;
2018-06-30;20;108,8;26,7;
2018-07-31;18;187;26,6;
2018-08-31;20;null;26,4;
2018-09-30;14;122,8;27;
2018-10-31;10;83,2;27,5;
2018-11-30;7;205;27,8;
2018-12-31;29;419;25,4;
2019-01-31;23;219,6;25,9;
2019-02-28;25;121,2;25,5;
2019-03-31;29;552,6;25,5;
2019-04-30;29;337,6;25,8;
2019-05-31;28;283,4;26,1;
2019-06-30;25;167,2;26,6;
2019-07-31;17;null;26,6;
2019-08-31;20;124;26,9;
2019-09-30;3;null;null;
2019-10-31;12;71,8;27,3;
2019-11-30;8;98;27,4;
2019-12-31;17;298;27;
2020-01-31;30;203,4;25,6;
2020-02-29;27;441,6;25,7;
2020-03-31;27;607,6;25,7;
2020-04-30;30;593;25,9;
2020-05-31;22;311,8;26,4;
2020-06-30;21;191,2;26,6;
2020-07-31;19;143,6;27;
2020-08-31;9;48,4;27,7;
2020-09-30;9;null;27,5;
2020-10-31;11;128,8;27,6;
2020-11-30;24;261,6;26,5;
2020-12-31;18;141,4;26,9;
2021-01-31;15;null;26,5;
2021-02-28;25;265,6;25,7;
2021-03-31;31;220,4;25,3;
2021-04-30;25;null;26;
2021-05-31;21;null;26;
2021-06-30;null;null;null;
2021-07-31;6;null;null;
2021-08-31;2;null;null;
2021-09-30;4;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;7;null;null;
2022-01-31;27;451,2;25,4;
2022-02-28;13;null;26,1;
2022-03-31;15;null;25,5;
2022-04-30;16;null;25,5;
2022-05-31;15;null;25,6;
2022-06-30;2;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;6;null;null;
2023-02-28;26;357;25,4;
2023-03-31;5;null;null;
2023-04-30;13;null;null;
2023-05-31;25;228,8;26,6;
2023-06-30;8;null;null;
2023-07-31;5;null;null;
2023-08-31;null;null;null;
2023-09-30;9;62,4;28,1;
2023-10-31;6;70,6;28,4;
2023-11-30;12;81,8;28,4;
2023-12-31;22;237;27,3;
2024-01-31;27;391,8;26,8;
2024-02-29;26;456;26,4;
2024-03-31;27;426,8;26,5;
2024-04-30;29;381,8;26,6;
2024-05-31;27;329;26,9;
2024-06-30;18;179,8;27,2;
2024-07-31;13;72;27,8;
2024-08-31;10;64;27,8;
2024-09-30;5;26,8;28,4;
2024-10-31;3;41,8;28,4;
2024-11-30;4;6,2;28,7;
2024-12-31;22;239,4;27,4;

