Nome: PLACAS
Codigo Estacao: A211
Latitude: -3.86416666
Longitude: -54.21638888
Altitude: 100.45
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;null;26,1;
2015-02-28;null;null;25,8;
2015-03-31;null;null;25,5;
2015-04-30;null;null;26;
2015-05-31;null;null;26,2;
2015-06-30;null;null;26,2;
2015-07-31;null;null;26,2;
2015-08-31;null;null;27,5;
2015-09-30;4;15,2;28,6;
2015-10-31;5;44,8;29;
2015-11-30;6;106,2;28,3;
2015-12-31;6;38,2;28,1;
2016-01-31;11;47,2;27,9;
2016-02-29;25;177,8;26,9;
2016-03-31;26;344,4;26,4;
2016-04-30;22;258;26,8;
2016-05-31;16;84,2;26,8;
2016-06-30;10;37,2;26,6;
2016-07-31;5;29,8;26,8;
2016-08-31;4;30;27,7;
2016-09-30;1;null;null;
2016-10-31;7;105,4;27,4;
2016-11-30;5;50,8;27,6;
2016-12-31;21;359,4;26,4;
2017-01-31;21;220,2;25,6;
2017-02-28;24;310;25,4;
2017-03-31;30;328,6;25,7;
2017-04-30;20;247;26,4;
2017-05-31;20;101,2;26,5;
2017-06-30;8;18,4;26,7;
2017-07-31;null;null;26,7;
2017-08-31;5;11,6;27,9;
2017-09-30;3;32,2;28,2;
2017-10-31;9;176,4;28;
2017-11-30;8;94,8;27,8;
2017-12-31;15;116,6;26,5;
2018-01-31;18;157,6;26,1;
2018-02-28;5;null;25,5;
2018-03-31;null;null;25,8;
2018-04-30;null;null;25,7;
2018-05-31;null;null;26,1;
2018-06-30;null;null;26,1;
2018-07-31;null;null;26;
2018-08-31;5;37;26,8;
2018-09-30;14;12,4;27,4;
2018-10-31;11;25,2;28,1;
2018-11-30;10;null;27,3;
2018-12-31;13;null;25,9;
2019-01-31;9;null;null;
2019-02-28;5;null;null;
2019-03-31;6;null;null;
2019-04-30;1;null;null;
2019-05-31;null;null;null;
2019-06-30;null;null;null;
2019-07-31;4;null;26,3;
2019-08-31;3;null;27,3;
2019-09-30;4;60,4;28,2;
2019-10-31;18;145,2;27,1;
2019-11-30;7;79,8;27,1;
2019-12-31;20;107,4;26,8;
2020-01-31;23;237,4;26,2;
2020-02-29;28;220,4;26,1;
2020-03-31;6;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;11;null;26,2;
2022-07-31;8;9,6;26,8;
2022-08-31;3;49;27,2;
2022-09-30;22;86;27,6;
2022-10-31;18;240,6;27,2;
2022-11-30;15;271;26,7;
2022-12-31;16;225,2;26,2;
2023-01-31;21;138,8;25,4;
2023-02-28;18;193,8;25,7;
2023-03-31;19;257;25,7;
2023-04-30;15;202,8;26,3;
2023-05-31;13;88,6;26,6;
2023-06-30;6;32,4;26,8;
2023-07-31;4;12,4;26,7;
2023-08-31;3;7,6;28;
2023-09-30;5;20,6;28,9;
2023-10-31;5;75,4;29,4;
2023-11-30;2;22,8;29,3;
2023-12-31;5;48;28,3;
2024-01-31;null;null;27,1;
2024-02-29;null;null;26,9;
2024-03-31;null;null;27;
2024-04-30;null;null;27;
2024-05-31;null;null;27,5;
2024-06-30;null;null;27,5;
2024-07-31;null;null;27,4;
2024-08-31;4;20,6;27,8;
2024-09-30;0;0;29,4;
2024-10-31;5;109,6;28,6;
2024-11-30;1;8,6;29;
2024-12-31;null;null;null;

