Nome: PARAGOMINAS
Codigo Estacao: A212
Latitude: -2.90055555
Longitude: -47.49499999
Altitude: 88
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;23;156,4;26,4;
2015-02-28;19;76,6;25,6;
2015-03-31;29;408,4;25,5;
2015-04-30;24;268,4;25,8;
2015-05-31;23;106,8;26,2;
2015-06-30;17;57,6;26;
2015-07-31;9;12,8;26,3;
2015-08-31;1;,2;26,8;
2015-09-30;1;2,2;27,7;
2015-10-31;1;,2;28,5;
2015-11-30;1;2,2;28,8;
2015-12-31;8;16,8;28,5;
2016-01-31;20;81,4;27,6;
2016-02-29;18;117;27,1;
2016-03-31;29;369,6;26,4;
2016-04-30;26;276,6;26,6;
2016-05-31;15;137,4;27;
2016-06-30;4;16,8;26,5;
2016-07-31;2;11;26,5;
2016-08-31;0;0;27,6;
2016-09-30;null;null;28,3;
2016-10-31;null;null;28,3;
2016-11-30;null;null;null;
2016-12-31;null;null;null;
2017-01-31;null;null;null;
2017-02-28;5;null;null;
2017-03-31;15;null;25,6;
2017-04-30;22;null;26;
2017-05-31;18;104,2;26,6;
2017-06-30;10;42,4;26,5;
2017-07-31;6;29,2;26;
2017-08-31;1;,2;27,4;
2017-09-30;3;2,8;28;
2017-10-31;6;null;27,6;
2017-11-30;null;null;null;
2017-12-31;null;null;null;
2018-01-31;10;null;null;
2018-02-28;24;485,2;25,3;
2018-03-31;26;255,8;25,7;
2018-04-30;25;545,2;25,3;
2018-05-31;21;205,6;25,6;
2018-06-30;9;30,8;25,9;
2018-07-31;6;28;26,1;
2018-08-31;8;21,8;26,3;
2018-09-30;1;2;27,3;
2018-10-31;5;32,8;27,8;
2018-11-30;5;null;28,1;
2018-12-31;8;null;null;
2019-01-31;27;424,4;25,3;
2019-02-28;25;345,8;25,2;
2019-03-31;29;779,2;25,1;
2019-04-30;28;445;25,7;
2019-05-31;3;null;26,2;
2019-06-30;null;null;26,4;
2019-07-31;null;null;26,1;
2019-08-31;null;null;26,4;
2019-09-30;null;0;27,4;
2019-10-31;null;null;27,4;
2019-11-30;null;null;27,6;
2019-12-31;null;null;27,3;
2020-01-31;null;null;25,4;
2020-02-29;null;null;25,5;
2020-03-31;null;null;25,6;
2020-04-30;28;570,4;25,6;
2020-05-31;20;214,8;26,4;
2020-06-30;8;50,6;26,3;
2020-07-31;6;21;26,3;
2020-08-31;null;null;26,9;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;2;null;null;
2022-01-31;1;null;null;
2022-02-28;20;323,6;26,4;
2022-03-31;23;406,6;26;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;6;37,2;28,9;
2023-12-31;15;150,8;27,6;
2024-01-31;19;304,6;27;
2024-02-29;25;411,2;26,1;
2024-03-31;29;648,2;26,5;
2024-04-30;29;471;26,7;
2024-05-31;14;94,4;27,5;
2024-06-30;7;26,8;27,3;
2024-07-31;3;11,4;27,5;
2024-08-31;0;0;27,9;
2024-09-30;0;0;29;
2024-10-31;0;0;29,1;
2024-11-30;1;,4;29,1;
2024-12-31;null;null;null;

