Nome: TOME ACU
Codigo Estacao: A213
Latitude: -2.59249999
Longitude: -48.36055555
Altitude: 42.95
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;13;null;26;
2015-02-28;null;null;25,5;
2015-03-31;null;null;25,3;
2015-04-30;null;null;25,5;
2015-05-31;4;null;null;
2015-06-30;null;null;null;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;null;
2015-10-31;3;null;null;
2015-11-30;2;null;null;
2015-12-31;3;null;null;
2016-01-31;4;null;null;
2016-02-29;null;null;null;
2016-03-31;null;null;null;
2016-04-30;null;null;null;
2016-05-31;14;null;26,9;
2016-06-30;15;31;26,1;
2016-07-31;4;8,2;25,9;
2016-08-31;3;7,4;26,6;
2016-09-30;6;17,4;27,2;
2016-10-31;9;42;27,2;
2016-11-30;7;29,4;27,9;
2016-12-31;24;267,2;26,4;
2017-01-31;22;232,4;25,3;
2017-02-28;17;59,4;25,6;
2017-03-31;null;null;25,7;
2017-04-30;null;null;26;
2017-05-31;null;null;26,5;
2017-06-30;null;null;26,6;
2017-07-31;null;null;25,9;
2017-08-31;1;9;26,8;
2017-09-30;2;7,4;27,4;
2017-10-31;9;21,2;26,8;
2017-11-30;1;1;27,7;
2017-12-31;14;94,8;27;
2018-01-31;17;64,6;25,8;
2018-02-28;3;null;25,5;
2018-03-31;10;67,6;26,1;
2018-04-30;null;null;25,6;
2018-05-31;14;203,6;25,9;
2018-06-30;11;94;26,3;
2018-07-31;15;109,8;26,2;
2018-08-31;13;115;26;
2018-09-30;14;78;26,7;
2018-10-31;8;null;27,2;
2018-11-30;7;null;null;
2018-12-31;19;null;25,5;
2019-01-31;28;534;25,7;
2019-02-28;9;33;25,5;
2019-03-31;11;14,2;25,7;
2019-04-30;12;73,2;25,9;
2019-05-31;22;248,4;26,4;
2019-06-30;22;80,8;26,7;
2019-07-31;18;53;26,3;
2019-08-31;12;28,2;26,5;
2019-09-30;12;59,6;26,9;
2019-10-31;13;41,6;27,1;
2019-11-30;16;107,4;27,1;
2019-12-31;18;null;26,7;
2020-01-31;24;343,6;25,7;
2020-02-29;26;297,8;25,9;
2020-03-31;26;335,8;26,1;
2020-04-30;30;429,8;26,1;
2020-05-31;22;198,6;26,7;
2020-06-30;14;54,8;26,7;
2020-07-31;8;21,6;26,7;
2020-08-31;2;18,2;27,3;
2020-09-30;3;38,2;27,6;
2020-10-31;18;75;27,2;
2020-11-30;18;null;26,7;
2020-12-31;16;null;26,7;
2021-01-31;8;null;null;
2021-02-28;22;396,6;25,8;
2021-03-31;29;390;25,4;
2021-04-30;26;297,2;26,3;
2021-05-31;22;212,8;26,6;
2021-06-30;18;72;26,3;
2021-07-31;17;129;26,1;
2021-08-31;8;27,2;26,5;
2021-09-30;15;115,6;26,4;
2021-10-31;16;95,2;27,1;
2021-11-30;18;144,6;27;
2021-12-31;8;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;11;43,2;26,8;
2023-08-31;1;6;27,3;
2023-09-30;2;4,6;28,3;
2023-10-31;6;35,4;28,5;
2023-11-30;18;145;27,9;
2023-12-31;21;199;26,8;
2024-01-31;27;234,6;26,8;
2024-02-29;26;345,2;26,2;
2024-03-31;29;442;26,6;
2024-04-30;28;443,8;26,8;
2024-05-31;27;162;27,3;
2024-06-30;12;108,6;27;
2024-07-31;4;39,6;26,8;
2024-08-31;3;15,8;27,2;
2024-09-30;null;null;null;
2024-10-31;5;7;28,6;
2024-11-30;9;22;28,9;
2024-12-31;25;188,2;27,3;

