Nome: SALINOPOLIS
Codigo Estacao: A215
Latitude: -0.61888888
Longitude: -47.35666666
Altitude: 23.18
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;8;113,6;27,8;
2015-02-28;22;266,2;26,9;
2015-03-31;17;null;null;
2015-04-30;10;null;null;
2015-05-31;3;null;null;
2015-06-30;5;null;null;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;null;
2015-10-31;null;null;null;
2015-11-30;null;null;null;
2015-12-31;null;null;null;
2016-01-31;20;139;28;
2016-02-29;28;326,2;27,3;
2016-03-31;27;562;27,2;
2016-04-30;24;369,8;27,7;
2016-05-31;21;120;28,6;
2016-06-30;15;73,8;27,7;
2016-07-31;15;87,8;27,7;
2016-08-31;null;null;28;
2016-09-30;null;0;28,1;
2016-10-31;0;0;28,4;
2016-11-30;1;1,8;28,5;
2016-12-31;13;91,6;28,2;
2017-01-31;19;null;27;
2017-02-28;24;null;26,5;
2017-03-31;29;716;26;
2017-04-30;30;490;26,6;
2017-05-31;22;159,2;27,6;
2017-06-30;21;142;27,4;
2017-07-31;15;79,2;27,1;
2017-08-31;0;0;27,9;
2017-09-30;null;null;28,1;
2017-10-31;null;0;28,2;
2017-11-30;null;0;28,2;
2017-12-31;10;28,6;28;
2018-01-31;26;244,8;26,8;
2018-02-28;26;631;26,1;
2018-03-31;29;244;26,8;
2018-04-30;29;412,8;25,9;
2018-05-31;29;438,6;26,2;
2018-06-30;20;172,2;27,1;
2018-07-31;11;null;26,7;
2018-08-31;1;null;null;
2018-09-30;2;3,4;27,9;
2018-10-31;0;0;28,1;
2018-11-30;5;49,4;28,4;
2018-12-31;28;167;26,6;
2019-01-31;27;221;26,6;
2019-02-28;20;null;26,3;
2019-03-31;19;null;26,3;
2019-04-30;24;null;26,1;
2019-05-31;26;297,6;26,7;
2019-06-30;20;209,4;27;
2019-07-31;15;197,6;27;
2019-08-31;8;30,6;27,6;
2019-09-30;3;null;27,7;
2019-10-31;null;null;null;
2019-11-30;null;null;null;
2019-12-31;7;null;28,2;
2020-01-31;19;null;26,6;
2020-02-29;5;null;null;
2020-03-31;15;null;26,9;
2020-04-30;27;291;26,1;
2020-05-31;28;189;27;
2020-06-30;5;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;1;null;null;
2021-12-31;12;67,4;27,9;
2022-01-31;5;null;null;
2022-02-28;5;null;null;
2022-03-31;null;null;null;
2022-04-30;1;null;25,4;
2022-05-31;null;null;25,4;
2022-06-30;null;null;26,1;
2022-07-31;null;null;26,2;
2022-08-31;null;null;26,9;
2022-09-30;null;null;27,1;
2022-10-31;null;null;27,4;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;6;null;null;
2023-02-28;24;491,2;25;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;13;null;26,1;
2023-07-31;11;123,4;26,4;
2023-08-31;1;1;26,8;
2023-09-30;0;0;27,2;
2023-10-31;0;0;27,4;
2023-11-30;2;2;27,6;
2023-12-31;8;61;27,4;
2024-01-31;25;230,4;26,5;
2024-02-29;26;337;26,2;
2024-03-31;29;696;25,7;
2024-04-30;27;490,4;25,9;
2024-05-31;26;280;26,2;
2024-06-30;23;175,6;26,2;
2024-07-31;12;48;26,5;
2024-08-31;4;2;26,7;
2024-09-30;null;null;26,8;
2024-10-31;null;null;null;
2024-11-30;null;null;27;
2024-12-31;4;null;null;

