Nome: BRAGANCA
Codigo Estacao: A226
Latitude: -1.05583333
Longitude: -46.78277777
Altitude: 5.6
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;3;1;27,6;
2015-02-28;9;18,2;26,7;
2015-03-31;30;277,8;25,6;
2015-04-30;28;424,4;25,8;
2015-05-31;24;231,2;26,6;
2015-06-30;21;174,8;26,4;
2015-07-31;22;169,6;26,2;
2015-08-31;10;35,4;26,8;
2015-09-30;1;,4;27,4;
2015-10-31;0;0;27,9;
2015-11-30;0;0;28,3;
2015-12-31;2;,8;28,6;
2016-01-31;14;87,8;27,5;
2016-02-29;9;null;null;
2016-03-31;1;null;null;
2016-04-30;9;null;27,8;
2016-05-31;null;null;null;
2016-06-30;13;null;26,3;
2016-07-31;17;142,2;26,6;
2016-08-31;6;37,2;27,1;
2016-09-30;3;5,8;27,6;
2016-10-31;0;0;28,1;
2016-11-30;0;0;28,4;
2016-12-31;10;125,6;27,8;
2017-01-31;24;334,4;26,4;
2017-02-28;25;444,2;26,1;
2017-03-31;30;561,6;25,4;
2017-04-30;26;528,4;26;
2017-05-31;27;382;26,7;
2017-06-30;24;290,8;26,4;
2017-07-31;19;108,8;26,6;
2017-08-31;9;72,4;27,2;
2017-09-30;4;17,4;27,7;
2017-10-31;4;2,8;28,1;
2017-11-30;0;0;27,9;
2017-12-31;8;38;27,9;
2018-01-31;26;270,6;26,4;
2018-02-28;22;442,6;25,7;
2018-03-31;27;281;26,5;
2018-04-30;29;477,4;25,4;
2018-05-31;31;594,8;25,6;
2018-06-30;23;181,8;26,4;
2018-07-31;20;151,8;26,2;
2018-08-31;8;40,2;26,7;
2018-09-30;3;7,4;27,5;
2018-10-31;3;11,2;28,2;
2018-11-30;13;18;28,3;
2018-12-31;9;39,4;26,2;
2019-01-31;3;null;null;
2019-02-28;27;725;25,7;
2019-03-31;30;850,8;25,6;
2019-04-30;28;588;25,9;
2019-05-31;27;528,4;26,2;
2019-06-30;27;361,8;26,3;
2019-07-31;19;170,8;26,4;
2019-08-31;12;99,6;26,9;
2019-09-30;3;19,8;27,6;
2019-10-31;1;,6;28,1;
2019-11-30;4;35,8;28,3;
2019-12-31;9;38,8;28,4;
2020-01-31;31;534,6;26,2;
2020-02-29;28;612;25,9;
2020-03-31;28;569,2;26;
2020-04-30;20;235,6;25,9;
2020-05-31;7;9,4;26,6;
2020-06-30;null;null;26,1;
2020-07-31;15;79,2;26,9;
2020-08-31;8;13,8;27,5;
2020-09-30;0;0;27,9;
2020-10-31;11;290,2;28,4;
2020-11-30;8;189,8;27,9;
2020-12-31;2;44,2;28,1;
2021-01-31;14;662,6;27,6;
2021-02-28;13;205,4;26,4;
2021-03-31;2;null;null;
2021-04-30;null;null;null;
2021-05-31;2;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;26,3;
2021-08-31;1;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;1;null;null;
2021-12-31;20;785;28,2;
2022-01-31;8;119;26,2;
2022-02-28;13;null;27,4;
2022-03-31;9;null;null;
2022-04-30;15;null;25,7;
2022-05-31;29;436,4;25,8;
2022-06-30;22;259,4;26,1;
2022-07-31;24;168,8;26,3;
2022-08-31;16;41,8;27;
2022-09-30;2;5;27,9;
2022-10-31;0;0;28,4;
2022-11-30;0;0;27,7;
2022-12-31;null;null;27,7;
2023-01-31;null;null;26,5;
2023-02-28;null;null;25,9;
2023-03-31;null;null;25,8;
2023-04-30;null;null;26,1;
2023-05-31;null;null;26,5;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;3;6,8;28,5;
2023-12-31;11;41,8;28,2;
2024-01-31;19;262,6;27,3;
2024-02-29;22;283,6;26,8;
2024-03-31;29;773,6;26,3;
2024-04-30;28;478;26,4;
2024-05-31;30;317,6;26,7;
2024-06-30;26;195,6;26,5;
2024-07-31;17;88,6;27;
2024-08-31;6;43,6;27,2;
2024-09-30;0;0;27,8;
2024-10-31;0;0;27,9;
2024-11-30;0;0;28;
2024-12-31;7;21,6;28,3;

