Nome: SOURE
Codigo Estacao: A227
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.54
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;15;120,4;27,9;
2015-02-28;21;334,6;27;
2015-03-31;30;662,6;26,2;
2015-04-30;26;523;26,4;
2015-05-31;29;239,8;27,4;
2015-06-30;18;156,4;27,7;
2015-07-31;21;186,2;27,6;
2015-08-31;10;null;27,9;
2015-09-30;null;null;null;
2015-10-31;1;null;28,5;
2015-11-30;2;7,4;28,7;
2015-12-31;6;8,6;28,9;
2016-01-31;22;209,2;27,8;
2016-02-29;26;499;27,2;
2016-03-31;30;655;27,1;
2016-04-30;23;457,2;27,5;
2016-05-31;1;null;null;
2016-06-30;2;null;null;
2016-07-31;19;109,6;27,9;
2016-08-31;6;62,2;28,2;
2016-09-30;2;2,2;28,4;
2016-10-31;7;19,8;28,5;
2016-11-30;1;,6;28,8;
2016-12-31;13;209,8;28,1;
2017-01-31;29;395,8;26,6;
2017-02-28;11;null;null;
2017-03-31;11;null;null;
2017-04-30;13;null;null;
2017-05-31;15;null;27,9;
2017-06-30;1;null;null;
2017-07-31;null;null;null;
2017-08-31;null;null;28,4;
2017-09-30;null;null;28,5;
2017-10-31;2;null;28,6;
2017-11-30;1;,8;28,6;
2017-12-31;13;201,4;27,9;
2018-01-31;18;79,6;26,8;
2018-02-28;20;218;25,8;
2018-03-31;25;268,4;26,9;
2018-04-30;28;314,6;26,2;
2018-05-31;27;223,6;26,6;
2018-06-30;22;49,4;27,6;
2018-07-31;18;113,8;27,5;
2018-08-31;8;65,8;27,7;
2018-09-30;4;1,8;28,4;
2018-10-31;1;4,2;28,6;
2018-11-30;5;41,6;28,8;
2018-12-31;11;null;26,5;
2019-01-31;21;153;26,7;
2019-02-28;27;373;26;
2019-03-31;27;447,2;25,7;
2019-04-30;27;275,6;26,1;
2019-05-31;24;135,4;27,1;
2019-06-30;null;null;27,6;
2019-07-31;14;35,8;27,5;
2019-08-31;14;30,8;27,8;
2019-09-30;5;6,6;28,1;
2019-10-31;2;4,4;28,3;
2019-11-30;6;52;28,4;
2019-12-31;null;null;28,4;
2020-01-31;20;220,4;26,1;
2020-02-29;19;null;25,8;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;24;null;25,5;
2024-04-30;26;619,4;26,1;
2024-05-31;27;232,4;26,6;
2024-06-30;20;184;26,8;
2024-07-31;11;59,6;27,2;
2024-08-31;9;22,4;27,2;
2024-09-30;1;3,4;27,3;
2024-10-31;0;0;27,4;
2024-11-30;2;5,6;27,5;
2024-12-31;14;72,4;27,2;

