Nome: BREVES
Codigo Estacao: A228
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 11
Situacao: Pane
Data Inicial: 2017-10-19
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-10-31;6;null;null;
2017-11-30;10;64,6;27,3;
2017-12-31;21;257;26,3;
2018-01-31;25;320,6;25,8;
2018-02-28;25;269;25,5;
2018-03-31;28;301;25,9;
2018-04-30;29;306,4;25,7;
2018-05-31;30;298;26;
2018-06-30;18;229;26,8;
2018-07-31;12;62,6;26,6;
2018-08-31;15;84;26,5;
2018-09-30;22;78,2;26,6;
2018-10-31;14;41,4;27,3;
2018-11-30;17;155,6;27,2;
2018-12-31;28;406;25,5;
2019-01-31;31;318,4;25,6;
2019-02-28;25;304,8;25,6;
2019-03-31;28;367;25,8;
2019-04-30;29;438;26;
2019-05-31;27;204,2;26,6;
2019-06-30;20;201,8;27,1;
2019-07-31;19;116,8;26,8;
2019-08-31;10;80;27;
2019-09-30;12;38,8;27,3;
2019-10-31;17;78,2;26,9;
2019-11-30;14;41,4;27,3;
2019-12-31;25;222,6;26,6;
2020-01-31;31;340,6;25,9;
2020-02-29;28;415;25,7;
2020-03-31;28;286,6;26,1;
2020-04-30;19;null;26,2;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;6;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

