Nome: TUCURUI
Codigo Estacao: A229
Latitude: -3.82277777
Longitude: -49.67499999
Altitude: 137.94
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;25;421,2;25,7;
2015-02-28;18;87,6;25,3;
2015-03-31;4;,8;25,3;
2015-04-30;4;28,6;25,7;
2015-05-31;18;163,6;26,4;
2015-06-30;12;52,8;26,7;
2015-07-31;4;null;null;
2015-08-31;null;null;null;
2015-09-30;2;null;27,4;
2015-10-31;9;9;28,1;
2015-11-30;6;2;28,1;
2015-12-31;13;55,8;27,8;
2016-01-31;27;296;26,3;
2016-02-29;22;209,6;26,6;
2016-03-31;26;141,8;26,3;
2016-04-30;27;110,8;26,6;
2016-05-31;23;107;26,9;
2016-06-30;11;34;27,2;
2016-07-31;5;8,8;27,4;
2016-08-31;1;,2;27,8;
2016-09-30;9;24,8;27,5;
2016-10-31;11;31,4;27,5;
2016-11-30;10;95,4;28;
2016-12-31;11;104,2;26,4;
2017-01-31;24;617;25,3;
2017-02-28;27;503;25;
2017-03-31;31;171,2;25,5;
2017-04-30;24;297,4;26;
2017-05-31;19;139;26,9;
2017-06-30;9;57,6;27,5;
2017-07-31;6;18,6;27,6;
2017-08-31;7;48,4;27,4;
2017-09-30;2;,6;27,9;
2017-10-31;4;3,8;27,8;
2017-11-30;null;null;27,5;
2017-12-31;18;372;26,4;
2018-01-31;23;157,8;25,8;
2018-02-28;1;null;null;
2018-03-31;null;null;null;
2018-04-30;null;null;null;
2018-05-31;10;null;26,1;
2018-06-30;7;47,6;27;
2018-07-31;6;19;27,1;
2018-08-31;5;19,4;26,8;
2018-09-30;7;64,8;27;
2018-10-31;3;12;28;
2018-11-30;16;173;27,7;
2018-12-31;21;288,8;25,5;
2019-01-31;null;null;null;
2019-02-28;null;null;null;
2019-03-31;3;null;null;
2019-04-30;4;null;null;
2019-05-31;null;null;null;
2019-06-30;null;null;null;
2019-07-31;4;null;27,2;
2019-08-31;6;30,6;27,2;
2019-09-30;5;32;27,5;
2019-10-31;null;null;27,4;
2019-11-30;null;null;27,6;
2019-12-31;22;255,8;26,8;
2020-01-31;25;340,8;25,8;
2020-02-29;28;358,8;25,4;
2020-03-31;27;361,2;25,6;
2020-04-30;null;null;25,9;
2020-05-31;11;null;26,6;
2020-06-30;11;97,6;27,3;
2020-07-31;4;11,8;27,9;
2020-08-31;4;23;28,2;
2020-09-30;null;null;28,3;
2020-10-31;5;9,6;28,3;
2020-11-30;17;310,4;26,4;
2020-12-31;13;69,6;26,5;
2021-01-31;26;372,6;25,8;
2021-02-28;22;417,2;25,6;
2021-03-31;28;536,8;25,1;
2021-04-30;19;157,6;26,2;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;5;null;27,3;
2022-07-31;4;6,4;27,8;
2022-08-31;10;41,2;27,4;
2022-09-30;9;7;27,9;
2022-10-31;null;null;28,1;
2022-11-30;null;null;26,7;
2022-12-31;null;null;26,2;
2023-01-31;22;273;25,5;
2023-02-28;26;363,2;25,5;
2023-03-31;30;652;25,2;
2023-04-30;22;525;26;
2023-05-31;21;143,8;26,8;
2023-06-30;8;37,4;27,4;
2023-07-31;5;8,8;27,7;
2023-08-31;4;11;28,2;
2023-09-30;0;0;28,8;
2023-10-31;17;8,6;28,6;
2023-11-30;12;8;28,8;
2023-12-31;23;4,6;27,4;
2024-01-31;null;null;27,1;
2024-02-29;null;null;25,9;
2024-03-31;null;null;26,4;
2024-04-30;18;null;26,5;
2024-05-31;31;58,4;27,5;
2024-06-30;12;7,8;27,8;
2024-07-31;8;14,4;28,2;
2024-08-31;1;,2;28,4;
2024-09-30;3;1,8;29,3;
2024-10-31;null;null;28,9;
2024-11-30;null;null;28,5;
2024-12-31;null;null;27,1;

