Nome: SERRA DOS CARAJAS
Codigo Estacao: A230
Latitude: -6.07749999
Longitude: -50.14222221
Altitude: 707
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;null;null;
2015-02-28;7;null;null;
2015-03-31;1;null;null;
2015-04-30;null;null;null;
2015-05-31;18;91,4;24,1;
2015-06-30;4;15,6;24,9;
2015-07-31;6;24,8;25;
2015-08-31;3;9,2;25,9;
2015-09-30;1;,2;25,5;
2015-10-31;null;null;null;
2015-11-30;null;null;null;
2015-12-31;8;28,8;23,9;
2016-01-31;28;512,8;22,6;
2016-02-29;5;null;null;
2016-03-31;null;null;null;
2016-04-30;4;null;null;
2016-05-31;11;97,2;24,9;
2016-06-30;4;28,6;24,8;
2016-07-31;0;0;26,1;
2016-08-31;3;1,8;26,1;
2016-09-30;11;106;24,8;
2016-10-31;12;114;24,5;
2016-11-30;13;110,8;24,4;
2016-12-31;18;97,6;23,3;
2017-01-31;24;168,4;22,7;
2017-02-28;21;null;22,3;
2017-03-31;25;334,8;22,9;
2017-04-30;21;159,4;23,7;
2017-05-31;15;130,2;24,6;
2017-06-30;3;22,6;25,2;
2017-07-31;2;2,2;25,2;
2017-08-31;6;40,8;25,9;
2017-09-30;2;null;26,2;
2017-10-31;7;101,4;24,8;
2017-11-30;13;108,8;23,9;
2017-12-31;17;280,4;23,1;
2018-01-31;24;219;22,8;
2018-02-28;26;738;22;
2018-03-31;22;309;22,7;
2018-04-30;22;339,4;23;
2018-05-31;11;22,6;24,3;
2018-06-30;2;21,4;25,2;
2018-07-31;2;,4;26;
2018-08-31;4;38,6;25,3;
2018-09-30;null;null;24,8;
2018-10-31;13;53,6;24,7;
2018-11-30;18;269,4;23,9;
2018-12-31;17;237,8;22,9;
2019-01-31;null;null;null;
2019-02-28;null;null;null;
2019-03-31;5;null;null;
2019-04-30;26;406,2;23,4;
2019-05-31;16;91,4;24,5;
2019-06-30;4;54,2;25,2;
2019-07-31;5;18,8;25,4;
2019-08-31;5;14,6;26,1;
2019-09-30;4;36,2;25,6;
2019-10-31;12;97,6;24,3;
2019-11-30;5;null;null;
2019-12-31;null;null;null;
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;2;null;24,7;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;3;null;null;
2022-01-31;22;313;22,5;
2022-02-28;17;null;23;
2022-03-31;23;384,2;22,8;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

