Nome: ITAITUBA
Codigo Estacao: A231
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.46
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;21;180;26,7;
2015-02-28;20;203,6;26,8;
2015-03-31;23;299;26,2;
2015-04-30;19;146,6;27;
2015-05-31;22;69;26,9;
2015-06-30;17;89,4;27;
2015-07-31;13;22,4;27,3;
2015-08-31;3;23,8;28,9;
2015-09-30;5;4;30,2;
2015-10-31;7;37,6;30,2;
2015-11-30;8;69,8;29,4;
2015-12-31;4;64,2;29,8;
2016-01-31;17;89,8;28,9;
2016-02-29;16;191,6;28,2;
2016-03-31;null;null;27,1;
2016-04-30;null;null;27,4;
2016-05-31;null;null;27,5;
2016-06-30;null;null;27,1;
2016-07-31;null;null;27,6;
2016-08-31;null;null;null;
2016-09-30;null;null;null;
2016-10-31;6;119,4;28,3;
2016-11-30;10;108;28,6;
2016-12-31;21;352,4;27;
2017-01-31;23;319,6;26,4;
2017-02-28;25;381,6;26;
2017-03-31;27;371,2;26,3;
2017-04-30;25;444,4;26,5;
2017-05-31;16;146,2;27,5;
2017-06-30;10;99;27,7;
2017-07-31;5;15,6;27,9;
2017-08-31;8;63,8;29;
2017-09-30;null;null;null;
2017-10-31;null;null;null;
2017-11-30;null;null;null;
2017-12-31;16;null;26,3;
2018-01-31;22;207,6;26,6;
2018-02-28;23;413;25,9;
2018-03-31;17;332;26,8;
2018-04-30;26;358,6;26,1;
2018-05-31;23;353,6;26,3;
2018-06-30;null;null;null;
2018-07-31;null;null;null;
2018-08-31;null;null;null;
2018-09-30;null;null;null;
2018-10-31;1;null;null;
2018-11-30;14;155;27,9;
2018-12-31;23;281,2;26,3;
2019-01-31;21;257;26,5;
2019-02-28;17;196,2;26,5;
2019-03-31;null;null;26,9;
2019-04-30;19;246;27;
2019-05-31;20;260,8;26,8;
2019-06-30;17;122,4;27,6;
2019-07-31;12;88,4;27,4;
2019-08-31;7;53,4;28;
2019-09-30;10;34;28,8;
2019-10-31;17;109,8;27,6;
2019-11-30;18;183,2;27,4;
2019-12-31;22;135,6;27,5;
2020-01-31;28;289,6;26,7;
2020-02-29;23;349,4;26,4;
2020-03-31;18;377;27;
2020-04-30;29;350,8;26,7;
2020-05-31;24;318,8;26,9;
2020-06-30;16;68,6;27,8;
2020-07-31;8;36,2;28;
2020-08-31;5;16,4;28,8;
2020-09-30;2;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;15;293,8;26,5;
2022-07-31;13;40,8;27,8;
2022-08-31;14;86,2;27,9;
2022-09-30;6;29;28,8;
2022-10-31;14;181,6;27,8;
2022-11-30;10;100;27,6;
2022-12-31;25;206,2;26,9;
2023-01-31;25;469,4;25,5;
2023-02-28;20;171,8;26,6;
2023-03-31;27;248,6;26,5;
2023-04-30;22;268,4;26,9;
2023-05-31;22;352,8;27,5;
2023-06-30;15;87,6;27,5;
2023-07-31;10;49,4;28,2;
2023-08-31;12;75,8;29,1;
2023-09-30;5;45,2;29,9;
2023-10-31;6;52,2;30,4;
2023-11-30;10;66,6;29,8;
2023-12-31;23;380;28;
2024-01-31;24;356,4;27,6;
2024-02-29;16;183;27,9;
2024-03-31;22;253,4;27,5;
2024-04-30;24;309;27,3;
2024-05-31;24;263,8;28;
2024-06-30;8;38,2;28,4;
2024-07-31;4;15,2;28,6;
2024-08-31;9;31,4;28,8;
2024-09-30;6;58,6;30,4;
2024-10-31;10;136,2;29,1;
2024-11-30;8;217;28,6;
2024-12-31;16;210,4;27,6;

