Nome: OBIDOS
Codigo Estacao: A232
Latitude: -1.88083332
Longitude: -55.51972221
Altitude: 89.64
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;24;226;25,8;
2015-02-28;null;null;25,5;
2015-03-31;30;82,4;25,2;
2015-04-30;30;63;25,5;
2015-05-31;null;null;25,7;
2015-06-30;null;null;25,9;
2015-07-31;null;null;25,9;
2015-08-31;null;null;27,2;
2015-09-30;2;14,2;28,5;
2015-10-31;4;null;29,3;
2015-11-30;3;null;null;
2015-12-31;null;null;null;
2016-01-31;null;null;null;
2016-02-29;null;null;null;
2016-03-31;null;null;null;
2016-04-30;null;null;null;
2016-05-31;null;null;null;
2016-06-30;16;67;26,4;
2016-07-31;12;59,6;26,6;
2016-08-31;5;36,2;27,6;
2016-09-30;15;35;27,4;
2016-10-31;16;36,4;28;
2016-11-30;13;43,8;27,9;
2016-12-31;5;null;null;
2017-01-31;null;null;null;
2017-02-28;4;null;null;
2017-03-31;5;null;null;
2017-04-30;9;null;null;
2017-05-31;4;null;null;
2017-06-30;3;null;null;
2017-07-31;2;null;26,7;
2017-08-31;null;null;null;
2017-09-30;null;null;null;
2017-10-31;3;null;null;
2017-11-30;1;null;null;
2017-12-31;5;null;null;
2018-01-31;null;null;null;
2018-02-28;null;null;null;
2018-03-31;null;null;null;
2018-04-30;20;430;25,4;
2018-05-31;16;135,6;26,1;
2018-06-30;13;22,8;25,9;
2018-07-31;8;21,2;26;
2018-08-31;null;null;26,9;
2018-09-30;8;46,4;27,1;
2018-10-31;3;9,2;28,4;
2018-11-30;14;106;27,6;
2018-12-31;24;244,4;25,5;
2019-01-31;21;243,8;25,3;
2019-02-28;24;403,6;25,4;
2019-03-31;24;261,4;25,6;
2019-04-30;26;320,2;25,8;
2019-05-31;24;99,6;25,8;
2019-06-30;15;39;26,1;
2019-07-31;7;10,8;26,3;
2019-08-31;6;44;26,8;
2019-09-30;5;13,8;27,8;
2019-10-31;16;58,6;26,8;
2019-11-30;13;124,4;26,7;
2019-12-31;23;261,4;26,1;
2020-01-31;20;141,2;25,7;
2020-02-29;24;268,2;25,3;
2020-03-31;19;383;25,8;
2020-04-30;27;308,6;25,1;
2020-05-31;25;214,6;25,8;
2020-06-30;15;69,8;25,7;
2020-07-31;2;4,8;26,5;
2020-08-31;5;61,2;27,1;
2020-09-30;4;32,6;27,5;
2020-10-31;5;39,6;27,6;
2020-11-30;15;134,6;26,2;
2020-12-31;18;98,2;25,7;
2021-01-31;22;238,2;24,8;
2021-02-28;22;443,6;24,8;
2021-03-31;26;326,4;24,4;
2021-04-30;3;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;11;null;25,1;
2022-07-31;15;105,2;25,7;
2022-08-31;7;25,2;26,5;
2022-09-30;6;15,2;27,5;
2022-10-31;17;120;26,6;
2022-11-30;12;260,2;25,9;
2022-12-31;23;269,8;25,1;
2023-01-31;25;270,6;24,4;
2023-02-28;26;444,4;24,4;
2023-03-31;23;380,8;24,8;
2023-04-30;25;127,8;25,1;
2023-05-31;25;295,8;25,4;
2023-06-30;null;null;25,7;
2023-07-31;2;null;26,1;
2023-08-31;3;7,4;27,5;
2023-09-30;5;24,6;28;
2023-10-31;3;13,4;28,9;
2023-11-30;10;116;28,3;
2023-12-31;7;68,4;27,6;
2024-01-31;26;354,8;26,1;
2024-02-29;19;199,6;26,3;
2024-03-31;23;344,4;25,6;
2024-04-30;26;405,6;25,5;
2024-05-31;24;301,6;26;
2024-06-30;12;80,4;26;
2024-07-31;3;39,8;26,8;
2024-08-31;4;49,4;26,9;
2024-09-30;1;,6;28,3;
2024-10-31;7;51,8;28,1;
2024-11-30;5;61,6;28,1;
2024-12-31;22;229,6;26,7;

