Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.34055555
Longitude: -50.35027777
Altitude: 154
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;22;189,6;25,7;
2015-02-28;19;207,6;25,7;
2015-03-31;26;282,6;26;
2015-04-30;26;107,8;26,1;
2015-05-31;8;71;26,7;
2015-06-30;0;0;26,1;
2015-07-31;2;26,2;26,1;
2015-08-31;null;null;26,9;
2015-09-30;null;null;null;
2015-10-31;null;null;null;
2015-11-30;3;null;null;
2015-12-31;12;109,2;26,8;
2016-01-31;26;668,8;25,9;
2016-02-29;10;101,4;27,8;
2016-03-31;21;307,2;26,6;
2016-04-30;11;99,8;27,5;
2016-05-31;6;21,6;27,3;
2016-06-30;6;null;26,6;
2016-07-31;null;null;null;
2016-08-31;null;null;null;
2016-09-30;null;null;null;
2016-10-31;10;null;27,6;
2016-11-30;16;253,8;26,9;
2016-12-31;16;197;26,1;
2017-01-31;20;143,2;26,2;
2017-02-28;23;495,4;25,4;
2017-03-31;21;205,4;26,4;
2017-04-30;22;262,2;26,4;
2017-05-31;2;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;null;null;null;
2017-09-30;null;null;null;
2017-10-31;8;78,4;28,2;
2017-11-30;12;60,2;27;
2017-12-31;22;399;25,9;
2018-01-31;21;244,8;25,9;
2018-02-28;21;331,6;25,6;
2018-03-31;25;387,8;25,9;
2018-04-30;17;113,2;26,1;
2018-05-31;6;22,4;26,7;
2018-06-30;0;0;25,8;
2018-07-31;null;null;null;
2018-08-31;null;null;null;
2018-09-30;null;null;null;
2018-10-31;1;null;null;
2018-11-30;13;null;26,4;
2018-12-31;21;236,6;26,1;
2019-01-31;24;174,8;26;
2019-02-28;15;166;26,3;
2019-03-31;25;407,4;26,1;
2019-04-30;14;127,4;26,9;
2019-05-31;10;83,6;27,5;
2019-06-30;2;,4;26,6;
2019-07-31;0;0;26,4;
2019-08-31;0;0;27,6;
2019-09-30;5;49,2;29,2;
2019-10-31;17;257,6;26,5;
2019-11-30;17;208,6;26,5;
2019-12-31;15;189,4;26,7;
2020-01-31;23;166,2;26,4;
2020-02-29;19;179,8;26,7;
2020-03-31;25;343,4;26,1;
2020-04-30;18;144,2;26,9;
2020-05-31;10;32,4;27,1;
2020-06-30;1;,2;26,6;
2020-07-31;0;0;25,9;
2020-08-31;1;4,6;27,8;
2020-09-30;3;12,2;29,1;
2020-10-31;11;107,2;28,8;
2020-11-30;16;214,6;27,5;
2020-12-31;18;274;26,8;
2021-01-31;21;200,2;26,1;
2021-02-28;18;null;25,4;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;8;null;null;
2021-12-31;6;null;25,7;
2022-01-31;null;null;26;
2022-02-28;null;null;26,1;
2022-03-31;null;null;25,8;
2022-04-30;null;null;27,2;
2022-05-31;null;null;26,7;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;10;53;27,3;
2023-06-30;1;,6;26,6;
2023-07-31;0;0;26,2;
2023-08-31;3;23,8;28,2;
2023-09-30;5;27,6;29,1;
2023-10-31;10;159;28,9;
2023-11-30;14;312,4;27,7;
2023-12-31;19;125,2;27,3;
2024-01-31;28;356,4;26,5;
2024-02-29;21;251,8;26,5;
2024-03-31;22;261,6;27,1;
2024-04-30;19;167,4;27,1;
2024-05-31;3;5,8;27,9;
2024-06-30;2;1,8;26,5;
2024-07-31;0;0;26,3;
2024-08-31;2;1,2;27,4;
2024-09-30;0;0;29,6;
2024-10-31;null;null;28,6;
2024-11-30;null;null;26,7;
2024-12-31;null;null;26,5;

