Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.24388888
Longitude: -49.93944444
Altitude: 100.76
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;6;182;25,6;
2015-02-28;25;435;25,5;
2015-03-31;28;6,4;25,8;
2015-04-30;9;1,8;26,1;
2015-05-31;26;77,2;26,4;
2015-06-30;null;null;26,1;
2015-07-31;16;52;25,8;
2015-08-31;2;3,6;26;
2015-09-30;0;0;26,8;
2015-10-31;3;59,6;27,6;
2015-11-30;5;28,4;27,3;
2015-12-31;10;80;27,2;
2016-01-31;28;96;26,5;
2016-02-29;28;36,4;26,8;
2016-03-31;null;null;26,5;
2016-04-30;null;null;27;
2016-05-31;null;null;27;
2016-06-30;null;null;26,4;
2016-07-31;3;6,8;26,3;
2016-08-31;0;0;26,8;
2016-09-30;10;51,4;26,9;
2016-10-31;8;27,8;27,1;
2016-11-30;7;45,2;27,6;
2016-12-31;19;211,4;26,2;
2017-01-31;24;381,2;25,6;
2017-02-28;28;458,2;25,3;
2017-03-31;29;474,6;25,9;
2017-04-30;26;440;26,2;
2017-05-31;23;140,6;26,7;
2017-06-30;12;67,2;26,3;
2017-07-31;6;9,6;26,2;
2017-08-31;2;null;26,9;
2017-09-30;null;null;null;
2017-10-31;null;null;null;
2017-11-30;null;null;null;
2017-12-31;16;null;26,1;
2018-01-31;25;385;25,9;
2018-02-28;28;587,6;25,3;
2018-03-31;28;408,6;26,1;
2018-04-30;23;307,2;25,7;
2018-05-31;19;114,4;26,2;
2018-06-30;7;67,6;26,2;
2018-07-31;5;2,4;26,3;
2018-08-31;4;3,8;26,3;
2018-09-30;10;107,2;26,8;
2018-10-31;4;29,8;27,6;
2018-11-30;15;142,8;27,1;
2018-12-31;23;329,6;25,7;
2019-01-31;26;203;25,6;
2019-02-28;26;152,6;25,8;
2019-03-31;30;50,4;25,8;
2019-04-30;28;426,6;26,2;
2019-05-31;19;284,4;27;
2019-06-30;6;6,8;27,3;
2019-07-31;12;40,6;27;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;null;null;null;
2019-11-30;null;null;null;
2019-12-31;16;null;26,9;
2020-01-31;26;438,2;26,4;
2020-02-29;28;370,4;26,2;
2020-03-31;23;383,4;26,2;
2020-04-30;26;519,4;26,4;
2020-05-31;27;210;27;
2020-06-30;12;28,4;27,1;
2020-07-31;2;6,4;27,3;
2020-08-31;4;34,8;27,5;
2020-09-30;5;8,2;28;
2020-10-31;5;17,6;28,3;
2020-11-30;18;286,8;26,4;
2020-12-31;15;190,2;27,6;
2021-01-31;25;454;27,4;
2021-02-28;19;425,2;27,4;
2021-03-31;29;695;27,4;
2021-04-30;23;329,8;27,5;
2021-05-31;18;265,8;27,4;
2021-06-30;12;77,6;27,4;
2021-07-31;7;56,8;27,7;
2021-08-31;3;2,6;27,9;
2021-09-30;null;null;28,7;
2021-10-31;null;null;29,6;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;2;null;null;
2022-06-30;10;131,2;25,9;
2022-07-31;4;6,4;26,5;
2022-08-31;2;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;15;null;26,8;
2024-05-31;20;110,8;27,3;
2024-06-30;2;17,2;27;
2024-07-31;2;25,4;26,5;
2024-08-31;2;12,2;26,9;
2024-09-30;0;0;28,2;
2024-10-31;3;26,4;28,1;
2024-11-30;5;65,8;27,8;
2024-12-31;23;271,2;26,3;

