Nome: CAMETA
Codigo Estacao: A236
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.92
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;7;null;null;
2015-02-28;null;null;null;
2015-03-31;null;null;null;
2015-04-30;null;null;null;
2015-05-31;25;233,6;27,5;
2015-06-30;21;169,8;27,7;
2015-07-31;17;130,6;27,8;
2015-08-31;5;37,4;28,1;
2015-09-30;4;38;28,5;
2015-10-31;4;2;29;
2015-11-30;4;17,8;29,2;
2015-12-31;12;49,8;28,9;
2016-01-31;27;323,2;27,5;
2016-02-29;27;281,2;27,3;
2016-03-31;18;null;27,2;
2016-04-30;29;454,4;27,5;
2016-05-31;26;307,4;28;
2016-06-30;18;125,4;27,8;
2016-07-31;13;71,4;28;
2016-08-31;6;27,6;28,4;
2016-09-30;5;65,2;28,5;
2016-10-31;6;36,2;28,7;
2016-11-30;5;53,8;29;
2016-12-31;22;646,2;27,7;
2017-01-31;25;null;26,3;
2017-02-28;23;598,2;26,3;
2017-03-31;13;null;26,7;
2017-04-30;23;null;27;
2017-05-31;7;null;null;
2017-06-30;13;112,2;28,2;
2017-07-31;12;52,4;28,1;
2017-08-31;6;18,8;28,7;
2017-09-30;6;77,8;28,6;
2017-10-31;7;26;28,5;
2017-11-30;0;0;29;
2017-12-31;17;234,2;28,1;
2018-01-31;21;258,4;26,9;
2018-02-28;11;null;null;
2018-03-31;null;null;null;
2018-04-30;null;null;null;
2018-05-31;23;300,6;27;
2018-06-30;16;154,2;27,9;
2018-07-31;12;182,8;27,7;
2018-08-31;15;124,8;27,6;
2018-09-30;6;20;28,4;
2018-10-31;3;5;29,1;
2018-11-30;9;240,6;29,1;
2018-12-31;29;420;26,4;
2019-01-31;31;543,4;26,5;
2019-02-28;27;444,8;26,4;
2019-03-31;30;500,2;26,3;
2019-04-30;30;688,6;26,6;
2019-05-31;27;384;27,2;
2019-06-30;17;146,4;28,1;
2019-07-31;14;111;27,9;
2019-08-31;8;37,4;28,3;
2019-09-30;5;17;28,6;
2019-10-31;9;31,2;28,8;
2019-11-30;8;87,4;28,9;
2019-12-31;19;195,6;28,1;
2020-01-31;27;474,8;26,6;
2020-02-29;27;493,8;26,5;
2020-03-31;25;413,8;26,7;
2020-04-30;28;493,8;26,8;
2020-05-31;21;null;27,5;
2020-06-30;12;205;28,3;
2020-07-31;9;49,6;28,6;
2020-08-31;5;25,4;29,1;
2020-09-30;7;63;28,9;
2020-10-31;2;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

