Nome: MONTE ALEGRE
Codigo Estacao: A239
Latitude: -2
Longitude: -54.07638888
Altitude: 100.53
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;null;null;
2015-02-28;null;null;null;
2015-03-31;null;null;null;
2015-04-30;null;null;null;
2015-05-31;null;null;null;
2015-06-30;null;null;null;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;1;2,8;28,8;
2015-10-31;1;1,6;29,2;
2015-11-30;1;8,6;29,3;
2015-12-31;1;3,4;29;
2016-01-31;10;46,2;28,3;
2016-02-29;22;119;27,1;
2016-03-31;22;424,2;26,9;
2016-04-30;26;397,6;26,8;
2016-05-31;25;343,2;26,8;
2016-06-30;14;87,2;27,4;
2016-07-31;16;97,2;27,5;
2016-08-31;4;40;28,3;
2016-09-30;4;52;28,6;
2016-10-31;8;107,2;28,5;
2016-11-30;4;97,8;28,4;
2016-12-31;14;376,6;27,2;
2017-01-31;1;null;25,9;
2017-02-28;18;184,4;26;
2017-03-31;24;286,4;26,1;
2017-04-30;20;252,4;26,7;
2017-05-31;14;117,8;27,1;
2017-06-30;12;148,8;27,3;
2017-07-31;9;118;27,6;
2017-08-31;3;45;28,4;
2017-09-30;0;0;28,8;
2017-10-31;2;null;28,9;
2017-11-30;null;null;null;
2017-12-31;12;null;27;
2018-01-31;18;124,4;26,7;
2018-02-28;21;393,2;25,9;
2018-03-31;24;289,2;26,4;
2018-04-30;null;null;null;
2018-05-31;13;152,4;26,5;
2018-06-30;null;null;null;
2018-07-31;7;null;null;
2018-08-31;3;null;27,9;
2018-09-30;4;32;28,3;
2018-10-31;0;0;29,1;
2018-11-30;7;58,6;28,8;
2018-12-31;18;205,4;26,2;
2019-01-31;22;252,6;26,1;
2019-02-28;21;385,6;26,3;
2019-03-31;23;281,2;26,5;
2019-04-30;21;441,2;26,6;
2019-05-31;21;194,2;26,8;
2019-06-30;13;121,8;27,1;
2019-07-31;6;null;27,3;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;null;null;null;
2019-11-30;null;null;null;
2019-12-31;null;null;null;
2020-01-31;18;133,8;26,7;
2020-02-29;19;248,6;26,6;
2020-03-31;18;379,4;26,8;
2020-04-30;26;381;26,3;
2020-05-31;20;226,2;27,2;
2020-06-30;17;99;27,2;
2020-07-31;5;2,4;28,1;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;1;null;null;
2023-04-30;1;null;null;
2023-05-31;12;null;27,4;
2023-06-30;13;53;27,3;
2023-07-31;5;null;27,7;
2023-08-31;null;null;29,4;
2023-09-30;2;34,6;29,7;
2023-10-31;1;null;29,9;
2023-11-30;4;null;29,6;
2023-12-31;5;null;28,9;
2024-01-31;11;null;27,8;
2024-02-29;3;null;null;
2024-03-31;9;null;null;
2024-04-30;4;null;null;
2024-05-31;25;316,8;27,4;
2024-06-30;6;null;null;
2024-07-31;null;null;null;
2024-08-31;2;null;null;
2024-09-30;null;null;29,9;
2024-10-31;null;null;30,1;
2024-11-30;null;null;29,9;
2024-12-31;null;null;29,1;

