Nome: MARABA
Codigo Estacao: A240
Latitude: -5.36638888
Longitude: -49.05111111
Altitude: 116.58
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;11;null;25,6;
2015-02-28;22;246,2;25,3;
2015-03-31;24;414,6;25,7;
2015-04-30;17;129,8;26,3;
2015-05-31;18;58,8;26,5;
2015-06-30;9;10,6;26,3;
2015-07-31;10;60;26,2;
2015-08-31;5;16,8;26,8;
2015-09-30;2;9,8;27,7;
2015-10-31;5;10,8;28,5;
2015-11-30;null;null;27,6;
2015-12-31;null;null;26,9;
2016-01-31;13;4,8;26,1;
2016-02-29;12;147,4;27;
2016-03-31;11;null;26,6;
2016-04-30;5;null;27,2;
2016-05-31;12;94;26,7;
2016-06-30;4;24,6;26,3;
2016-07-31;10;14,8;26,3;
2016-08-31;2;null;27;
2016-09-30;1;null;null;
2016-10-31;1;null;null;
2016-11-30;2;null;null;
2016-12-31;16;135,6;26,1;
2017-01-31;20;267,2;25,7;
2017-02-28;23;487,2;25,3;
2017-03-31;22;359,2;25,8;
2017-04-30;18;265,6;26,4;
2017-05-31;10;114;26,8;
2017-06-30;2;8,2;26,3;
2017-07-31;3;12,8;25,9;
2017-08-31;null;null;27,4;
2017-09-30;4;6,6;28;
2017-10-31;6;41,4;28,1;
2017-11-30;14;382,2;26,5;
2017-12-31;19;220,8;26;
2018-01-31;15;185;25,8;
2018-02-28;25;427,6;25,2;
2018-03-31;16;null;26;
2018-04-30;null;null;null;
2018-05-31;7;null;26,1;
2018-06-30;1;1,6;26,2;
2018-07-31;1;,4;26,6;
2018-08-31;6;14,8;26,7;
2018-09-30;6;34,6;27,2;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;5;null;null;
2019-01-31;21;344,8;25,7;
2019-02-28;24;240,6;25,9;
2019-03-31;25;403,6;25,7;
2019-04-30;16;205,4;26,4;
2019-05-31;11;216,8;26,4;
2019-06-30;1;3;26,4;
2019-07-31;3;35,8;26,2;
2019-08-31;0;0;26,9;
2019-09-30;0;0;27,9;
2019-10-31;null;null;27,4;
2019-11-30;null;null;27;
2019-12-31;14;102,2;26,5;
2020-01-31;23;311;25,7;
2020-02-29;23;237,8;25,8;
2020-03-31;22;292,4;25,9;
2020-04-30;22;287,6;26,1;
2020-05-31;9;59,8;26,7;
2020-06-30;8;10,2;26,4;
2020-07-31;1;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;8;null;25,7;
2021-01-31;21;216,8;25,5;
2021-02-28;19;447,4;25,5;
2021-03-31;24;329,4;25,3;
2021-04-30;17;205,6;25,9;
2021-05-31;8;95,4;26;
2021-06-30;3;null;26,1;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

