Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;22;68,8;24,9;
2015-02-28;null;null;25,2;
2015-03-31;null;null;25,3;
2015-04-30;null;null;25,4;
2015-05-31;null;null;25,8;
2015-06-30;1;,2;25,1;
2015-07-31;2;9,4;25,3;
2015-08-31;1;4,8;26;
2015-09-30;5;3,2;28,3;
2015-10-31;3;null;29;
2015-11-30;3;null;null;
2015-12-31;18;228,6;25,9;
2016-01-31;23;341,2;25,8;
2016-02-29;12;85;26,9;
2016-03-31;21;335,8;26,3;
2016-04-30;8;43,2;26,4;
2016-05-31;8;51,2;26;
2016-06-30;7;33,6;25,1;
2016-07-31;0;0;24,6;
2016-08-31;1;,8;27;
2016-09-30;6;80,8;27,6;
2016-10-31;14;53;26,9;
2016-11-30;16;100,2;26,4;
2016-12-31;19;235;25,8;
2017-01-31;22;260,6;25,3;
2017-02-28;25;276,8;25,2;
2017-03-31;23;210,6;25,6;
2017-04-30;19;54,8;25,9;
2017-05-31;9;18,6;26,3;
2017-06-30;8;6,8;24,9;
2017-07-31;0;0;24,3;
2017-08-31;0;0;26,9;
2017-09-30;0;0;28,5;
2017-10-31;null;null;28,5;
2017-11-30;null;null;26,8;
2017-12-31;null;null;25,7;
2018-01-31;null;null;null;
2018-02-28;null;null;null;
2018-03-31;20;null;25,9;
2018-04-30;17;227;25,9;
2018-05-31;3;20,8;26,6;
2018-06-30;2;16;25,3;
2018-07-31;3;5;25,5;
2018-08-31;2;2,4;27;
2018-09-30;9;66,6;27,8;
2018-10-31;19;51,8;27;
2018-11-30;25;70,2;26,3;
2018-12-31;17;347,2;26,1;
2019-01-31;22;201,6;25,5;
2019-02-28;18;197;26,1;
2019-03-31;20;241,8;26,2;
2019-04-30;18;280,6;26,3;
2019-05-31;11;44,2;26,4;
2019-06-30;null;null;25,9;
2019-07-31;1;null;25,5;
2019-08-31;1;1;26,7;
2019-09-30;4;37,4;28,6;
2019-10-31;18;168,4;26,4;
2019-11-30;16;146;26,2;
2019-12-31;18;229,4;26,2;
2020-01-31;21;151,2;26,3;
2020-02-29;23;257,6;26;
2020-03-31;25;318,2;26;
2020-04-30;22;232,2;26,2;
2020-05-31;13;63,4;26,4;
2020-06-30;2;13,4;25,4;
2020-07-31;0;0;24,7;
2020-08-31;0;0;26,4;
2020-09-30;1;14;28,1;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;10;null;26;
2021-01-31;20;166,6;25,6;
2021-02-28;24;377,2;25,1;
2021-03-31;25;147;25,4;
2021-04-30;20;182,6;25,8;
2021-05-31;4;23;25,7;
2021-06-30;2;1,2;25,5;
2021-07-31;0;0;25,4;
2021-08-31;2;2,2;26,5;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;16;null;25,3;
2022-01-31;25;391,2;25,3;
2022-02-28;21;339,2;25,8;
2022-03-31;25;285;25,7;
2022-04-30;16;189;26;
2022-05-31;6;60,6;25,6;
2022-06-30;3;7;25,3;
2022-07-31;0;0;25,5;
2022-08-31;0;0;26,6;
2022-09-30;3;17,8;28,1;
2022-10-31;7;128,8;27,8;
2022-11-30;22;425,6;25,5;
2022-12-31;24;295;25,4;
2023-01-31;23;208,8;25,3;
2023-02-28;23;216,4;25,7;
2023-03-31;13;null;25,7;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;1;null;25,8;
2023-07-31;0;0;25,5;
2023-08-31;5;44,8;27,2;
2023-09-30;5;29;28,1;
2023-10-31;14;64;28,3;
2023-11-30;14;141,2;27,2;
2023-12-31;19;143;26,9;
2024-01-31;20;246,8;26,4;
2024-02-29;19;185,8;26,5;
2024-03-31;20;133,4;27;
2024-04-30;25;392,4;26,5;
2024-05-31;9;14,6;26,9;
2024-06-30;0;0;25,9;
2024-07-31;0;0;25,6;
2024-08-31;1;15;26,8;
2024-09-30;2;13;28,5;
2024-10-31;14;201,2;27,7;
2024-11-30;20;235,4;26,4;
2024-12-31;24;235,6;25,9;

