Nome: OIAPOQUE
Codigo Estacao: A242
Latitude: 3.81361111
Longitude: -51.8625
Altitude: 15.14
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;0;24,7;
2015-02-28;null;null;24,6;
2015-03-31;null;null;24,4;
2015-04-30;null;0;25,1;
2015-05-31;null;null;25,2;
2015-06-30;null;null;null;
2015-07-31;null;null;null;
2015-08-31;11;75,2;26;
2015-09-30;2;9,4;26,8;
2015-10-31;5;24,2;27,1;
2015-11-30;16;67;26,5;
2015-12-31;26;229,6;25,4;
2016-01-31;23;147,6;25;
2016-02-29;29;411,6;25,3;
2016-03-31;26;330,2;25,8;
2016-04-30;26;650,2;25,7;
2016-05-31;28;389,6;26;
2016-06-30;26;338,4;25,4;
2016-07-31;20;160,2;25,6;
2016-08-31;13;61,2;26,3;
2016-09-30;5;19,6;26,8;
2016-10-31;2;1,6;26,9;
2016-11-30;6;33,2;26,9;
2016-12-31;28;455,4;25,4;
2017-01-31;26;518,8;24,6;
2017-02-28;24;469;24,6;
2017-03-31;27;652,8;24,7;
2017-04-30;22;440,8;25,4;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;null;null;null;
2017-09-30;3;null;null;
2017-10-31;11;17;26,7;
2017-11-30;2;null;null;
2017-12-31;null;null;null;
2018-01-31;null;null;null;
2018-02-28;null;null;null;
2018-03-31;null;null;null;
2018-04-30;null;null;null;
2018-05-31;null;null;null;
2018-06-30;3;null;null;
2018-07-31;29;242,6;25,2;
2018-08-31;11;32;25,9;
2018-09-30;11;30,4;26,4;
2018-10-31;4;23,8;26,9;
2018-11-30;19;257,6;25,9;
2018-12-31;29;549,8;24,4;
2019-01-31;30;297,8;24,8;
2019-02-28;24;166,6;25,1;
2019-03-31;19;43,4;25,3;
2019-04-30;26;370;25,2;
2019-05-31;30;518,6;25,5;
2019-06-30;27;332,8;25,6;
2019-07-31;1;null;null;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;null;null;null;
2019-11-30;null;null;null;
2019-12-31;null;null;null;
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;24;null;25;
2022-05-31;31;684,6;25;
2022-06-30;2;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;28;334,2;26,1;
2024-01-31;25;447,8;25,4;
2024-02-29;13;314,6;25,8;
2024-03-31;22;228,8;26,1;
2024-04-30;24;354;26,1;
2024-05-31;29;715,4;26;
2024-06-30;25;267;26;
2024-07-31;20;159,2;26;
2024-08-31;15;52,2;26,4;
2024-09-30;4;9,6;27,3;
2024-10-31;6;78,6;27,4;
2024-11-30;17;192,6;26,6;
2024-12-31;25;291,4;25,4;

