Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-06-23
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;26;170,6;25,9;
2015-02-28;1;null;null;
2015-03-31;null;null;null;
2015-04-30;null;null;null;
2015-05-31;null;null;null;
2015-06-30;null;null;null;
2015-07-31;1;null;null;
2015-08-31;9;12,6;27;
2015-09-30;0;0;27,4;
2015-10-31;4;6,8;27,6;
2015-11-30;1;6;27,8;
2015-12-31;22;181;26,8;
2016-01-31;26;413,8;25,8;
2016-02-29;29;372,6;25,8;
2016-03-31;22;305;26;
2016-04-30;28;539;25,9;
2016-05-31;26;220,4;26,4;
2016-06-30;5;null;null;
2016-07-31;null;null;null;
2016-08-31;null;null;null;
2016-09-30;null;null;null;
2016-10-31;null;null;null;
2016-11-30;6;32,4;27,7;
2016-12-31;null;null;null;
2017-01-31;2;null;null;
2017-02-28;null;null;null;
2017-03-31;null;null;null;
2017-04-30;null;null;null;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;6;null;null;
2017-09-30;12;12,4;27,5;
2017-10-31;10;11;27,5;
2017-11-30;10;16,4;27,4;
2017-12-31;17;46,4;26,1;
2018-01-31;null;null;24,9;
2018-02-28;null;null;24,7;
2018-03-31;25;383,2;25,4;
2018-04-30;4;null;null;
2018-05-31;null;null;null;
2018-06-30;null;null;null;

