Nome: MINA DO PALITO
Codigo Estacao: A246
Latitude: -6.31999999
Longitude: -55.78777777
Altitude: 259.88
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;132,8;24,8;
2015-02-28;null;58,2;24,5;
2015-03-31;null;371,8;24,4;
2015-04-30;null;173;25,1;
2015-05-31;null;null;25,3;
2015-06-30;null;null;25,8;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;null;
2015-10-31;null;null;27;
2015-11-30;null;null;26,7;
2015-12-31;null;13,4;26,3;
2016-01-31;null;152,2;25,4;
2016-02-29;null;null;26;
2016-03-31;null;null;25,3;
2016-04-30;null;null;25,9;
2016-05-31;null;null;26,1;
2016-06-30;null;null;26;
2016-07-31;null;null;27;
2016-08-31;null;43;27,3;
2016-09-30;null;12,2;25,7;
2016-10-31;null;212,8;26,4;
2016-11-30;null;null;25,7;
2016-12-31;null;null;24,6;
2017-01-31;null;null;null;
2017-02-28;null;null;null;
2017-03-31;null;null;null;
2017-04-30;null;null;null;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;null;6,2;27,5;
2017-09-30;null;null;27,3;
2017-10-31;null;185,4;26,3;
2017-11-30;null;259,4;25,2;
2017-12-31;null;126;24,7;
2018-01-31;null;null;24,5;
2018-02-28;null;null;24,3;
2018-03-31;null;null;25,1;
2018-04-30;null;null;24,9;
2018-05-31;null;null;25,4;
2018-06-30;null;1,6;25,9;
2018-07-31;null;null;26,4;
2018-08-31;null;null;26;
2018-09-30;null;null;null;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;null;null;null;
2019-03-31;null;null;null;
2019-04-30;null;null;null;
2019-05-31;null;null;null;
2019-06-30;null;null;26,2;
2019-07-31;null;22,2;26,5;
2019-08-31;null;5;27,2;
2019-09-30;null;109,2;26,5;
2019-10-31;null;109,2;25,5;
2019-11-30;null;264,8;25,3;
2019-12-31;null;186,2;25,4;
2020-01-31;26;347,6;25;
2020-02-29;25;268,4;25,2;
2020-03-31;25;388,4;25,3;
2020-04-30;26;269,4;25,3;
2020-05-31;22;184;25,9;
2020-06-30;6;24,6;26,6;
2020-07-31;2;11;27;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

