Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.11055555
Longitude: -49.9261111
Altitude: 245
Situacao: Pane
Data Inicial: 2016-09-10
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-09-30;6;null;26,3;
2016-10-31;12;59,2;26,5;
2016-11-30;10;53;26,2;
2016-12-31;15;158,8;25,7;
2017-01-31;20;209,6;25,3;
2017-02-28;20;376,4;25,2;
2017-03-31;20;273,2;25,6;
2017-04-30;22;203,4;25,9;
2017-05-31;7;68,8;26,6;
2017-06-30;3;22,4;25,3;
2017-07-31;1;,6;25,5;
2017-08-31;0;0;28,1;
2017-09-30;0;0;28,6;
2017-10-31;10;138,4;27,5;
2017-11-30;14;167,8;26;
2017-12-31;19;207,2;25,4;
2018-01-31;21;199,2;25,1;
2018-02-28;27;605,8;24,7;
2018-03-31;22;294,4;25,3;
2018-04-30;13;167,4;25,3;
2018-05-31;10;78,4;25,8;
2018-06-30;0;0;25,4;
2018-07-31;2;,6;26,2;
2018-08-31;6;42,2;27;
2018-09-30;6;25,8;27,3;
2018-10-31;14;173;26,7;
2018-11-30;7;null;26,4;
2018-12-31;4;null;null;
2019-01-31;25;210,6;25,2;
2019-02-28;20;280,2;25,6;
2019-03-31;27;345,4;25,7;
2019-04-30;20;167,4;26;
2019-05-31;8;56;26,3;
2019-06-30;5;14,4;26;
2019-07-31;2;21,4;26,2;
2019-08-31;1;5,6;27,2;
2019-09-30;4;124,6;28,1;
2019-10-31;19;198;25,7;
2019-11-30;14;138,6;25,7;
2019-12-31;15;239;25,9;
2020-01-31;19;205,2;25,9;
2020-02-29;24;281;25,5;
2020-03-31;25;359;25,7;
2020-04-30;22;278,6;25,8;
2020-05-31;15;127,4;26,1;
2020-06-30;4;12,4;25,6;
2020-07-31;0;0;25,7;
2020-08-31;1;9;27,3;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;11;null;null;
2021-01-31;23;94,8;25,9;
2021-02-28;23;448,2;25,1;
2021-03-31;25;336,6;25,1;
2021-04-30;22;156;25,6;
2021-05-31;11;65,8;25,5;
2021-06-30;3;38;25,7;
2021-07-31;0;0;26,2;
2021-08-31;2;5;27,5;
2021-09-30;9;73,6;26,6;
2021-10-31;11;70,2;26,6;
2021-11-30;22;212,6;25,7;
2021-12-31;27;313,8;25,4;
2022-01-31;22;202,6;25,1;
2022-02-28;19;169,2;25,7;
2022-03-31;22;189,2;25,4;
2022-04-30;14;166;25,9;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;8;null;26,9;
2023-06-30;1;5,2;26,8;
2023-07-31;0;0;26,9;
2023-08-31;7;71,2;28,1;
2023-09-30;9;56,8;28;
2023-10-31;8;91,4;28,4;
2023-11-30;16;151;27;
2023-12-31;17;158,2;26,9;
2024-01-31;18;303;26,3;
2024-02-29;18;226,6;26,1;
2024-03-31;23;469;26,7;
2024-04-30;23;198,6;26,8;
2024-05-31;6;47;27,6;
2024-06-30;1;4;27,2;
2024-07-31;0;0;27,3;
2024-08-31;2;24,4;28,2;
2024-09-30;4;91,2;29,4;
2024-10-31;8;80,4;27,9;
2024-11-30;15;215;26,7;
2024-12-31;15;186,8;26,2;

