Nome: CAPITAO POCO
Codigo Estacao: A248
Latitude: -1.73472221
Longitude: -47.0575
Altitude: 79.1
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;180,2;26;
2015-02-28;null;20;25,6;
2015-03-31;null;null;25,2;
2015-04-30;null;122,6;25,2;
2015-05-31;null;null;25,8;
2015-06-30;null;265,6;25,5;
2015-07-31;null;64;25,5;
2015-08-31;null;1;26,1;
2015-09-30;null;4,4;26,7;
2015-10-31;null;16,6;27,3;
2015-11-30;null;,8;27,7;
2015-12-31;null;35;27,8;
2016-01-31;null;null;null;
2016-02-29;null;null;null;
2016-03-31;null;302,8;26;
2016-04-30;null;176,6;26,5;
2016-05-31;null;129,8;26,4;
2016-06-30;null;null;25,8;
2016-07-31;null;null;25,7;
2016-08-31;null;4,8;26,3;
2016-09-30;null;60;26,6;
2016-10-31;null;25,4;27;
2016-11-30;null;15,6;27,5;
2016-12-31;null;158,6;26,3;
2017-01-31;null;155,8;25,2;
2017-02-28;null;295,6;25,3;
2017-03-31;null;386;24,9;
2017-04-30;null;null;25,3;
2017-05-31;null;null;null;
2017-06-30;null;169;26;
2017-07-31;null;null;null;
2017-08-31;null;null;null;
2017-09-30;null;66,8;26,7;
2017-10-31;null;47,4;26,6;
2017-11-30;null;3;27,1;
2017-12-31;null;91,4;26,7;
2018-01-31;null;null;25,3;
2018-02-28;null;148,8;25,2;
2018-03-31;null;355,4;25,5;
2018-04-30;null;407;25,1;
2018-05-31;null;null;null;
2018-06-30;null;null;null;
2018-07-31;null;null;null;
2018-08-31;null;100,2;25,5;
2018-09-30;null;77,6;26,1;
2018-10-31;null;10;27;
2018-11-30;null;198,8;27,1;
2018-12-31;null;198;25,1;
2019-01-31;null;355;25,3;
2019-02-28;null;388,6;25,1;
2019-03-31;null;361,6;25,2;
2019-04-30;null;448,2;25,5;
2019-05-31;null;307;25,6;
2019-06-30;null;237,4;25,8;
2019-07-31;null;137,6;25,7;
2019-08-31;null;100;25,8;
2019-09-30;null;35,4;26,3;
2019-10-31;null;75;26,4;
2019-11-30;null;47,2;26,7;
2019-12-31;null;67,6;26,6;
2020-01-31;30;365,8;25,3;
2020-02-29;29;515,4;25,2;
2020-03-31;29;480,2;25,5;
2020-04-30;27;353;25,4;
2020-05-31;29;428;25,8;
2020-06-30;21;196,4;25,9;
2020-07-31;20;51,6;26;
2020-08-31;3;null;null;
2020-09-30;14;61,4;26,8;
2020-10-31;17;65,4;26,7;
2020-11-30;25;200,4;26;
2020-12-31;22;157,8;26;
2021-01-31;10;76,8;25,6;
2021-02-28;24;295,4;25,3;
2021-03-31;31;381,4;24,9;
2021-04-30;26;261;25,4;
2021-05-31;26;248,8;25,9;
2021-06-30;22;97,2;25,7;
2021-07-31;20;null;25,6;
2021-08-31;21;150,2;26;
2021-09-30;15;null;25,9;
2021-10-31;4;null;null;
2021-11-30;4;null;null;
2021-12-31;13;null;26,2;
2022-01-31;27;334,6;25;
2022-02-28;24;303,6;25,6;
2022-03-31;29;360,8;25;
2022-04-30;29;380,2;25,2;
2022-05-31;30;608,8;25,2;
2022-06-30;3;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;8;null;null;
2023-07-31;22;272,2;25,9;
2023-08-31;13;73,8;26,5;
2023-09-30;11;44,8;27,2;
2023-10-31;9;60,6;27,6;
2023-11-30;7;37;27,8;
2023-12-31;21;148,8;26,8;
2024-01-31;25;264,2;26,3;
2024-02-29;27;352,6;25,8;
2024-03-31;30;488,4;26;
2024-04-30;7;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;10;null;27;
2024-09-30;1;null;null;
2024-10-31;1;null;27,9;
2024-11-30;1;null;null;
2024-12-31;null;null;null;

