Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;19;138,6;27,1;
2015-02-28;12;null;26,2;
2015-03-31;null;null;null;
2015-04-30;null;null;null;
2015-05-31;null;null;null;
2015-06-30;null;null;null;
2015-07-31;null;null;null;
2015-08-31;8;42;28,2;
2015-09-30;0;0;28,5;
2015-10-31;1;2;28,7;
2015-11-30;0;0;28,8;
2015-12-31;8;17,6;28,3;
2016-01-31;18;111,2;27;
2016-02-29;28;346,8;26,7;
2016-03-31;23;null;26,7;
2016-04-30;5;null;null;
2016-05-31;null;null;null;
2016-06-30;9;null;27,1;
2016-07-31;11;18;27,4;
2016-08-31;8;38,8;28,2;
2016-09-30;3;50,2;28,3;
2016-10-31;null;null;null;
2016-11-30;null;null;28,7;
2016-12-31;16;259;27,4;
2017-01-31;27;169,8;26;
2017-02-28;28;446,4;25,6;
2017-03-31;27;501,6;25,7;
2017-04-30;23;298,6;26,5;
2017-05-31;21;207,6;27,1;
2017-06-30;20;107;27,1;
2017-07-31;null;null;null;
2017-08-31;4;null;null;
2017-09-30;7;34,4;28,5;
2017-10-31;3;2,6;28,6;
2017-11-30;1;,4;28,6;
2017-12-31;14;133,2;27,2;
2018-01-31;23;242;26,4;
2018-02-28;22;227,4;25,6;
2018-03-31;26;270,2;26,3;
2018-04-30;25;618,2;25,8;
2018-05-31;27;518;26,2;
2018-06-30;23;232,6;26,6;
2018-07-31;24;104;26,8;
2018-08-31;7;79,4;27,6;
2018-09-30;4;194,4;28,3;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;15;null;26,1;
2019-03-31;25;220,6;26,1;
2019-04-30;21;null;25,9;
2019-05-31;27;474;26,7;
2019-06-30;25;257;27;
2019-07-31;20;381,8;27,1;
2019-08-31;12;89,8;28,1;
2019-09-30;3;2,8;28,7;
2019-10-31;null;null;29;
2019-11-30;5;26,6;28,7;
2019-12-31;16;183,8;27,8;
2020-01-31;27;241,2;26,3;
2020-02-29;21;235,4;26,3;
2020-03-31;22;248,4;26,4;
2020-04-30;27;501,8;26,5;
2020-05-31;22;361,2;27,1;
2020-06-30;26;256,2;27;
2020-07-31;18;69;27,5;
2020-08-31;15;70,2;28,4;
2020-09-30;10;57,8;28,5;
2020-10-31;1;,2;29,1;
2020-11-30;21;395,6;27,6;
2020-12-31;17;102,2;27,5;
2021-01-31;21;null;26,5;
2021-02-28;25;331,8;25,8;
2021-03-31;23;323,4;26,1;
2021-04-30;26;269,8;26,4;
2021-05-31;22;425,4;26,4;
2021-06-30;10;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;25;416,6;26,4;
2022-05-31;28;300,2;26,3;
2022-06-30;19;281,4;26,7;
2022-07-31;23;247,6;26,9;
2022-08-31;13;70,4;27,9;
2022-09-30;4;50,8;28,6;
2022-10-31;4;12,2;28,9;
2022-11-30;9;81,6;27,9;
2022-12-31;17;143,4;26,7;
2023-01-31;22;216,2;26,1;
2023-02-28;21;235;25,8;
2023-03-31;26;297,8;26;
2023-04-30;18;283,8;26,8;
2023-05-31;27;214,2;27,2;
2023-06-30;22;196,8;27,5;
2023-07-31;21;185,8;27,8;
2023-08-31;8;53,6;28,7;
2023-09-30;4;26,2;29,2;
2023-10-31;1;14;29,4;
2023-11-30;4;28,2;29,4;
2023-12-31;16;179,6;28,2;
2024-01-31;19;171,2;27,3;
2024-02-29;18;366;27,4;
2024-03-31;28;314,8;27,1;
2024-04-30;21;310,4;27,5;
2024-05-31;26;398,2;27,6;
2024-06-30;24;273,4;27,6;
2024-07-31;19;128,4;27,9;
2024-08-31;10;40,2;28,8;
2024-09-30;0;0;29,2;
2024-10-31;2;47,4;29;
2024-11-30;null;0;29,1;
2024-12-31;6;39,8;27,9;

