Nome: SANTAREM
Codigo Estacao: A250
Latitude: -2.5025
Longitude: -54.72027777
Altitude: 137
Situacao: Operante
Data Inicial: 2015-09-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-09-30;2;6,6;27,7;
2015-10-31;2;7,8;28,3;
2015-11-30;0;0;28,6;
2015-12-31;2;3;28,5;
2016-01-31;10;93,8;27,8;
2016-02-29;22;115,8;26,8;
2016-03-31;27;385,6;26,4;
2016-04-30;25;492,2;26,1;
2016-05-31;24;245,4;26,2;
2016-06-30;17;117,8;26;
2016-07-31;17;89,4;26,2;
2016-08-31;5;15,2;27,3;
2016-09-30;7;24,6;27,2;
2016-10-31;9;47,4;27,4;
2016-11-30;6;18,6;27,7;
2016-12-31;15;242,8;26,6;
2017-01-31;20;261,8;25,6;
2017-02-28;25;436,8;25,4;
2017-03-31;25;543,6;25,4;
2017-04-30;22;400;26,1;
2017-05-31;17;232;26,1;
2017-06-30;18;206,6;26;
2017-07-31;10;45,2;26,1;
2017-08-31;5;42,6;27,1;
2017-09-30;1;3,4;27,9;
2017-10-31;3;52,6;27,9;
2017-11-30;1;null;null;
2017-12-31;14;null;26,1;
2018-01-31;null;null;26;
2018-02-28;null;null;25,2;
2018-03-31;25;437;25,8;
2018-04-30;24;458,6;25,4;
2018-05-31;22;221,8;25,7;
2018-06-30;15;116;25,6;
2018-07-31;16;140;25,7;
2018-08-31;5;36,2;26,4;
2018-09-30;9;96,6;27;
2018-10-31;0;0;28,1;
2018-11-30;8;159,4;27,6;
2018-12-31;23;514;25,6;
2019-01-31;24;446;25,5;
2019-02-28;22;467,8;25,8;
2019-03-31;27;615,6;25,7;
2019-04-30;25;487;25,9;
2019-05-31;26;606;25,7;
2019-06-30;16;156,2;25,9;
2019-07-31;17;48,6;25,8;
2019-08-31;9;49,2;26,6;
2019-09-30;5;22,8;27,6;
2019-10-31;8;136,8;27,2;
2019-11-30;9;202,8;26,8;
2019-12-31;19;107;26,8;
2020-01-31;17;null;25,9;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;6;null;25,6;
2022-07-31;5;null;null;
2022-08-31;3;null;26,7;
2022-09-30;4;null;27,1;
2022-10-31;5;null;27,2;
2022-11-30;4;null;26,6;
2022-12-31;5;null;26,5;
2023-01-31;7;null;null;
2023-02-28;7;null;null;
2023-03-31;11;null;25,9;
2023-04-30;12;null;26,2;
2023-05-31;null;null;26,6;
2023-06-30;null;null;26,3;
2023-07-31;null;null;26,5;
2023-08-31;null;null;27,7;
2023-09-30;null;null;28,3;
2023-10-31;null;null;28,8;
2023-11-30;null;null;28,5;
2023-12-31;null;null;28,2;
2024-01-31;null;null;27,6;
2024-02-29;null;null;27,2;
2024-03-31;null;null;26,9;
2024-04-30;null;null;26,4;
2024-05-31;null;null;26,8;
2024-06-30;null;null;26,7;
2024-07-31;null;null;26,9;
2024-08-31;null;null;27,4;
2024-09-30;null;null;28,6;
2024-10-31;null;null;28,6;
2024-11-30;null;null;28,6;
2024-12-31;null;null;27,9;

