Nome: ALTAMIRA
Codigo Estacao: A253
Latitude: -3.26999999
Longitude: -52.39472221
Altitude: 191
Situacao: Operante
Data Inicial: 2018-10-24
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2018-10-31;1;null;null;
2018-11-30;15;115,2;27;
2018-12-31;22;230,6;25,1;
2019-01-31;26;215;25,1;
2019-02-28;25;178,4;25,1;
2019-03-31;31;261,2;25,2;
2019-04-30;29;303,2;25,3;
2019-05-31;22;300,6;26;
2019-06-30;10;41,4;26,2;
2019-07-31;18;104,4;25,7;
2019-08-31;9;24,2;26,7;
2019-09-30;8;45,2;27,3;
2019-10-31;18;67,6;26,8;
2019-11-30;13;87;26,8;
2019-12-31;22;162,8;26,1;
2020-01-31;26;251,6;25,4;
2020-02-29;28;276,8;25,2;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;1;null;null;
2022-06-30;15;144,8;25,5;
2022-07-31;9;25,4;26,2;
2022-08-31;8;20,8;26,7;
2022-09-30;6;66;27,7;
2022-10-31;14;147,8;27,3;
2022-11-30;7;66,8;26,2;
2022-12-31;21;136,6;25,4;
2023-01-31;27;248,2;24,7;
2023-02-28;27;188,6;25;
2023-03-31;26;435,8;25,2;
2023-04-30;21;223;25,4;
2023-05-31;18;151,8;26,3;
2023-06-30;13;90,2;26,2;
2023-07-31;5;23,4;26,6;
2023-08-31;0;0;27,8;
2023-09-30;3;21;28,4;
2023-10-31;4;27,2;28,9;
2023-11-30;8;27;28,5;
2023-12-31;15;106,2;27,3;
2024-01-31;25;255,6;26,3;
2024-02-29;22;296,2;26;
2024-03-31;27;299;26,2;
2024-04-30;30;462,8;26,2;
2024-05-31;24;256,2;26,8;
2024-06-30;8;68,8;26,8;
2024-07-31;0;0;27,2;
2024-08-31;5;66,2;27,3;
2024-09-30;1;1,2;28,4;
2024-10-31;5;74,8;28,3;
2024-11-30;3;57,6;28,2;
2024-12-31;16;216,4;26,4;

