Nome: VILHENA
Codigo Estacao: A938
Latitude: -12.73499999
Longitude: -60.15777777
Altitude: 583.3
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;24;348,6;23,9;
2015-02-28;24;283;23,8;
2015-03-31;29;488,6;23,8;
2015-04-30;22;180,4;24,4;
2015-05-31;15;180;24;
2015-06-30;5;23,2;24,4;
2015-07-31;5;6,2;24,5;
2015-08-31;2;11,6;27;
2015-09-30;2;null;null;
2015-10-31;3;null;null;
2015-11-30;null;null;25,6;
2015-12-31;18;190,6;25,2;
2016-01-31;23;361,4;24,4;
2016-02-29;26;331,2;24,8;
2016-03-31;26;297,4;24,6;
2016-04-30;3;null;null;
2016-05-31;4;null;null;
2016-06-30;7;15,4;23,2;
2016-07-31;0;0;25,2;
2016-08-31;4;14,6;25,7;
2016-09-30;8;64,2;24,5;
2016-10-31;1;null;null;
2016-11-30;null;null;null;
2016-12-31;15;null;23,4;
2017-01-31;27;265,4;23,7;
2017-02-28;25;245,4;23,5;
2017-03-31;27;467,2;24,2;
2017-04-30;18;199,2;24,1;
2017-05-31;10;123,2;24,9;
2017-06-30;3;2,8;23,7;
2017-07-31;0;0;24;
2017-08-31;3;45,4;26,2;
2017-09-30;9;24,6;26,4;
2017-10-31;13;158;24,9;
2017-11-30;26;322;24,3;
2017-12-31;27;288,8;23,9;
2018-01-31;28;353;23,7;
2018-02-28;25;186,4;23,6;
2018-03-31;25;230,4;24;
2018-04-30;25;280,6;24,1;
2018-05-31;9;94;24;
2018-06-30;3;49,4;22;
2018-07-31;1;,8;23,8;
2018-08-31;5;88,4;23,9;
2018-09-30;9;129,6;25,1;
2018-10-31;22;272,2;25,2;
2018-11-30;21;266;24,5;
2018-12-31;26;315,6;23,8;
2019-01-31;29;330,2;23,8;
2019-02-28;26;358,8;23,9;
2019-03-31;24;348,6;24,3;
2019-04-30;20;205,2;24,4;
2019-05-31;11;28,8;24,4;
2019-06-30;1;,2;25;
2019-07-31;null;null;null;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;null;null;null;
2019-11-30;12;null;null;
2019-12-31;28;387;24,2;
2020-01-31;27;303,4;24,6;
2020-02-29;25;466,6;24,2;
2020-03-31;25;251,4;24,6;
2020-04-30;15;156,2;25;
2020-05-31;6;73,2;23,4;
2020-06-30;5;17,4;24,4;
2020-07-31;1;,2;25,2;
2020-08-31;2;3,2;25,9;
2020-09-30;4;10,8;27,5;
2020-10-31;3;32,2;25,6;
2020-11-30;null;null;26,2;
2020-12-31;23;84,2;24,3;
2021-01-31;17;92,2;24;
2021-02-28;null;null;23,9;
2021-03-31;11;119,6;23,6;
2021-04-30;25;125,2;24;
2021-05-31;6;2,8;24,1;
2021-06-30;6;2,8;23,3;
2021-07-31;0;0;23,9;
2021-08-31;0;0;26,6;
2021-09-30;4;32,2;26,4;
2021-10-31;null;null;25,7;
2021-11-30;null;null;23,8;
2021-12-31;26;248,2;24;
2022-01-31;19;346,8;24,1;
2022-02-28;21;397;23,9;
2022-03-31;25;423;23,7;
2022-04-30;11;79,4;25;
2022-05-31;0;0;23,8;
2022-06-30;3;50;23,3;
2022-07-31;0;0;25,7;
2022-08-31;0;0;25;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;1;null;null;
2023-06-30;4;21;23,5;
2023-07-31;0;0;25,4;
2023-08-31;3;38,6;27;
2023-09-30;10;121,4;26,9;
2023-10-31;14;213,2;27,1;
2023-11-30;13;84,4;26,6;
2023-12-31;18;197,8;25,8;
2024-01-31;25;389,6;24,8;
2024-02-29;17;239,2;24,8;
2024-03-31;20;185,8;25,4;
2024-04-30;20;167,8;25,3;
2024-05-31;5;13,4;24,1;
2024-06-30;0;0;25,9;
2024-07-31;0;0;24,5;
2024-08-31;0;0;26,3;
2024-09-30;7;81,6;27,7;
2024-10-31;18;206,2;26,3;
2024-11-30;24;143;24,6;
2024-12-31;25;434,8;24,4;

