Nome: CACOAL
Codigo Estacao: A939
Latitude: -11.44583333
Longitude: -61.43416666
Altitude: 183.53
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;21;258,2;25,8;
2015-02-28;17;null;26;
2015-03-31;23;277,6;26,2;
2015-04-30;20;146,4;26,3;
2015-05-31;16;234,4;25,8;
2015-06-30;6;16,6;25,6;
2015-07-31;2;3,6;26;
2015-08-31;null;null;27,7;
2015-09-30;null;null;null;
2015-10-31;1;null;null;
2015-11-30;15;182,2;27,8;
2015-12-31;17;305,2;27,2;
2016-01-31;19;257,8;26,6;
2016-02-29;20;207,6;26,9;
2016-03-31;23;514,2;26,3;
2016-04-30;6;28,6;26,9;
2016-05-31;10;47,6;25,9;
2016-06-30;2;5,2;25,1;
2016-07-31;0;0;26,2;
2016-08-31;2;14,6;27,5;
2016-09-30;10;50,4;26,9;
2016-10-31;8;144,8;28;
2016-11-30;16;280,8;26,8;
2016-12-31;24;304,6;26,1;
2017-01-31;22;325,6;25,9;
2017-02-28;25;358,6;25,4;
2017-03-31;23;382,6;26,1;
2017-04-30;18;314;26,1;
2017-05-31;14;145,8;26,4;
2017-06-30;4;3,8;24,9;
2017-07-31;0;0;24,8;
2017-08-31;3;29,4;27,7;
2017-09-30;5;52,8;28;
2017-10-31;14;219,2;26,8;
2017-11-30;22;240,8;26,5;
2017-12-31;23;279,6;25,8;
2018-01-31;26;247,8;25,8;
2018-02-28;22;164,8;25,8;
2018-03-31;23;288;26,3;
2018-04-30;21;112,6;26;
2018-05-31;13;125,4;25,8;
2018-06-30;null;null;null;
2018-07-31;null;null;null;
2018-08-31;2;null;25,8;
2018-09-30;8;71,2;27,2;
2018-10-31;16;106,4;27,3;
2018-11-30;22;335,8;26,5;
2018-12-31;26;443,8;25,7;
2019-01-31;24;323,2;25,8;
2019-02-28;24;422,2;26;
2019-03-31;22;321,6;26,3;
2019-04-30;19;295;26;
2019-05-31;12;67,4;26;
2019-06-30;6;1,6;26,3;
2019-07-31;1;,4;25,8;
2019-08-31;2;2,6;26,7;
2019-09-30;4;15,8;29,2;
2019-10-31;16;223,6;26,5;
2019-11-30;22;473,2;26,4;
2019-12-31;20;281,4;26,5;
2020-01-31;22;258,4;26,9;
2020-02-29;21;393,4;26,5;
2020-03-31;23;177;26,4;
2020-04-30;15;81,6;26,8;
2020-05-31;9;140,2;25,2;
2020-06-30;7;4,8;25,9;
2020-07-31;2;2,8;26,4;
2020-08-31;0;0;27,1;
2020-09-30;1;18,2;29,2;
2020-10-31;15;112,2;27,8;
2020-11-30;17;237;27,5;
2020-12-31;23;263;26,5;
2021-01-31;25;306,2;26,1;
2021-02-28;23;232,2;26;
2021-03-31;19;321,4;25,7;
2021-04-30;14;116,2;26,1;
2021-05-31;2;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;1;null;null;
2023-06-30;3;37,8;24,9;
2023-07-31;0;0;26,5;
2023-08-31;10;55,4;28,3;
2023-09-30;8;60;29,1;
2023-10-31;10;74,6;29,5;
2023-11-30;10;97,6;28,7;
2023-12-31;20;331,2;27,8;
2024-01-31;26;339;26,7;
2024-02-29;22;305,6;26,8;
2024-03-31;21;372,4;27,3;
2024-04-30;16;103,6;27,5;
2024-05-31;0;0;26,2;
2024-06-30;0;0;27,1;
2024-07-31;0;0;25,9;
2024-08-31;0;0;27,6;
2024-09-30;4;19,2;29,6;
2024-10-31;16;96;29,1;
2024-11-30;22;111;26,8;
2024-12-31;23;129,6;26,7;

