Nome: ARIQUEMES
Codigo Estacao: A940
Latitude: -9.94888888
Longitude: -62.96194444
Altitude: 128.44
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;null;null;
2015-02-28;null;null;null;
2015-03-31;null;null;null;
2015-04-30;3;null;null;
2015-05-31;25;201,2;25,4;
2015-06-30;18;7,2;25,3;
2015-07-31;8;17,6;25,6;
2015-08-31;3;28,2;27,3;
2015-09-30;4;6;27,9;
2015-10-31;10;108,6;27,9;
2015-11-30;14;77;27,4;
2015-12-31;19;130,2;26,5;
2016-01-31;20;321,8;26,8;
2016-02-29;23;251,2;26,5;
2016-03-31;24;328;26,4;
2016-04-30;16;163,2;26,2;
2016-05-31;16;86,8;25,6;
2016-06-30;13;53,2;24,9;
2016-07-31;3;,6;25,8;
2016-08-31;3;16,6;26,5;
2016-09-30;11;189;26,4;
2016-10-31;12;101,6;26,8;
2016-11-30;15;null;26,2;
2016-12-31;null;null;null;
2017-01-31;null;null;null;
2017-02-28;null;null;null;
2017-03-31;null;null;null;
2017-04-30;null;null;null;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;1;null;null;
2017-09-30;8;109,8;27,1;
2017-10-31;14;167,6;26,5;
2017-11-30;18;198,4;26,2;
2017-12-31;26;333,8;25,4;
2018-01-31;28;337,2;25,2;
2018-02-28;28;388;25,2;
2018-03-31;23;81,6;25,6;
2018-04-30;null;null;25,6;
2018-05-31;null;null;25,4;
2018-06-30;null;0;23,8;
2018-07-31;0;0;25;
2018-08-31;6;21,6;26;
2018-09-30;8;117;26,4;
2018-10-31;18;60,8;26,7;
2018-11-30;22;386,4;26,3;
2018-12-31;23;468,2;25,3;
2019-01-31;26;497,6;25,4;
2019-02-28;25;327,8;25,9;
2019-03-31;26;377;26,2;
2019-04-30;22;255,2;26,2;
2019-05-31;19;76,2;25,8;
2019-06-30;14;14,2;25,9;
2019-07-31;3;,6;25,6;
2019-08-31;7;61,6;26,2;
2019-09-30;7;39,4;27,8;
2019-10-31;21;170;26;
2019-11-30;20;274;26,1;
2019-12-31;22;250,8;26,3;
2020-01-31;28;432,4;26,2;
2020-02-29;29;308,6;25,9;
2020-03-31;22;426;25,7;
2020-04-30;23;205,4;26,1;
2020-05-31;14;null;25,1;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;3;null;null;
2023-06-30;3;34;24,5;
2023-07-31;0;0;26;
2023-08-31;7;52,4;27,4;
2023-09-30;8;115,4;28,2;
2023-10-31;15;42,2;28,2;
2023-11-30;14;287,8;27,6;
2023-12-31;21;145,4;27,3;
2024-01-31;21;185,8;26,5;
2024-02-29;23;386,6;26,4;
2024-03-31;27;401,2;27;
2024-04-30;22;331,4;26,7;
2024-05-31;17;64,6;25,6;
2024-06-30;4;null;26,3;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

