"dias_chuva_mensal";"precip_total_mensal_mm";"temp_media_mensal_c";"ano";"mes"
21.0;145.4;26.1;2015;1
22.0;193.4;25.7;2015;2
25.0;142.4;26.0;2015;3
24.0;296.2;26.1;2015;4
9.0;71.8;27.1;2015;5
0.0;0.0;27.6;2015;6
;0.0;27.9;2015;7
1.0;0.2;29.5;2015;8
4.0;75.2;30.5;2015;9
5.0;123.0;29.8;2015;10
2.0;;;2015;11
;;;2015;12
2.0;;;2016;1
5.0;5.2;29.4;2016;2
20.0;166.4;27.3;2016;3
11.0;83.8;28.1;2016;4
3.0;3.2;28.5;2016;5
5.0;17.8;28.0;2016;6
0.0;0.0;28.4;2016;7
0.0;0.0;30.3;2016;8
10.0;88.2;29.8;2016;9
11.0;34.4;29.1;2016;10
12.0;138.6;28.0;2016;11
2.0;24.8;26.8;2016;12
19.0;399.4;25.7;2017;1
24.0;276.6;25.5;2017;2
23.0;204.6;26.1;2017;3
21.0;163.6;26.7;2017;4
5.0;18.4;27.8;2017;5
0.0;0.0;27.3;2017;6
0.0;0.0;26.9;2017;7
0.0;0.0;29.6;2017;8
0.0;0.0;31.8;2017;9
6.0;21.8;31.0;2017;10
20.0;183.8;27.2;2017;11
21.0;356.4;25.8;2017;12
23.0;266.0;25.9;2018;1
25.0;334.2;25.5;2018;2
22.0;180.4;26.2;2018;3
17.0;247.6;26.2;2018;4
2.0;0.4;27.6;2018;5
0.0;0.0;27.1;2018;6
0.0;0.0;27.2;2018;7
3.0;2.6;29.4;2018;8
6.0;25.4;30.0;2018;9
19.0;191.6;27.3;2018;10
23.0;386.6;26.6;2018;11
18.0;250.8;26.4;2018;12
22.0;198.6;26.2;2019;1
20.0;266.2;25.8;2019;2
28.0;270.8;26.0;2019;3
17.0;215.2;26.7;2019;4
8.0;87.2;27.6;2019;5
1.0;1.2;27.6;2019;6
0.0;0.0;27.6;2019;7
0.0;0.0;29.4;2019;8
2.0;6.8;30.9;2019;9
16.0;94.2;27.3;2019;10
17.0;107.6;27.1;2019;11
18.0;216.0;27.3;2019;12
20.0;;26.4;2020;1
18.0;;26.7;2020;2
23.0;163.2;26.5;2020;3
17.0;323.0;26.9;2020;4
8.0;88.4;27.5;2020;5
0.0;0.0;27.5;2020;6
0.0;0.0;27.4;2020;7
0.0;0.0;29.2;2020;8
1.0;1.0;31.3;2020;9
13.0;123.4;29.5;2020;10
12.0;93.0;28.0;2020;11
16.0;167.4;27.3;2020;12
21.0;;26.3;2021;1
25.0;398.6;25.4;2021;2
24.0;341.0;26.0;2021;3
22.0;190.0;26.5;2021;4
2.0;5.4;27.2;2021;5
0.0;0.0;27.2;2021;6
0.0;0.0;27.2;2021;7
1.0;3.2;29.3;2021;8
5.0;25.8;30.0;2021;9
18.0;157.0;27.7;2021;10
24.0;474.4;26.1;2021;11
25.0;448.8;25.7;2021;12
25.0;229.4;25.8;2022;1
22.0;325.6;26.3;2022;2
25.0;435.8;25.7;2022;3
15.0;99.0;27.4;2022;4
1.0;;;2022;5
;;;2022;6
1.0;0.4;27.7;2022;7
0.0;0.0;29.6;2022;8
4.0;31.0;30.4;2022;9
3.0;40.2;29.7;2022;10
16.0;;26.2;2022;11
18.0;;25.7;2022;12
10.0;;;2023;1
3.0;;;2023;2
25.0;324.0;26.0;2023;3
16.0;116.6;26.7;2023;4
6.0;50.4;27.6;2023;5
0.0;0.0;27.4;2023;6
0.0;0.0;27.5;2023;7
3.0;23.8;28.6;2023;8
4.0;24.0;30.1;2023;9
13.0;;29.0;2023;10
14.0;;28.2;2023;11
8.0;;27.9;2023;12
17.0;;26.6;2024;1
17.0;;27.1;2024;2
21.0;250.2;27.5;2024;3
21.0;225.6;27.2;2024;4
2.0;19.0;;2024;5
0.0;0.0;;2024;6
0.0;0.0;;2024;7
0.0;0.0;;2024;8
1.0;1.0;;2024;9
15.0;191.4;;2024;10
17.0;;;2024;11
21.0;;;2024;12
9.0;52.2;27.0;2015;1
18.0;296.0;25.3;2015;2
20.0;200.6;25.3;2015;3
16.0;224.6;25.6;2015;4
9.0;81.2;25.1;2015;5
4.0;0.8;24.1;2015;6
1.0;0.2;24.3;2015;7
0.0;0.0;25.2;2015;8
;;28.7;2015;9
8.0;124.4;29.5;2015;10
15.0;128.0;27.5;2015;11
10.0;70.2;27.9;2015;12
28.0;527.0;25.2;2016;1
10.0;42.2;27.2;2016;2
10.0;112.4;27.0;2016;3
1.0;2.6;27.2;2016;4
0.0;0.0;26.4;2016;5
1.0;5.4;25.1;2016;6
0.0;0.0;24.9;2016;7
;0.0;26.9;2016;8
;;;2016;9
8.0;;28.0;2016;10
16.0;107.8;27.3;2016;11
18.0;95.8;26.7;2016;12
;;26.1;2017;1
;;24.8;2017;2
16.0;93.8;25.9;2017;3
12.0;158.2;26.4;2017;4
1.0;6.4;26.2;2017;5
0.0;0.0;24.5;2017;6
0.0;0.0;23.1;2017;7
0.0;0.0;25.9;2017;8
0.0;0.0;27.8;2017;9
2.0;2.0;30.4;2017;10
9.0;;;2017;11
