"ano";"mes";"internacoes_microdatasus";"internacoes_tabnet"
2015;1;196;6213
2015;2;189;5886
2015;3;258;9207
2015;4;276;10035
2015;5;295;10020
2015;6;227;8586
2015;7;192;6769
2015;8;180;6060
2015;9;139;5771
2015;10;154;5999
2015;11;162;5807
2015;12;208;5339
2016;1;158;4842
2016;2;172;4784
2016;3;237;7470
2016;4;324;9051
2016;5;324;8472
2016;6;270;8003
2016;7;227;6401
2016;8;181;5863
2016;9;200;5624
2016;10;222;6005
2016;11;235;5675
2016;12;244;5610
2017;1;241;6475
2017;2;266;7050
2017;3;309;10064
2017;4;342;8691
2017;5;300;9024
2017;6;246;8000
2017;7;245;6686
2017;8;184;6177
2017;9;185;6208
2017;10;208;6627
2017;11;177;6250
2017;12;220;5885
2018;1;173;5692
2018;2;188;5316
2018;3;231;7244
2018;4;253;8827
2018;5;339;10518
2018;6;356;9966
2018;7;376;7769
2018;8;329;6998
2018;9;290;6339
2018;10;265;6145
2018;11;240;5472
2018;12;206;5284
2019;1;179;5659
2019;2;212;6381
2019;3;302;9564
2019;4;396;10485
2019;5;419;10488
2019;6;407;8659
2019;7;333;6829
2019;8;253;6426
2019;9;244;6248
2019;10;242;6756
2019;11;264;6332
2019;12;248;6216
2020;1;208;5944
2020;2;205;6290
2020;3;256;7269
2020;4;196;3789
2020;5;171;3364
2020;6;159;2965
2020;7;144;3352
2020;8;169;4044
2020;9;201;3405
2020;10;156;3836
2020;11;204;3900
2020;12;195;4178
2021;1;234;4939
2021;2;198;4217
2021;3;145;4402
2021;4;134;4127
2021;5;166;4500
2021;6;171;4599
2021;7;200;4701
2021;8;221;4965
2021;9;214;4667
2021;10;271;5146
2021;11;272;5284
2021;12;369;7402
2022;1;578;9507
2022;2;348;4630
2022;3;389;7650
2022;4;496;9429
2022;5;592;11132
2022;6;488;9495
2022;7;469;7502
2022;8;290;6312
2022;9;356;6798
2022;10;377;6647
2022;11;379;6152
2022;12;307;5639
2023;1;360;5441
2023;2;333;6164
2023;3;503;9298
2023;4;692;11001
2023;5;739;12621
2023;6;643;11410
2023;7;686;9332
2023;8;486;8380
2023;9;562;7305
2023;10;548;7039
2023;11;484;6276
2023;12;504;5846
2024;1;371;5428
2024;2;338;5485
2024;3;562;8875
2024;4;818;11177
2024;5;799;11595
2024;6;748;9736
2024;7;635;7586
2024;8;493;6669
2024;9;512;6583
2024;10;520;6184
2024;11;512;5058
2024;12;576;3425
