"ano";"mês";"internacoes"
2015;1;6213
2015;2;5886
2015;3;9207
2015;4;10035
2015;5;10020
2015;6;8586
2015;7;6769
2015;8;6060
2015;9;5771
2015;10;5999
2015;11;5807
2015;12;5339
2016;1;4842
2016;2;4784
2016;3;7470
2016;4;9051
2016;5;8472
2016;6;8003
2016;7;6401
2016;8;5863
2016;9;5624
2016;10;6005
2016;11;5675
2016;12;5610
2017;1;6475
2017;2;7050
2017;3;10064
2017;4;8691
2017;5;9024
2017;6;8000
2017;7;6686
2017;8;6177
2017;9;6208
2017;10;6627
2017;11;6250
2017;12;5885
2018;1;5692
2018;2;5316
2018;3;7244
2018;4;8827
2018;5;10518
2018;6;9966
2018;7;7769
2018;8;6998
2018;9;6339
2018;10;6145
2018;11;5472
2018;12;5284
2019;1;5659
2019;2;6381
2019;3;9564
2019;4;10485
2019;5;10488
2019;6;8659
2019;7;6829
2019;8;6426
2019;9;6248
2019;10;6756
2019;11;6332
2019;12;6216
2020;1;5944
2020;2;6290
2020;3;7269
2020;4;3789
2020;5;3364
2020;6;2965
2020;7;3352
2020;8;4044
2020;9;3405
2020;10;3836
2020;11;3900
2020;12;4178
2021;1;4939
2021;2;4217
2021;3;4402
2021;4;4127
2021;5;4500
2021;6;4599
2021;7;4701
2021;8;4965
2021;9;4667
2021;10;5146
2021;11;5284
2021;12;7402
2022;1;9507
2022;2;4630
2022;3;7650
2022;4;9429
2022;5;11132
2022;6;9495
2022;7;7502
2022;8;6312
2022;9;6798
2022;10;6647
2022;11;6152
2022;12;5639
2023;1;5441
2023;2;6164
2023;3;9298
2023;4;11001
2023;5;12621
2023;6;11410
2023;7;9332
2023;8;8380
2023;9;7305
2023;10;7039
2023;11;6276
2023;12;5846
2024;1;5428
2024;2;5485
2024;3;8875
2024;4;11177
2024;5;11595
2024;6;9736
2024;7;7586
2024;8;6669
2024;9;6583
2024;10;6184
2024;11;5058
2024;12;3425
