"ano_mes","focos","media_dias_sem_chuva","sd_dias_sem_chuva","precipitacao_total","sd_precipitacao_total","precipitacao_media","sd_precipitacao_media"
"2008-01",1576,NA,NA,0,NA,NA,NA
"2008-02",1074,NA,NA,0,NA,NA,NA
"2008-03",2463,NA,NA,0,NA,NA,NA
"2008-04",969,NA,NA,0,NA,NA,NA
"2008-05",635,NA,NA,0,NA,NA,NA
"2008-06",2318,NA,NA,0,NA,NA,NA
"2008-07",11688,NA,NA,0,NA,NA,NA
"2008-08",52869,NA,NA,0,NA,NA,NA
"2008-09",56714,NA,NA,0,NA,NA,NA
"2008-10",59461,NA,NA,0,NA,NA,NA
"2008-11",26669,NA,NA,0,NA,NA,NA
"2008-12",6950,NA,NA,0,NA,NA,NA
"2009-01",1287,NA,NA,0,NA,NA,NA
"2009-02",717,NA,NA,0,NA,NA,NA
"2009-03",1110,NA,NA,0,NA,NA,NA
"2009-04",758,NA,NA,0,NA,NA,NA
"2009-05",925,NA,NA,0,NA,NA,NA
"2009-06",1100,NA,NA,0,NA,NA,NA
"2009-07",4386,NA,NA,0,NA,NA,NA
"2009-08",23031,NA,NA,0,NA,NA,NA
"2009-09",43009,NA,NA,0,NA,NA,NA
"2009-10",38429,NA,NA,0,NA,NA,NA
"2009-11",42623,NA,NA,0,NA,NA,NA
"2009-12",10798,NA,NA,0,NA,NA,NA
"2010-01",2827,NA,NA,0,NA,NA,NA
"2010-02",2528,NA,NA,0,NA,NA,NA
"2010-03",2124,NA,NA,0,NA,NA,NA
"2010-04",1239,NA,NA,0,NA,NA,NA
"2010-05",1946,NA,NA,0,NA,NA,NA
"2010-06",6629,NA,NA,0,NA,NA,NA
"2010-07",19906,NA,NA,0,NA,NA,NA
"2010-08",132649,NA,NA,0,NA,NA,NA
"2010-09",152620,NA,NA,0,NA,NA,NA
"2010-10",46199,NA,NA,0,NA,NA,NA
"2010-11",20159,NA,NA,0,NA,NA,NA
"2010-12",5881,NA,NA,0,NA,NA,NA
"2011-01",1249,NA,NA,0,NA,NA,NA
"2011-02",780,NA,NA,0,NA,NA,NA
"2011-03",848,NA,NA,0,NA,NA,NA
"2011-04",916,NA,NA,0,NA,NA,NA
"2011-05",1346,NA,NA,0,NA,NA,NA
"2011-06",3235,NA,NA,0,NA,NA,NA
"2011-07",7102,NA,NA,0,NA,NA,NA
"2011-08",24205,NA,NA,0,NA,NA,NA
"2011-09",56296,NA,NA,0,NA,NA,NA
"2011-10",27030,NA,NA,0,NA,NA,NA
"2011-11",13139,NA,NA,0,NA,NA,NA
"2011-12",12009,NA,NA,0,NA,NA,NA
"2012-01",3280,NA,NA,0,NA,NA,NA
"2012-02",3284,NA,NA,0,NA,NA,NA
"2012-03",3297,NA,NA,0,NA,NA,NA
"2012-04",2601,NA,NA,0,NA,NA,NA
"2012-05",5938,NA,NA,0,NA,NA,NA
"2012-06",11623,NA,NA,0,NA,NA,NA
"2012-07",31683,NA,NA,0,NA,NA,NA
"2012-08",225244,NA,NA,0,NA,NA,NA
"2012-09",284821,NA,NA,0,NA,NA,NA
"2012-10",168881,NA,NA,0,NA,NA,NA
"2012-11",103882,NA,NA,0,NA,NA,NA
"2012-12",29587,NA,NA,0,NA,NA,NA
"2013-01",9812,NA,NA,0,NA,NA,NA
"2013-02",2663,NA,NA,0,NA,NA,NA
"2013-03",6272,NA,NA,0,NA,NA,NA
"2013-04",4458,NA,NA,0,NA,NA,NA
"2013-05",4751,NA,NA,0,NA,NA,NA
"2013-06",11115,NA,NA,0,NA,NA,NA
"2013-07",25734,NA,NA,0,NA,NA,NA
"2013-08",80609,NA,NA,0,NA,NA,NA
"2013-09",125539,NA,NA,0,NA,NA,NA
"2013-10",90217,NA,NA,0,NA,NA,NA
"2013-11",35944,NA,NA,0,NA,NA,NA
"2013-12",44484,NA,NA,0,NA,NA,NA
"2014-01",11438,4.98642095053346,4.15053925255292,13451.8,NA,1.17606224864487,NA
"2014-02",4355,4.76885813148789,4.15344792157421,6491.7,NA,1.49063145809414,NA
"2014-03",8151,6.37604320078547,4.92558847530013,7201,NA,0.883449883449883,NA
"2014-04",4917,3.94304312449146,3.07617934525318,5160.3,NA,1.04948139109213,NA
"2014-05",5513,6.00580973129993,5.14464492085202,4747.7,NA,0.861182659169236,NA
"2014-06",16095,12.6845866998135,8.73394668486056,3574.9,NA,0.222112457284871,NA
"2014-07",28372,21.3791741598787,17.1550943294435,9200.7,NA,0.324288030452559,NA
"2014-08",181833,18.8741855602025,22.3251282676529,68701.2,NA,0.377825807196713,NA
"2014-09",178933,5.97480709142019,10.7442473983667,204408.7,NA,1.14237563780857,NA
"2014-10",132271,4.33283968619231,3.63094156075285,167433.3,NA,1.26583529269454,NA
"2014-11",78936,3.5973572257316,2.83115886783046,78173,NA,0.990333941420898,NA
"2014-12",51065,4.30877636115789,3.93530902622275,59143,NA,1.15819054146676,NA
"2015-01",14725,4.60899677706919,7.02120004047917,25370.8,NA,1.72297453310696,NA
"2015-02",9520,6.29105810654618,6.11080404931601,8514.5,NA,0.89438025210084,NA
"2015-03",4828,3.19705760464152,3.8484664388804,6730,NA,1.39395194697597,NA
"2015-04",6234,5.72313121591274,3.88859221866624,4087.2,NA,0.65563041385948,NA
"2015-05",4761,6.10323801513877,5.10858558859468,3982.8,NA,0.836546943919345,NA
"2015-06",14895,14.9674190514577,11.054296016142,3583.3,NA,0.240570661295737,NA
"2015-07",30164,10.8589246027797,8.77371870589625,10051.8,NA,0.333238297308049,NA
"2015-08",191645,8.52548532283497,9.80516971804124,203276.9,NA,1.06069503509092,NA
"2015-09",285266,5.98303781468347,7.41539739653314,271164.1,NA,0.950565787720934,NA
"2015-10",246490,6.87350186158608,6.27715502931025,221820,NA,0.899914803845998,NA
"2015-11",165399,4.92607364410056,4.22546128596684,110812.1,NA,0.669968379494435,NA
"2015-12",123055,8.9118531815313,8.80509915096434,112522,NA,0.914404128235342,NA
"2016-01",58090,7.61703484164455,7.04429589479903,33323,NA,0.573644344981925,NA
"2016-02",18593,4.22493545611016,4.09558038694913,20061,NA,1.07895444522132,NA
"2016-03",28807,5.12602853869389,3.41074308694301,23105.4,NA,0.802075884333669,NA
"2016-04",5478,4.2475807924046,3.66009916076048,5563.7,NA,1.01564439576488,NA
"2016-05",8899,10.208970323741,7.50201415089298,3586.5,NA,0.40302281155186,NA
"2016-06",19071,12.0572749724134,10.1672910950902,4990.3,NA,0.261669550626606,NA
"2016-07",68669,29.8991671407109,19.536010512296,10620.5,NA,0.154662220215818,NA
"2016-08",207352,24.5618133791765,27.7685546544292,232737,NA,1.12242466916162,NA
"2016-09",184385,17.540099009901,29.8828780743292,273503.1,NA,1.4833261924777,NA
"2016-10",123998,3.55287643577575,3.20232837855531,174003.7,NA,1.40327827868191,NA
"2016-11",82481,3.65893102211892,3.27881216122962,81025.3,NA,0.982351086916987,NA
"2016-12",33405,4.08994281452014,4.54957226400301,57975.7,NA,1.73553958988175,NA
"2017-01",4319,0.0824264876128734,1.2588414660287,14686.6,NA,3.40046307015513,NA
"2017-02",2506,0,0,4719.8,NA,1.88339984038308,NA
"2017-03",3050,0.0101639344262295,0.384465876907168,5534.3,NA,1.81452459016393,NA
"2017-04",2484,0.0241545893719807,0.550528148510801,3817.4,NA,1.53679549114332,NA
"2017-05",7035,0.024591329068941,0.668638814807728,3049.4,NA,0.433461265103056,NA
"2017-06",15754,0.177034403960899,1.82836942262626,4360.4,NA,0.276780500190428,NA
"2017-07",86603,0.364098241400413,2.24045116448249,9027.2,NA,0.104236573790746,NA
"2017-08",270502,0.330537297321277,2.29314986590026,282074.9,NA,1.0427830478148,NA
"2017-09",482749,1.21946530887879,9.29498336287561,236670.2,NA,0.490255184371174,NA
"2017-10",219099,0.139585301621641,1.59053441859682,261549,NA,1.19374803171169,NA
"2017-11",141136,0.0132708876544609,0.454218143774873,116385.3,NA,0.824632269583947,NA
"2017-12",71427,0.0271799252236988,0.597941770311834,54162.5,NA,0.758291682417013,NA
"2018-01",13906,0.0135912555731339,0.413406338395331,17190.4,NA,1.2361858190709,NA
"2018-02",16144,0.00229187314172448,0.231469962624651,11568.2,NA,0.71656342913776,NA
"2018-03",27572,0.444726534165095,1.94810220919677,14862.1,NA,0.539028724793269,NA
"2018-04",10740,0.0015828677839851,0.116188134428436,10586,NA,0.985661080074488,NA
"2018-05",8372,7.88664596273292,8.96049431507,2602.4,NA,0.310845676063067,NA
"2018-06",22684,25.4906500837964,13.9056820599561,2752.3,NA,0.121332216540293,NA
"2018-07",60857,31.9394058950206,23.9667568862045,15569.2,NA,0.255832525428463,NA
"2018-08",132491,12.0797268407654,23.733511572155,193005.5,NA,1.45674423168366,NA
"2018-09",271332,9.23294326842909,18.4398922139458,203254.7,NA,0.749099627025194,NA
"2018-10",159299,6.44368213290285,7.61063959577086,184743.7,NA,1.15972918850715,NA
"2018-11",85026,6.01389227394589,5.18020496571838,81354.9,NA,0.977212559458031,NA
"2018-12",14104,4.33129836019025,4.51091432465412,14098.2,NA,0.999588769143505,NA
"2019-01",14592,6.58891026521918,7.66767244492457,18102.5,NA,1.24057702850877,NA
"2019-02",21889,21.5559718541533,14.3840958400546,7332.7,NA,0.334994746219562,NA
"2019-03",101675,22.3279992918544,19.8650053871417,21344.4,NA,0.209927710843373,NA
"2019-04",37339,6.12319888585355,5.80203747721703,14541.6,NA,0.3894480302097,NA
"2019-05",11886,5.76661618711089,3.74779804433971,6727.5,NA,0.566002019182231,NA
"2019-06",30166,18.2678494445366,11.020442002899,3569.7,NA,0.118335211827886,NA
"2019-07",86872,23.7794431559879,20.2222167471514,11147.7,NA,0.128539307704725,NA
"2019-08",566908,23.1089334355536,22.1454034813447,222785.7,NA,0.393409265488836,NA
"2019-09",413542,31.8651761105584,42.2321256816038,570312,NA,1.38561449969023,NA
